	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
ALBFLONR	-9.8162e-07	2.7147e-07	-4.7499e-07	-5.2338e-07	-7.2967e-07	1.3614e-06	-9.9969e-07	-3.4176e-07	-3.7526e-07	-5.3737e-07	-3.9436e-06	-7.1316e-06	-3.1706e-06	4.849e-07	-5.4296e-06	-2.4777e-06	-4.9701e-06	2.4435e-05	2.0444e-05	1.5267e-05	1.5925e-05	1.5612e-05	1.8394e-05	1.9743e-05	1.4636e-05	1.7704e-05	2.9443e-05	3.9749e-05	6.2172e-05	3.7939e-05	2.9318e-05	3.7091e-05	4.1325e-05	4.9476e-05
ALBFLONS	-7.4603e-06	-4.796e-06	-3.1522e-06	-2.5006e-06	-3.1619e-06	-5.8601e-06	-3.4989e-06	-4.6707e-06	-4.7711e-06	-8.2962e-06	-1.0724e-05	-1.152e-05	-1.5149e-05	-7.6891e-06	-2.327e-06	-8.3769e-06	-1.2425e-05	3.6777e-05	2.8658e-05	2.3491e-05	2.5035e-05	2.8748e-05	3.5494e-05	3.1682e-05	3.1998e-05	3.205e-05	4.3395e-05	5.2761e-05	7.8698e-05	8.4752e-05	4.5059e-05	2.443e-05	6.4001e-05	7.7634e-05
ALCD19	0.0010634	0.010199	0.018596	0.0074447	0.012594	0.0088585	0.0071785	0.011158	0.014389	0.010225	0.0065451	0.053434	0.012099	0.12914	0.013486	0.060068	0.022996	0.012399	0.038364	0.06125	0.037866	0.056636	0.039014	0.034636	0.043422	0.050074	0.038457	0.01944	0.069133	0.03876	0.094314	0.036687	0.071184	0.049271
ALCD19y	0.0012447	0.0064593	0.015666	0.0036643	0.0041467	0.0046944	0.0019178	0.0035165	0.0030401	0.0078667	0.0090072	0.015717	0.017059	0.020839	0.010044	0.017145	0.015952	0.014188	0.030909	0.055651	0.024064	0.026904	0.026803	0.014993	0.018978	0.01679	0.032831	0.022854	0.033072	0.031958	0.040542	0.024225	0.036476	0.038597
ALCD2s	9.1061	0.44809	0.2819	0.0035961	3.0077e-05	0.22776	0.0064284	0.0013666	0.04312	0.0030647	0.010248	0.0018165	0.00070405	0.38413	0.00097687	0	0.00092952	7.7394	0.6177	0.69099	0.05406	0.00087176	0.47003	0.092595	0.025713	0.18181	0.051631	0.18007	0.037883	0.022264	0.38679	0.021832	0	0.021529
ALCD2x	-9.2782	-0.5119	-0.51451	-0.16456	-0.18902	-0.55284	-0.64839	-0.031389	-0.50939	-0.15738	-0.037747	-0.0030212	-0.0099615	-0.39279	-0.087779	-0.16051	-0.77632	7.85	0.93785	3.0071	0.71365	3.3858	6.3464	9.8801	0.19808	8.867	0.639	0.41369	0.053908	0.16998	0.40444	2.54	2.9377	12.1441
ALCD2y	0.17192	0.063805	0.2326	0.1608	0.18899	0.32495	0.64197	0.030022	0.46621	0.15431	0.027499	0.0012047	0.0092574	0.0085162	0.086802	0.16051	0.77526	1.8668	0.6782	2.8867	0.71244	3.3858	6.3379	9.88	0.19314	8.8674	0.63766	0.35969	0.038411	0.16856	0.10314	2.5398	2.9377	12.1441
ALDD1	0.00029722	0	0.00013508	0.0022781	0.0023214	0.0014667	0.0043262	0.0040264	0.00069265	4.7872e-08	4.5084e-08	0.0006376	0.0019029	0.00073146	0.013805	0.0028442	0.0023342	0.0093989	0	0.001915	0.018422	0.028741	0.017368	0.025297	0.024515	0.010777	1.5138e-06	1.0076e-06	0.013358	0.012428	0.011389	0.040185	0.024087	0.020598
ALDD19xr	0	7.0726e-06	7.4463e-06	3.7957e-05	3.237e-05	0	0	2.9131e-05	0	0	2.601e-09	0	3.91e-05	0	9.9741e-05	0	0	0	0.00022366	0.00016642	0.0012003	0.0010236	0	0	0.0009212	0	0	8.2251e-08	0	0.00095006	0	0.0016099	0	0
ALDD2x	0.00019565	2.9931e-05	4.9547e-05	0.0015902	0.00061602	0.00047965	0.00094624	0.0015354	0.00034747	0	1.1271e-08	0.00033746	0.00046089	0.00041543	0.0011136	0.0010223	0.0013826	0.004361	0.0009465	0.00088273	0.012394	0.0055987	0.0051483	0.0079204	0.01222	0.0042632	0	3.5642e-07	0.0031928	0.0048669	0.0066812	0.0086672	0.009012	0.0090778
ALDH	0.00050166	9.9732e-05	9.6303e-05	0.0003801	0.00092003	0.00038889	0.0002387	0.00044542	0.0017843	1.4362e-07	2.2542e-08	0.00025808	0.0011611	0.0010471	0.0002015	0.0006995	0.0017413	0.0079201	0.0022289	0.0017565	0.012017	0.016779	0.0094885	0.007227	0.0084318	0.016364	2.6194e-06	7.1284e-07	0.0069296	0.016198	0.0191	0.0047382	0.013051	0.018651
ALLTAMH2	0	0	1.7937e-05	4.471e-05	2.5879e-05	7.9122e-05	0.00016154	0	0	1.7952e-08	5.6355e-09	1.5068e-05	1.9103e-05	0.00019255	1.8575e-05	3.2914e-05	5.7568e-05	0	0	0.00026091	0.00099928	0.00081836	0.0014431	0.0030564	0	0	3.2743e-07	1.7821e-07	0.00044114	0.00042694	0.002726	0.00058739	0.00073562	0.0018205
ALLTN	0	2.2239e-06	3.4071e-05	0.00015786	4.2792e-05	0.00011722	0.00032608	5.1576e-05	0.00011416	2.992e-08	2.2542e-08	2.0037e-05	0.00010325	0.00044769	4.8796e-05	4.8692e-05	0.00024041	0	3.2028e-05	0.00036383	0.0017314	0.00071017	0.0018782	0.0032986	0.00065744	0.0018227	4.2229e-07	2.5114e-07	0.00035604	0.0010841	0.0041292	0.0006892	0.00062722	0.0025445
AM4PCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMALT1	0	3.9441e-06	1.4956e-05	4.1094e-05	1.2823e-05	2.0597e-05	2.1034e-05	8.9684e-06	2.1041e-05	0	4.5084e-08	7.0543e-06	9.1753e-07	4.1398e-05	9.8927e-06	0	3.5778e-05	0	8.8148e-05	0.00047296	0.00091842	0.00040551	0.00065132	0.00066517	0.00028361	0.00066538	0	1.0076e-06	0.00022308	2.9015e-05	0.00092521	0.00031283	0	0.0008086
AMALT2	0	0	2.9913e-05	0.0001027	0.00012344	0.00010298	6.3103e-05	8.4151e-05	0.00010521	9.1196e-06	1.5568e-05	5.0306e-05	5.2662e-05	0.00012156	0.0001035	2.07e-05	4.1399e-05	0	0	0.00066854	0.0014495	0.0015895	0.0014535	0.001151	0.0013286	0.0014849	0.00028839	0.00049231	0.00091754	0.00096051	0.0015673	0.0014607	0.00065458	0.00092525
AMALT3	0	1.2328e-05	1.4956e-05	4.1094e-05	2.0573e-05	0	0	0	2.1041e-05	0	3.1136e-05	1.6769e-05	0	2.0699e-05	2.07e-05	2.07e-05	3.939e-06	0	0.00038983	0.00047296	0.00091842	0.00065056	0	0	0	0.00066538	0	0.00069588	0.00053028	0	0.00065455	0.00065458	0.00065458	0.00012456
AMALT4	0	2.4655e-05	1.4956e-05	4.1078e-05	0	2.0597e-05	2.1034e-05	1.2069e-05	0	0	1.5546e-05	1.6769e-05	0.00010532	2.6302e-06	2.07e-05	2.4803e-05	4.1399e-05	0	0.00055103	0.00047296	0.00091808	0	0.00065132	0.00066517	0.00038167	0	0	0.0004916	0.00053028	0.0013563	8.3174e-05	0.00065458	0.00066688	0.00092525
AMAOTr	4.008e-06	1.69e-06	1.1953e-06	1.4338e-07	1.3843e-07	1.3407e-07	5.1411e-08	5.0751e-08	5.0141e-08	2.2925e-06	1.0795e-06	8.5366e-07	7.0818e-07	1.148e-07	1.146e-07	1.1458e-07	1.1459e-07	3.0508e-20	2.6547e-09	1.6672e-09	9.8458e-10	8.4505e-10	1e-09	3.7587e-10	3.4993e-10	3.5781e-10	1.4925e-12	1.1249e-12	8.2734e-19	5.1455e-09	8.746e-10	8.2906e-10	8.0747e-10	8.1771e-10
AMBCOAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMID3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMID5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMMQLT9	0.0026698	0.0014336	0.0025802	0.0016256	0.0014134	0.0018608	0.00091464	0.00080716	0.00079057	0.00040214	0.0010045	0.00070905	0.0011861	0.001938	0.00026016	0.00099092	0.00084233	0.0085566	0.0068466	0.016208	0.012373	0.010489	0.013405	0.0094952	0.0086065	0.0086239	0.0037459	0.0086431	0.0070519	0.0081705	0.013302	0.0038809	0.0085682	0.0079843
AMMQT9	0.00065907	-2.9961e-05	-0.0015875	-0.0015065	-0.0012984	-0.0017495	-0.00087194	-0.000765	-0.00074892	0.0015019	-0.00010789	-3.4718e-08	-0.00059794	-0.0018427	-0.00016498	-0.00089575	-0.00074716	0.0085566	0.0068467	0.016208	0.012373	0.010489	0.013405	0.0094952	0.0086065	0.0086239	0.0037459	0.0086431	0.0070519	0.0081707	0.013302	0.0038809	0.0085682	0.0079843
AMPTASECG	1.7764e-18	8.8818e-19	1.7764e-18	0	2.2204e-19	0	0	0	3.9968e-18	9.3259e-18	4.4409e-19	0	0	1.0658e-17	0	1.7764e-17	0	5.6173e-17	2.8087e-17	5.6173e-17	0	7.0217e-18	0	0	0	1.1321e-16	1.2611e-16	1.4043e-17	0	0	1.944e-16	0	2.5071e-16	0
AMPTASEPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANHMK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANPRT	0.0079624	0.0033681	0.0023976	0.00034245	0.00034719	0.00029001	0.00031851	0.00016587	0.00017909	0.0045542	0.0021445	0.0017384	0.0015388	0.00039817	0.00032646	0.00026514	0.00029545	1.2777e-05	0.00024277	0.00043635	0.00068783	0.00096565	0.00043202	0.0024501	0.00091044	0.0016078	1.0252e-06	4.3177e-07	0.00062028	0.0015791	0.0025171	0.0012729	0.00053414	0.0012367
ANS	1.5924e-05	1.6777e-05	1.6611e-05	4.1105e-05	3.4111e-05	0.0001127	8.5659e-05	7.0989e-07	3.6153e-06	4.7872e-08	0.0021444	0.0017515	0.0015462	0.00039875	0.00032646	0.00028817	0.00035542	0.00035589	0.00023678	0.00019795	0.0012095	0.00099168	0.0016368	0.0014988	8.4597e-06	1.8718e-05	1.5138e-06	1.3299e-07	0.00092895	0.0017348	0.0022536	0.0012729	0.0010346	0.0018252
AOXSr2	4.008e-06	1.69e-06	1.1953e-06	1.4338e-07	1.3843e-07	1.3407e-07	5.1411e-08	5.0751e-08	5.0141e-08	2.2925e-06	1.0795e-06	8.5366e-07	7.0818e-07	1.148e-07	1.146e-07	1.1458e-07	1.1459e-07	3.0508e-20	2.6547e-09	1.6672e-09	9.8458e-10	8.4505e-10	1e-09	3.7587e-10	3.4993e-10	3.5781e-10	1.4925e-12	1.1249e-12	8.2734e-19	5.1455e-09	8.746e-10	8.2906e-10	8.0747e-10	8.1771e-10
APAT2r	-0.00059846	0.00028589	-0.023126	0.00025227	-0.0082152	-0.00040397	0.00073799	0.0055935	0.00043813	-0.0012347	-0.053574	0.079546	-0.05358	-0.12007	0.075921	0.15927	0.10233	0.14169	0.0090407	0.73186	0.0079776	0.18446	0.024011	0.016495	0.24148	0.8013	0.034508	0.18567	0.24501	0.22363	1.0366	0.42981	0.36433	0.37739
APATT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APATc	0.015476	0.017566	0.026986	0.041963	0.021094	0.019998	0.34905	0.22077	0.27903	0.34358	0.14696	0.11049	0.11936	0.034008	0.27243	0.2469	0.14527	0.1328	0.13589	0.18778	0.23751	0.15481	0.17985	1.9781	0.88208	2.1353	1.3447	0.6744	0.78143	0.63533	0.33025	1.0782	0.8771	1.5669
APCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH120	2.051e-09	0	4.8596e-08	1.6687e-08	6.408e-09	6.5707e-08	4.464e-08	2.8985e-09	8.1037e-10	9.8507e-09	0	0	0	0	0	0	1.9078e-11	2.9118e-08	0	3.9539e-07	1.6487e-07	7.6368e-08	3.5162e-07	2.7772e-07	4.2007e-08	8.8913e-10	1.0345e-07	0	0	0	0	0	0	2.1255e-10
APH140	3.1185e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1924e-11	9.8617e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6829e-10
APH141	2.1892e-09	0	2.0073e-08	8.1192e-09	9.2566e-10	1.5749e-08	1.4292e-08	2.0028e-09	2.1419e-11	4.3896e-09	0	0	0	0	0	0	3.1001e-11	3.0916e-08	0	2.5849e-07	1.1544e-07	2.9272e-08	1.879e-07	1.7295e-07	3.653e-08	1.9445e-10	6.9304e-08	0	0	0	0	0	0	2.7026e-10
APH150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH160	0	0	0	0	0	0	0	0	1.7849e-12	0	0	0	0	0	0	0	2.3847e-12	0	0	0	0	0	0	0	0	5.6445e-11	0	0	0	0	0	0	0	7.5411e-11
APH161	0	0	0	0	0	0	0	0	5.3548e-12	0	0	0	0	0	0	0	1.1924e-11	0	0	0	0	0	0	0	0	9.7668e-11	0	0	0	0	0	0	0	1.6829e-10
APH170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH180	2.4903e-12	0	0	0	0	0	0	0	1.3744e-10	0	0	0	0	0	0	0	3.3386e-11	7.8751e-11	0	0	0	0	0	0	0	4.7609e-10	0	0	0	0	0	0	0	2.8032e-10
APH181	0	0	0	0	0	0	0	0	3.5699e-11	0	0	0	0	0	0	0	7.1541e-12	0	0	0	0	0	0	0	0	2.5002e-10	0	0	0	0	0	0	0	1.3048e-10
APHai150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APHai170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APHi140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APHi150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APHi160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APHi170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APHi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APRAUR	0.0015711	0.00066249	0.00046855	5.6205e-05	5.4264e-05	5.2554e-05	2.0153e-05	1.9895e-05	1.9655e-05	0.00089867	0.00042317	0.00033463	0.00027761	4.5001e-05	4.4924e-05	4.4915e-05	4.4919e-05	3.6992e-16	1.0407e-06	6.5355e-07	3.8596e-07	3.3126e-07	3.9202e-07	1.4734e-07	1.3717e-07	1.4026e-07	5.8507e-10	4.4096e-10	1.7555e-14	2.017e-06	3.4284e-07	3.2499e-07	3.1653e-07	3.2054e-07
ARABDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARABLAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGDr	8.1149e-05	0.00010917	0.00013357	0.00050449	0.00040712	0.00056254	0.00016765	8.8527e-05	0.00013608	0	4.5084e-08	1.6134e-05	2.84e-05	5.648e-05	1.0584e-05	2.8452e-05	0	0.0014801	0.0023198	0.0019735	0.0032238	0.0025973	0.0031467	0.0017613	0.00114	0.0011033	0	1.0076e-06	0.00051019	0.00063472	0.00089168	0.00033471	0.00051894	0
ARGSL	0.024866	0.01056	0.007525	0.0014152	0.0012632	0.0013916	0.00048557	0.00040237	0.00044615	0.014177	0.0066756	0.0052951	0.0044077	0.00076638	0.00071927	0.000737	0.00070861	0.0014801	0.0023196	0.0019733	0.0033101	0.002598	0.0031479	0.0017615	0.0011403	0.0011037	9.2297e-09	1.0174e-06	0.00051019	0.0006349	0.00089154	0.00033468	0.00051885	5.0567e-06
ARGSS	0.024866	0.01056	0.007525	0.0014152	0.0012632	0.0013916	0.00048557	0.00040237	0.00044615	0.014177	0.0066756	0.0052951	0.0044077	0.00076638	0.00071927	0.000737	0.00070861	0.0014801	0.0023196	0.0019733	0.0033101	0.002598	0.0031479	0.0017615	0.0011403	0.0011037	9.2297e-09	1.0174e-06	0.00051019	0.0006349	0.00089154	0.00033468	0.00051885	5.0567e-06
ARGTRS	0.024785	0.010451	0.0073915	0.00088665	0.00085604	0.00082906	0.00031792	0.00031384	0.00031007	0.014177	0.0066756	0.005279	0.0043793	0.0007099	0.00070868	0.00070855	0.00070861	1.1491e-16	1.6417e-05	1.031e-05	6.0886e-06	5.2257e-06	6.1842e-06	2.3243e-06	2.1639e-06	2.2127e-06	9.2297e-09	6.9563e-09	5.1159e-15	3.1819e-05	5.4084e-06	5.1269e-06	4.9934e-06	5.0567e-06
ASAD	-0.18113	-0.074055	-0.05075	-0.0072716	-0.0067289	-0.0082952	-0.0036454	-0.0042451	-0.0038702	-0.090237	-0.046007	-0.033849	-0.028461	-0.0079088	-0.0057525	-0.0062314	-0.0057818	0.017543	0.0049263	0.004769	0.012298	0.0099318	0.014913	0.0096772	0.014821	0.012758	0.0023163	0.0015572	0.0054256	0.0071168	0.01769	0.0095576	0.010993	0.0098237
ASCISOs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASNS1	0.044594	0.018829	0.013326	0.0016383	0.001681	0.0018027	0.00058071	0.00061692	0.0012348	0.025507	0.012011	0.009498	0.0079161	0.0013639	0.0013617	0.0013182	0.0012749	8.1032e-16	0.00081609	0.00058288	0.0013598	0.0023659	0.0035993	0.00019448	0.0014041	0.0053568	2.8034e-08	3.5649e-07	2.3258e-14	0.0011624	0.0019362	0.0019363	0.0013699	9.0981e-06
ASP1DC	0.041249	0.017419	0.012253	0.0018444	0.0014979	0.0016247	0.0008424	0.00063051	0.00081517	0.02369	0.011155	0.0090088	0.0075005	0.0012289	0.0013509	0.0012899	0.0015309	0.002504	0.0010207	0.0013597	0.003116	0.0017459	0.0030337	0.0035536	0.0018288	0.0033994	2.269e-06	9.0526e-07	0.002714	0.0028744	0.0013915	0.0025726	0.0020684	0.0037061
ASPCT	0.095409	0.04027	0.028491	0.0035673	0.0035476	0.0035804	0.0015557	0.0013598	0.0014591	0.054573	0.025697	0.020564	0.017167	0.0029314	0.0030093	0.0029792	0.0030913	1.775e-15	0.00055523	0.00043685	0.0023854	0.0030242	0.0038973	0.0030753	0.0027671	0.0029359	5.0942e-07	2.2407e-07	0.0022935	0.0030727	0.0027726	0.0031408	0.0030559	0.0032751
ASPK	0.18113	0.074055	0.05075	0.0072716	0.0067289	0.0082952	0.0036454	0.0042451	0.0038702	0.090237	0.046007	0.033849	0.028461	0.0079088	0.0057525	0.0062314	0.0057818	0.017543	0.0049263	0.004769	0.012298	0.0099318	0.014913	0.0096772	0.014821	0.012758	0.0023163	0.0015572	0.0054256	0.0071168	0.01769	0.0095576	0.010993	0.0098237
ASPO	0.0011924	0.00047521	0.00027474	9.4222e-05	9.8344e-05	3.5164e-05	1.5709e-05	3.7816e-05	2.6754e-05	0.0015899	0.00071378	0.00066423	0.00055426	3.5931e-05	9.1894e-05	9.0762e-05	9.0387e-05	0.0015769	0.00065657	0.00043911	4.6438e-05	3.8059e-05	5.1099e-05	2.0335e-05	1.1755e-05	1.947e-05	0.00066882	0.000347	0.00014922	0.00011596	4.5612e-05	1.2783e-05	1.6208e-05	1.7235e-05
ASPO1	0.033867	0.04445	0.022081	0.00043443	0.00015463	0.01621	0.0012734	4.5276e-05	0.0038769	0.0012082	0.00038396	0.00045036	0.00023425	0.016675	4.6686e-05	0.00018635	0.00014618	0.0028449	0.042805	0.027207	0.0043247	0.002634	0.021869	0.0077976	0.0014317	0.011376	0.0083527	0.0036425	0.0047402	0.0035331	0.022342	0.0014763	0.002942	0.0026662
ASPO3	0	0	0.0001055	2.59e-06	5.6683e-07	2.376e-05	3.3755e-06	8.357e-08	7.6912e-06	2.0611e-05	8.823e-07	6.9772e-07	1.154e-06	1.87e-07	0	9.3379e-08	9.3379e-08	0	0	0.00030335	1.7278e-05	8.0003e-06	4.5292e-05	1.1453e-05	1.8678e-06	1.6046e-05	0.00019553	2.7901e-05	2.2064e-05	2.5791e-05	4.1794e-06	0	2.9529e-06	2.9529e-06
ASPO5	0	1.3805e-06	5.57e-05	1.4072e-06	9.0555e-07	2.962e-06	9.6933e-07	1.2494e-07	8.2133e-07	2.0611e-05	4.4115e-06	1.3954e-06	0	5.3711e-06	0	0	9.3379e-08	0	4.3656e-05	0.00022667	1.2775e-05	1.0089e-05	1.7791e-05	6.3211e-06	2.2788e-06	5.7524e-06	0.00019553	6.2263e-05	3.1187e-05	0	2.1859e-05	0	0	2.9529e-06
ASPO6	0.0012088	0.00050828	0.00035745	1.1032e-05	7.0794e-06	2.8203e-05	1.3691e-05	1.6672e-06	3.1669e-06	0.00012085	0.00010588	1.6745e-05	1.0826e-05	2.5419e-05	1.2116e-06	1.77e-06	1.5893e-06	0.0015815	0.00066643	0.00047069	3.4266e-05	2.7383e-05	4.7871e-05	1.9696e-05	8.1722e-06	1.097e-05	0.00045954	0.00028686	0.00010684	7.7843e-05	4.1714e-05	1.0563e-05	1.2725e-05	1.2092e-05
ASPO6_2	0.00087465	0.00039642	0.00018354	7.9378e-06	6.2461e-06	1.9486e-05	8.2746e-06	1.7888e-06	2.5482e-06	0.00012175	5.735e-05	1.4652e-05	1.2571e-05	2.6919e-05	5.6028e-07	1.023e-06	1.4941e-06	0.0014499	0.00062514	0.00038165	2.9458e-05	2.5816e-05	4.1897e-05	1.6715e-05	8.4435e-06	9.9168e-06	0.00045827	0.00021762	0.00010009	8.3871e-05	4.2453e-05	7.215e-06	9.7054e-06	1.1723e-05
ASPT	5.6662	0.25044	0.21404	0.090858	0.21132	0.26628	0.24171	0.22359	0.26569	0.0068889	0.30157	-0.044526	-0.10021	0.0039275	0.31036	0.99107	0.8194	0.40848	0.8681	0.86434	0.74608	0.68069	0.75329	0.66549	0.74	0.80489	1.0372	0.91186	0.71319	0.41349	0.71192	0.83006	1.784	1.4311
ASPTA	-6.2628	-0.53011	-0.40097	-0.11419	-0.23315	-0.30587	-0.25319	-0.23419	-0.28021	-0.31667	-0.45077	-0.071818	0.002942	-0.040992	-0.32848	-1.0103	-0.83754	0.40814	0.86846	0.86256	0.74721	0.68056	0.75437	0.66529	0.7393	0.80622	1.0371	0.91177	0.71331	0.41277	0.71539	0.83158	1.7865	1.4305
ASPTRS	0.045216	0.019066	0.013484	0.0016175	0.0015617	0.0015125	0.00057999	0.00057255	0.00056567	0.025863	0.012178	0.0096305	0.0079893	0.0012951	0.0012929	0.0012926	0.0012927	7.699e-16	2.995e-05	1.8809e-05	1.1108e-05	9.5335e-06	1.1282e-05	4.2403e-06	3.9477e-06	4.0366e-06	1.6838e-08	1.2691e-08	9.3334e-15	5.8048e-05	9.8668e-06	9.3531e-06	9.1095e-06	9.225e-06
ASR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAH	8.8818e-19	2.2239e-06	1.6134e-05	0.00011315	1.6914e-05	3.8094e-05	0.00016453	5.1576e-05	0.00011416	1.1968e-08	1.6906e-08	4.9684e-06	8.415e-05	0.00025514	3.0221e-05	1.5778e-05	0.00018284	2.8087e-17	3.2028e-05	0.00025471	0.0014174	0.00071126	0.0012046	0.0031054	0.00065744	0.0018227	2.6748e-07	2.5158e-07	0.00035657	0.00099812	0.0033229	0.00069026	0.00062891	0.0025492
ATNS_nh4	0.0079459	0.0033513	0.0023659	0.00036466	0.00040032	0.00027362	0.00021566	0.00021253	0.0001723	0.0045541	0	0	0	0	0	0	0	0.00035589	0.00033975	0.00024679	0.0017114	0.0017161	0.00055724	0.0016263	0.0014982	0.001268	1.5607e-06	0	0	0	0	0	0	0
ATPPRT	0.019427	0.0082225	0.0058243	0.00073222	0.00070612	0.00071914	0.00031951	0.00033964	0.00030087	0.011112	0.0052324	0.0041751	0.0034711	0.00059447	0.00057129	0.00057585	0.00057035	2.8841e-16	0.00045606	0.00036564	0.0005881	0.00064094	0.00097836	0.00090583	0.0017079	0.00090019	5.4444e-07	2.3741e-07	0.00059063	0.00060857	0.00060077	0.00035369	0.00037345	0.0003338
BACCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCOATA	0.0070835	0.0029003	0.0019708	-0.0031191	-0.0014148	-0.0033464	-0.0029139	-0.00064835	-0.0017463	0.005073	0.0023892	0.00035141	-0.00054138	-0.0022371	-0.00053189	-0.00069392	-0.0028917	0.017643	0.0063955	0.0043684	0.026231	0.01634	0.024234	0.024242	0.0097757	0.020504	8.4333e-06	2.2441e-06	0.014281	0.017277	0.021056	0.0092939	0.0099256	0.027439
BDH	-0.00036077	-0.00019433	-0.00015584	-0.0023995	-0.00045578	-0.004844	-0.0013273	-0.00015366	-0.018551	0	-2.2542e-08	0	0	-0.00035288	-0.00019276	0	-0.0002611	0.011409	0.0033787	0.0022001	0.018787	0.0072455	0.033704	0.016487	0.0036249	0.065101	0	7.1284e-07	0	0	0.011159	0.0060955	0	0.0082567
BETALDHx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BETALDHy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BFBP	0	0	0	1.6678e-06	3.3412e-07	1.1442e-06	9.1609e-07	9.1551e-07	6.6387e-06	1.4362e-07	1.1271e-07	2.5217e-07	1.9312e-06	4.1703e-06	1.5549e-06	2.4659e-06	4.7993e-06	0	0	0	3.3045e-05	7.4679e-06	1.7319e-05	1.7834e-05	2.009e-05	8.2035e-05	2.6194e-06	1.5908e-06	7.9743e-06	3.608e-05	6.1848e-05	2.2073e-05	2.6287e-05	6.4454e-05
