	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65
3NTD7eNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3NTD9eNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OADPCOATNo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR100	0.0088614	0.0037344	0.0026411	0.00031615	0.00030543	0.00029543	0.00011331	0.0001119	0.00011053	0.0050686	0.0023867	0.0018874	0.0015608	0.00025293	0.0002526	0.0002526	0.0002526
3OAR100No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002526	0	0
3OAR100No2	0	0.0037344	0	0	0	0	0.00011331	0	0	0	0	0	0	0	0	0	0
3OAR100No3	0	0	0	0	0	0.00029543	0	0	0.00011053	0	0	0.0018874	0	0	0	0	0
3OAR100No4	0	0	0	0.00031615	0	0	0	0	0	0.0050686	0	0	0	0	0	0	0
3OAR100No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025293	0	0	0
3OAR100No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR100No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR100No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR100No9	0.0088614	0	0.0026411	0	0	0	0	0.0001119	0	0	0.0023867	0	0.0015608	0	0	0.0002526	0.0002526
3OAR100No10	0	0	0	0	0.00030543	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR110	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3OAR110No1	0	0	0	1.2828e-05	0	0	0	0	0	0	9.6843e-05	0	0	0	0	0	0
3OAR110No2	0	0.00015153	0	0	0	0	0	0	4.4849e-06	0	0	0	6.3333e-05	0	0	0	0
3OAR110No3	0.00035956	0	0	0	1.2393e-05	1.1987e-05	4.5976e-06	0	0	0	0	0	0	0	0	0	1.0249e-05
3OAR110No4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0263e-05	0	0	0
3OAR110No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR110No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR110No7	0	0	0	0	0	0	0	0	0	0.00020566	0	0	0	0	0	0	0
3OAR110No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0249e-05	0
3OAR110No9	0	0	0.00010717	0	0	0	0	4.5405e-06	0	0	0	7.6582e-05	0	0	1.0249e-05	0	0
3OAR110No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR120	0.0071684	0.0030209	0.0021365	0.00025574	0.00024707	0.00023899	9.166e-05	9.0522e-05	8.9412e-05	0.0041002	0.0019307	0.0015268	0.0012626	0.0002046	0.00020434	0.00020434	0.00020434
3OAR120No1	0	0	0	0.00025574	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR120No2	0.0071684	0	0	0	0	0	0	0	0	0.0041002	0.0019307	0	0	0.0002046	0	0	0
3OAR120No3	0	0.0030209	0	0	0.00024707	0	9.166e-05	0	8.9412e-05	0	0	0	0.0012626	0	0	0	0.00020434
3OAR120No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR120No5	0	0	0	0	0	0.00023899	0	0	0	0	0	0	0	0	0	0	0
3OAR120No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR120No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR120No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR120No9	0	0	0.0021365	0	0	0	0	9.0522e-05	0	0	0	0.0015268	0	0	0.00020434	0	0
3OAR120No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020434	0
arm_3OAR121	0.001693	0.00071348	0.00050461	6.0401e-05	5.8354e-05	5.6444e-05	2.1648e-05	2.1379e-05	2.1117e-05	0.00096839	0.00045599	0.0003606	0.00029821	4.8323e-05	4.8261e-05	4.8261e-05	4.8261e-05
3OAR121No1	0	0	0	6.0401e-05	0	0	0	0	0	0	0.00045599	0	0	0	0	0	0
3OAR121No2	0	0.00071348	0	0	0	0	0	0	2.1117e-05	0	0	0.0003606	0	4.8323e-05	0	0	4.8261e-05
3OAR121No3	0	0	0	0	5.8354e-05	0	2.1648e-05	0	0	0.00096839	0	0	0.00029821	0	0	0	0
3OAR121No4	0.001693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8261e-05	0
3OAR121No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR121No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR121No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR121No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR121No9	0	0	0.00050461	0	0	5.6444e-05	0	2.1379e-05	0	0	0	0	0	0	4.8261e-05	0	0
3OAR121No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR130	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3OAR130No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR130No2	0	0	0	0	0	1.1987e-05	0	0	4.4849e-06	0	0	0	6.3333e-05	0	0	0	1.0249e-05
3OAR130No3	0.00035956	0.00015153	0	0	0	0	4.5976e-06	0	0	0	0	7.6582e-05	0	0	0	0	0
3OAR130No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR130No5	0	0	0	0	0	0	0	0	0	0	9.6843e-05	0	0	1.0263e-05	0	0	0
3OAR130No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR130No7	0	0	0	0	0	0	0	0	0	0.00020566	0	0	0	0	0	0	0
3OAR130No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR130No9	0	0	0.00010717	0	1.2393e-05	0	0	4.5405e-06	0	0	0	0	0	0	1.0249e-05	1.0249e-05	0
3OAR130No10	0	0	0	1.2828e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR140	0.0071684	0.0030209	0.0021365	0.00025574	0.00024707	0.00023899	9.166e-05	9.0522e-05	8.9412e-05	0.0041002	0.0019307	0.0015268	0.0012626	0.0002046	0.00020434	0.00020434	0.00020434
3OAR140No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR140No2	0	0.0030209	0	0	0.00024707	0	0	0	0	0	0	0	0.0012626	0	0	0	0.00020434
3OAR140No3	0	0	0	0	0	0	9.166e-05	0	8.9412e-05	0	0	2.253e-05	0	0	0	0	0
3OAR140No4	0.0071684	0	0	0	0	0.00023899	0	0	0	0	0	0	0	0	0	0	0
3OAR140No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002046	0	0	0
3OAR140No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR140No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR140No8	0	0	0	0	0	0	0	0	0	0	0.0019307	0.0015043	0	0	0	0	0
3OAR140No9	0	0	0.0021365	0	0	0	0	9.0522e-05	0	0.0041002	0	0	0	0	0.00020434	0	0
3OAR140No10	0	0	0	0.00025574	0	0	0	0	0	0	0	0	0	0	0	0.00020434	0
arm_3OAR141	0.001693	0.00071348	0.00050461	6.0401e-05	5.8354e-05	5.6444e-05	2.1648e-05	2.1379e-05	2.1117e-05	0.00096839	0.00045599	0.0003606	0.00029821	4.8323e-05	4.8261e-05	4.8261e-05	4.8261e-05
3OAR141No1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8323e-05	0	0	4.8261e-05
3OAR141No2	0.001693	0	0	0	0	0	0	0	2.1117e-05	0	0	0	0	0	0	0	0
3OAR141No3	0	0.00071348	0	0	0	5.6444e-05	2.1648e-05	0	0	0	0.00045599	0	0.00029821	0	0	0	0
3OAR141No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR141No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR141No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR141No7	0	0	0	0	0	0	0	0	0	0.00096839	0	0	0	0	0	0	0
3OAR141No8	0	0	0	0	0	0	0	0	0	0	0	0.0003606	0	0	0	0	0
3OAR141No9	0	0	0.00050461	0	5.8354e-05	0	0	2.1379e-05	0	0	0	0	0	0	4.8261e-05	0	0
3OAR141No10	0	0	0	6.0401e-05	0	0	0	0	0	0	0	0	0	0	0	4.8261e-05	0
arm_3OAR150	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3OAR150No1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0263e-05	0	0	1.0249e-05
3OAR150No2	0	0.00015153	0	0	1.2393e-05	0	0	0	0	0	0	0	0	0	0	0	0
3OAR150No3	0	0	0	0	0	0	4.5976e-06	0	0	0	0	7.6582e-05	6.3333e-05	0	0	0	0
3OAR150No4	0	0	0	0	0	1.1987e-05	0	0	0	0	0	0	0	0	0	1.0249e-05	0
3OAR150No5	0	0	0	0	0	0	0	0	0	0	9.6843e-05	0	0	0	0	0	0
3OAR150No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR150No7	0	0	0	0	0	0	0	0	0	0.00020566	0	0	0	0	0	0	0
3OAR150No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR150No9	0.00035956	0	0.00010717	0	0	0	0	4.5405e-06	4.4849e-06	0	0	0	0	0	1.0249e-05	0	0
3OAR150No10	0	0	0	1.2828e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR160	0.0065917	0.0027779	0.0019647	0.00023517	0.0002272	0.00021976	8.4287e-05	8.324e-05	8.222e-05	0.0037704	0.0017754	0.001404	0.0011611	0.00018814	0.0001879	0.0001879	0.0001879
3OAR160No1	0	0	0	0	0	0	0	0	0	0	0	0	0.0011611	0	0	0	0.0001879
3OAR160No2	0.0065917	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001879	0	0
3OAR160No3	0	0	0	0	0	0	8.4287e-05	0	0	0	0.0017754	0	0	0	0	0	0
3OAR160No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR160No5	0	0	0	0	0.0002272	0	0	0	0	0	0	0	0	0	0	0.0001879	0
3OAR160No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR160No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR160No8	0	0	0	0	0	0	0	0	0	0.0037704	0	0.001404	0	0	0	0	0
3OAR160No9	0	0.0027779	0.0019647	0	0	0.00021976	0	8.324e-05	8.222e-05	0	0	0	0	0.00018814	0	0	0
3OAR160No10	0	0	0	0.00023517	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR161	0.001693	0.00071348	0.00050461	6.0401e-05	5.8354e-05	5.6444e-05	2.1648e-05	2.1379e-05	2.1117e-05	0.00096839	0.00045599	0.0003606	0.00029821	4.8323e-05	4.8261e-05	4.8261e-05	4.8261e-05
3OAR161No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8261e-05
3OAR161No2	0	0	0	0	0	5.6444e-05	0	0	0	0	0	0	0	0	0	0	0
3OAR161No3	0.001693	0.00071348	0	0	0	0	2.1648e-05	0	2.1117e-05	0	0	0	0.00029821	4.8323e-05	0	0	0
3OAR161No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR161No5	0	0	0	0	0	0	0	0	0	0	0.00045599	0	0	0	0	0	0
3OAR161No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR161No7	0	0	0	0	0	0	0	0	0	0.00096839	0	0	0	0	0	0	0
3OAR161No8	0	0	0	0	0	0	0	0	0	0	0	0.0003606	0	0	0	0	0
3OAR161No9	0	0	0.00050461	0	5.8354e-05	0	0	2.1379e-05	0	0	0	0	0	0	4.8261e-05	0	0
3OAR161No10	0	0	0	6.0401e-05	0	0	0	0	0	0	0	0	0	0	0	4.8261e-05	0
arm_3OAR170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR170No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR180No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR181No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR40No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR50	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3OAR50No1	0	0	0	1.2828e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR50No2	0	0	0	0	0	0	0	0	4.4849e-06	0	0	0	6.3333e-05	0	0	0	0
3OAR50No3	0	0.00015153	0	0	0	0	4.5976e-06	0	0	0.00020566	9.6843e-05	0	0	0	0	0	0
3OAR50No4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0263e-05	0	0	0
3OAR50No5	0.00035956	0	0	0	1.2393e-05	0	0	0	0	0	0	7.6582e-05	0	0	0	0	0
3OAR50No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR50No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR50No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR50No9	0	0	0.00010717	0	0	1.1987e-05	0	4.5405e-06	0	0	0	0	0	0	1.0249e-05	1.0249e-05	1.0249e-05
3OAR50No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR60	0.0088717	0.0037387	0.0026442	0.00031651	0.00030578	0.00029577	0.00011344	0.00011203	0.00011066	0.0050745	0.0023895	0.0018896	0.0015626	0.00025322	0.00025289	0.00025289	0.00025289
3OAR60No1	0	0	0	0.00031651	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR60No2	0	0	0	0	0	0	0	0	0.00011066	0	0	0	0.0015626	0.00025322	0	0	0
3OAR60No3	0.0088717	0.0037387	0	0	0	0.00029577	0.00011344	0	0	0	0	0	0	0	0	0	0
3OAR60No4	0	0	0	0	0	0	0	0	0	0	0.0023895	0	0	0	0	0	0
3OAR60No5	0	0	0	0	0.00030578	0	0	0	0	0.0050745	0	0.0018896	0	0	0	0	0
3OAR60No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR60No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR60No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025289	0
3OAR60No9	0	0	0.0026442	0	0	0	0	0.00011203	0	0	0	0	0	0	0.00025289	0	0.00025289
3OAR60No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR70	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3OAR70No1	0	0	0	1.2828e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR70No2	0	0	0	0	0	0	0	0	4.4849e-06	0	9.6843e-05	0	6.3333e-05	0	0	0	0
3OAR70No3	0.00035956	0.00015153	0	0	0	0	4.5976e-06	0	0	0	0	0	0	0	0	0	0
3OAR70No4	0	0	0	0	1.2393e-05	0	0	0	0	0	0	0	0	0	0	0	1.0249e-05
3OAR70No5	0	0	0	0	0	1.1987e-05	0	0	0	0	0	7.6582e-05	0	0	0	0	0
3OAR70No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR70No7	0	0	0	0	0	0	0	0	0	0.00020566	0	0	0	0	0	0	0
3OAR70No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR70No9	0	0	0.00010717	0	0	0	0	4.5405e-06	0	0	0	0	0	1.0263e-05	1.0249e-05	0	0
3OAR70No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0249e-05	0
arm_3OAR80	0.0088717	0.0037387	0.0026442	0.00031651	0.00030578	0.00029577	0.00011344	0.00011203	0.00011066	0.0050745	0.0023895	0.0018896	0.0015626	0.00025322	0.00025289	0.00025289	0.00025289
3OAR80No1	0	0	0	0.00031651	0	0	0	0	0	0	0	0	0	0	0.00025289	0	0
3OAR80No2	0.0088717	0	0	0	0	0.00029577	0.00011344	0	0	0	0	0	0.0015626	0	0	0	0
3OAR80No3	0	0.0037387	0	0	0	0	0	0	0	0	0.0023895	0	0	0.00025322	0	0	0
3OAR80No4	0	0	0	0	0.00030578	0	0	0	0	0	0	0	0	0	0	0	0.00025289
3OAR80No5	0	0	0	0	0	0	0	0	0	0.0050745	0	0.0018896	0	0	0	0.00025289	0
3OAR80No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR80No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR80No8	0	0	0	0	0	0	0	0	0.00011066	0	0	0	0	0	0	0	0
3OAR80No9	0	0	0.0026442	0	0	0	0	0.00011203	0	0	0	0	0	0	0	0	0
3OAR80No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OAR90	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3OAR90No1	0	0	0	1.2828e-05	0	0	0	0	0	0	9.6843e-05	0	0	0	0	0	0
3OAR90No2	0	0.00015153	0	0	0	0	0	0	0	0.00020566	0	0	0	0	0	0	0
3OAR90No3	0.00035956	0	0	0	0	0	4.5976e-06	0	4.4849e-06	0	0	0	6.3333e-05	1.0263e-05	0	0	1.0249e-05
3OAR90No4	0	0	0	0	1.2393e-05	1.1987e-05	0	0	0	0	0	7.6582e-05	0	0	0	0	0
3OAR90No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR90No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR90No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR90No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OAR90No9	0	0	0.00010717	0	0	0	0	4.5405e-06	0	0	0	0	0	0	1.0249e-05	0	0
3OAR90No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0249e-05	0
arm_3OARai110	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3OARai110No1	0	0	0	0.00042662	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai110No2	0	0	0	0	0	0	0	0	0	0	0.0032207	0.0025469	0	0	0	0	0
3OARai110No3	0	0.0050394	0	0	0	0.00039867	0.0001529	0	0	0	0	0	0	0	0	0	0.00034087
3OARai110No4	0.011958	0	0	0	0.00041216	0	0	0	0	0	0	0	0	0	0	0.00034087	0
3OARai110No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai110No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai110No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai110No8	0	0	0	0	0	0	0	0	0.00014915	0	0	0	0	0	0	0	0
3OARai110No9	0	0	0.003564	0	0	0	0	0.000151	0	0.0068398	0	0	0.0021062	0.00034131	0.00034087	0	0
3OARai110No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OARai130	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3OARai130No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai130No2	0.011958	0	0	0	0	0	0	0	0.00014915	0	0.0032207	0	0	0	0	0.00034087	0.00034087
3OARai130No3	0	0.0050394	0	0	0	0	0.0001529	0	0	0.0068398	0	0.0025469	0	0.00034131	0	0	0
3OARai130No4	0	0	0	0	0.00041216	0	0	0	0	0	0	0	0.0021062	0	0	0	0
3OARai130No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai130No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai130No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai130No8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai130No9	0	0	0.003564	0	0	0.00039867	0	0.000151	0	0	0	0	0	0	0.00034087	0	0
3OARai130No10	0	0	0	0.00042662	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OARai150	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3OARai150No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034087
3OARai150No2	0.010523	0	0	0	0	0	0	0	0	0.0068398	0.00063702	0	0	0	0	0	0
3OARai150No3	0	0.0050394	0	0	0.00041216	0	0.0001529	0	0	0	0	0	0.0021062	0.00034131	0	0	0
3OARai150No4	0	0	0	0	0	0.00039867	0	0	0	0	0	0	0	0	0	0	0
3OARai150No5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai150No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai150No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai150No8	0	0	0	0	0	0	0	0	0	0	0.0025837	0.0025469	0	0	0	0.00034087	0
3OARai150No9	0.0014347	0	0.003564	0.00042662	0	0	0	0.000151	0.00014915	0	0	0	0	0	0.00034087	0	0
3OARai150No10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arm_3OARai170	0.0057267	0.0024134	0.0017068	0.00020431	0.00019738	0.00019092	7.3226e-05	7.2317e-05	7.1431e-05	0.0032756	0.0015424	0.0012197	0.0010087	0.00016346	0.00016324	0.00016324	0.00016324
3OARai170No1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016324
3OARai170No2	0.0057267	0	0	0	0	0	0	0	0	0	0	0	0	0.00016346	0.00016324	0	0
3OARai170No3	0	0	0	0	0	0	7.3226e-05	0	0	0	0	0	0.0010087	0	0	0	0
3OARai170No4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai170No5	0	0	0	0	0	0	0	0	7.1431e-05	0	0	0	0	0	0	0	0
3OARai170No6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai170No7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OARai170No8	0	0.0024134	0	0	0	0	0	0	0	0.0032756	0.0015424	0.0012197	0	0	0	0	0
3OARai170No9	0	0	0.0017068	0	0.00019738	0.00019092	0	7.2317e-05	0	0	0	0	0	0	0	0	0
3OARai170No10	0	0	0	0.00020431	0	0	0	0	0	0	0	0	0	0	0	0.00016324	0
