"Pathways"	"Subsystem 1"	"Subsystem 2"
PWY-7790	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn
PWY-7791	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn
PWY-7185	UTP-CTP-Dephosphorylation	Pyrimidine-Ribonucleosides-Degradation
PWY-7177	UTP-CTP-Dephosphorylation	Pyrimidine-Ribonucleosides-Degradation
PWY-7181	Pyrimidine-Deoxyribonucleosides-Deg	Pyrimidine-Degradation
PWY0-1295	Pyrimidine-Ribonucleosides-Degradation	Pyrimidine-Degradation
PWY-7209	Pyrimidine-Base-Degradation // Pyrimidine-Ribonucleosides-Degradation // Super-Pathways	Pyrimidine-Degradation // Pathways
PWY-6430	Pyrimidine-Base-Degradation	Pyrimidine-Degradation
PWY0-162	Pyrimid-Ribonucleot-De-Novo-Biosyn // Super-Pathways	Pyrimidine-De-Novo-Biosyn // Pathways
PWY-7176	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn
PWY-7205	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN
PWY-7199	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN
PWY-7183	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN
PWY-7194	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways
PWY-7193	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN
PWY-6556	Pyrimidine-Nucleotide-Salvage // Pyrimidine-Ribonucleosides-Degradation	PYR-NUC-SYN // Pyrimidine-Degradation
PWY-7195	Pyrimidine-Nucleotide-Salvage // Pyrimidine-Ribonucleosides-Degradation	PYR-NUC-SYN // Pyrimidine-Degradation
PWY-7200	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways
PWY-7208	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways
PWY-7196	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways
PWY-6426	Uracil-Degradation	Pyrimidine-Base-Degradation
PWY0-1471	Uracil-Degradation	Pyrimidine-Base-Degradation
PWY-6123	IMP-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis
PWY-6124	IMP-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis
PWY-7234	IMP-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis
P121-PWY	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage
PWY-6605	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage
PWY-6609	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage
PWY-6611	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage
PWY-6619	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage
PWY-6610	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage
PWY-6620	Guanine-Guanosine-Salvage	Purine-Nucleotides-Salvage
PWY-6599	Guanine-Guanosine-Salvage	Purine-Nucleotides-Salvage
PWY-6618	Guanine-Guanosine-Salvage	Purine-Nucleotides-Salvage
PWY-6579	Guanine-Guanosine-Salvage // Super-Pathways	Purine-Nucleotides-Salvage // Pathways
PWY-6596	Adenosine-Nucleotides-Degradation	Purine-Degradation
SALVADEHYPOX-PWY	Adenosine-Nucleotides-Degradation	Purine-Degradation
PWY-6617	Adenosine-Nucleotides-Degradation	Purine-Degradation
PWY-6607	Guanosine-Nucleotides-Degradation	Purine-Degradation
PWY-6606	Guanosine-Nucleotides-Degradation	Purine-Degradation
PWY-6608	Guanosine-Nucleotides-Degradation	Purine-Degradation
PWY-6595	Guanosine-Nucleotides-Degradation // Super-Pathways	Purine-Degradation // Pathways
PWY-7219	Purine-Ribonuc-De-Novo-Biosynthesis	Purine-Nucleotide-De-Novo-Biosynthesis
PWY-7221	Purine-Ribonuc-De-Novo-Biosynthesis	Purine-Nucleotide-De-Novo-Biosynthesis
PWY-6121	AIR-Biosynthesis	PUR-NUC-SYN
PWY-6122	AIR-Biosynthesis	PUR-NUC-SYN
PWY-6277	AIR-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
PWY-7229	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
PWY-6126	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
PWY-7228	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
PWY-6125	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
PWY66-409	Purine-Nucleotides-Salvage // Super-Pathways	PUR-NUC-SYN // Pathways
PWY-841	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
DENOVOPURINE2-PWY	Purine-Nucleotide-De-Novo-Biosynthesis // Super-Pathways	PUR-NUC-SYN // Pathways
SALVPURINE2-PWY	Purine-Nucleotides-Salvage	PUR-NUC-SYN
PWY-7227	Adenosine-Deoxy-Denovo-Bbiosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis
PWY-7220	Adenosine-Deoxy-Denovo-Bbiosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis
PWY-7226	Guanosine-Deoxy-Denovo-Biosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis
PWY-7222	Guanosine-Deoxy-Denovo-Biosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis
PWY-5037	Caffeine-Biosynthesis	PURINE-ALKALOIDS
PWY-5038	Caffeine-Biosynthesis	PURINE-ALKALOIDS
GLYCGREAT-PWY	GLYCINE-DEG // Polyamine-Biosynthesis	Proteinogenic-Amino-Acids-Degradation // Biosynthesis
GLYCLEAV-PWY	GLYCINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-8015	GLYCINE-DEG	Proteinogenic-Amino-Acids-Degradation
ALADEG-PWY	ALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
ALACAT2-PWY	ALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
ALANINE-DEG3-PWY	ALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY1-2	ALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
ARGORNPROST-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways
ARGASEDEG-PWY	ARGININE-DEG // GLUTAMATE-SYN	Proteinogenic-Amino-Acids-Degradation // IND-AMINO-ACID-SYN
AST-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY0-823	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
ARGDEG-III-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5742	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
ARGDEGRAD-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways
ARG-PRO-PWY	ARGININE-DEG // PROLINE-SYN	Proteinogenic-Amino-Acids-Degradation // IND-AMINO-ACID-SYN
ARG-GLU-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
ARGDEG-IV-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
ARGDEG-V-PWY	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5024	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-7523	ARGININE-DEG	Proteinogenic-Amino-Acids-Degradation
ASPARAGINE-DEG1-PWY	ASPARAGINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-4002	ASPARAGINE-DEG	Proteinogenic-Amino-Acids-Degradation
ASPARAGINE-DEG1-PWY-1	ASPARAGINE-DEG	Proteinogenic-Amino-Acids-Degradation
ASPARTATE-DEG1-PWY	ASPARTATE-DEG	Proteinogenic-Amino-Acids-Degradation
MALATE-ASPARTATE-SHUTTLE-PWY	ASPARTATE-DEG	Proteinogenic-Amino-Acids-Degradation
CYSTEINE-DEG-PWY	CYSTEINE-DEG	Proteinogenic-Amino-Acids-Degradation
LCYSDEG-PWY	CYSTEINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5329	CYSTEINE-DEG	Proteinogenic-Amino-Acids-Degradation
GLUTAMATE-DEG1-PWY	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-4321	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5087	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5766	GLUTAMATE-DEG	Proteinogenic-Amino-Acids-Degradation
GLUTAMINDEG-PWY	GLUTAMINE-DEG	Proteinogenic-Amino-Acids-Degradation
GLUTAMINEFUM-PWY	GLUTAMINE-DEG	Proteinogenic-Amino-Acids-Degradation
HISDEG-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5028	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5030	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation
HISTDEG-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5031	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation
HISHP-PWY	HISTIDINE-DEG	Proteinogenic-Amino-Acids-Degradation
ILEUDEG-PWY	ISOLEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5078	ISOLEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation
LEU-DEG2-PWY	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5075	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5076	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-7767	LEUCINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY0-461	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY66-425	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
LYSDEGII-PWY	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5280	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5324	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5283	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5298	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5311	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5314	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-6328	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
LYSINE-DEG1-PWY	LYSINE-DEG	Proteinogenic-Amino-Acids-Degradation
METHIONINE-DEG1-PWY	METHIONINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-701	METHIONINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5082	METHIONINE-DEG	Proteinogenic-Amino-Acids-Degradation
PHENYLALANINE-DEG1-PWY	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
ANAPHENOXI-PWY	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5079	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-6318	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-7158	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-8014	PHENYLALANINE-DEG	Proteinogenic-Amino-Acids-Degradation
PROUT-PWY	PROLINE-DEG	Proteinogenic-Amino-Acids-Degradation
SERDEG-PWY	SERINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5437	THREONINE-DEG	Proteinogenic-Amino-Acids-Degradation
THREONINE-DEG2-PWY	THREONINE-DEG	Proteinogenic-Amino-Acids-Degradation
THRDLCTCAT-PWY	THREONINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5436	THREONINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY66-428	THREONINE-DEG	Proteinogenic-Amino-Acids-Degradation
TRPCAT-PWY	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
TRYPDEG-PWY	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
TRPKYNCAT-PWY	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5651	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-3162	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5081	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-6307	TRYPTOPHAN-DEG	Proteinogenic-Amino-Acids-Degradation
TYRFUMCAT-PWY	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5151	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY3O-4108	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-7514	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-8016	TYROSINE-DEG	Proteinogenic-Amino-Acids-Degradation
VALDEG-PWY	VALINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-5057	VALINE-DEG	Proteinogenic-Amino-Acids-Degradation
PWY-4983	ARGININE-DEG // ARGININE-SYN // Nitric-Oxide-Biosynthesis	Proteinogenic-Amino-Acids-Degradation // IND-AMINO-ACID-SYN // Metabolic-Regulators
ORNARGDEG-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways
ARGDEG-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways
PWY-5327	LYSINE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways
PWY-5328	METHIONINE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways
ASPSYNII-PWY	ASPARAGINE-SYN // Cyanide-Detoxification // Other-Degradation	IND-AMINO-ACID-SYN // Detoxification // Degradation
GLYSYN-PWY	GLYCINE-SYN	IND-AMINO-ACID-SYN
GLYCINE-SYN2-PWY	GLYCINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
GLYSYN-ALA-PWY	GLYCINE-SYN	IND-AMINO-ACID-SYN
GLYSYN-THR-PWY	GLYCINE-SYN	IND-AMINO-ACID-SYN
PWY-801	CYSTEINE-SYN // Interconversion	IND-AMINO-ACID-SYN // Activation-Inactivation-Interconversion
PWY-5029	HISTIDINE-SYN	IND-AMINO-ACID-SYN
ALANINE-VALINESYN-PWY	ALANINE-SYN	IND-AMINO-ACID-SYN
ALANINE-SYN2-PWY	ALANINE-SYN	IND-AMINO-ACID-SYN
PWY0-1021	ALANINE-SYN	IND-AMINO-ACID-SYN
ARGSYN-PWY	ARGININE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
ARGSYNBSUB-PWY	ARGININE-SYN	IND-AMINO-ACID-SYN
PWY-5154	ARGININE-SYN	IND-AMINO-ACID-SYN
PWY-7400	ARGININE-SYN	IND-AMINO-ACID-SYN
ASPARAGINE-BIOSYNTHESIS	ASPARAGINE-SYN	IND-AMINO-ACID-SYN
ASPARAGINESYN-PWY	ASPARAGINE-SYN	IND-AMINO-ACID-SYN
PWY490-4	ASPARAGINE-SYN // Aminoacyl-tRNAs-Charging	IND-AMINO-ACID-SYN // Biosynthesis
ASPARTATESYN-PWY	ASPARTATE-SYN	IND-AMINO-ACID-SYN
CYSTSYN-PWY	CYSTEINE-SYN	IND-AMINO-ACID-SYN
HOMOCYSDEGR-PWY	CYSTEINE-SYN // HOMOCYSTEINE-DEG	IND-AMINO-ACID-SYN // Proteinogenic-Amino-Acids-Degradation
PWY-8010	CYSTEINE-SYN	IND-AMINO-ACID-SYN
PWY-7289	CYSTEINE-SYN	IND-AMINO-ACID-SYN
PWY-I9	CYSTEINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY-7870	CYSTEINE-SYN	IND-AMINO-ACID-SYN
PWY-8009	CYSTEINE-SYN	IND-AMINO-ACID-SYN
PWY-5505	GLUTAMATE-SYN // GLUTAMINE-SYN // Metabolic-Clusters // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
GLUTSYN-PWY	GLUTAMATE-SYN	IND-AMINO-ACID-SYN
GLUTAMATE-SYN2-PWY	GLUTAMATE-SYN	IND-AMINO-ACID-SYN
GLUTSYNIII-PWY	GLUTAMATE-SYN	IND-AMINO-ACID-SYN
GLUGLNSYN-PWY	GLUTAMATE-SYN	IND-AMINO-ACID-SYN
PWY-4341	GLUTAMATE-SYN	IND-AMINO-ACID-SYN
GLUTDEG-PWY	ASPARTATE-SYN // GLUTAMATE-DEG	IND-AMINO-ACID-SYN // Proteinogenic-Amino-Acids-Degradation
PWY-6549	GLUTAMINE-SYN	IND-AMINO-ACID-SYN
HISTSYN-PWY	HISTIDINE-SYN	IND-AMINO-ACID-SYN
ILEUSYN-PWY	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN
PWY-5101	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN
PWY-5103	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN
PWY-5104	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN
PWY-5108	ISOLEUCINE-SYN	IND-AMINO-ACID-SYN
LEUSYN-PWY	LEUCINE-SYN	IND-AMINO-ACID-SYN
DAPLYSINESYN-PWY	LYSINE-SYN	IND-AMINO-ACID-SYN
PWY-2941	LYSINE-SYN	IND-AMINO-ACID-SYN
PWY-2942	LYSINE-SYN	IND-AMINO-ACID-SYN
LYSINE-AMINOAD-PWY	LYSINE-SYN	IND-AMINO-ACID-SYN
PWY-3081	LYSINE-SYN	IND-AMINO-ACID-SYN
PWY-5097	LYSINE-SYN	IND-AMINO-ACID-SYN
PHESYN	PHENYLALANINE-SYN	IND-AMINO-ACID-SYN
PWY-3462	PHENYLALANINE-SYN	IND-AMINO-ACID-SYN
PWY-7432	PHENYLALANINE-SYN	IND-AMINO-ACID-SYN
PROSYN-PWY	PROLINE-SYN	IND-AMINO-ACID-SYN
PWY-4981	PROLINE-SYN	IND-AMINO-ACID-SYN
PWY-3341	PROLINE-SYN	IND-AMINO-ACID-SYN
PWY-4281	PROLINE-SYN	IND-AMINO-ACID-SYN
PWY-6994	Pyrrolysine-Biosynthesis	IND-AMINO-ACID-SYN
PWY0-901	Selenocysteine-Biosynthesis	IND-AMINO-ACID-SYN
PWY-6281	Selenocysteine-Biosynthesis	IND-AMINO-ACID-SYN
SERSYN-PWY	SERINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN
PWY-8011	SERINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN
HOMOSER-THRESYN-PWY	THREONINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN
TRPSYN-PWY	TRYPTOPHAN-BIOSYNTHESIS	IND-AMINO-ACID-SYN
TYRSYN	TYROSINE-SYN	IND-AMINO-ACID-SYN
PWY-3461	TYROSINE-SYN	IND-AMINO-ACID-SYN
PWY-6120	TYROSINE-SYN	IND-AMINO-ACID-SYN
PWY-6134	TYROSINE-SYN	IND-AMINO-ACID-SYN
VALSYN-PWY	VALINE-BIOSYNTHESIS	IND-AMINO-ACID-SYN
PWY0-1061	ALANINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY0-1325	ASPARAGINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY-6293	CYSTEINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY-6292	CYSTEINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY-3001	ISOLEUCINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY-6628	PHENYLALANINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways
PWY0-42	Methyl-Citrate-Cycle	Propionate-Degradation
PWY-5747	Methyl-Citrate-Cycle	Propionate-Degradation
PWY-5526	Chlorophyll-Biosynthesis	Porphyrin-Compounds-Biosynthesis
PWY-7762	Chlorophyll-Biosynthesis	Porphyrin-Compounds-Biosynthesis
PWY-7759	Chlorophyll-Biosynthesis	Porphyrin-Compounds-Biosynthesis
PWY-7758	Chlorophyll-Biosynthesis	Porphyrin-Compounds-Biosynthesis
PWY-7760	Chlorophyll-Biosynthesis	Porphyrin-Compounds-Biosynthesis
PWY-7856	HEME-SYN	Porphyrin-Compounds-Biosynthesis
PWY-7554	HEME-SYN	Porphyrin-Compounds-Biosynthesis
PWY-5375	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis
PWY-5353	Arachidonate-Biosynthesis	PUFA-Biosynthesis
PWY-7583	Arachidonate-Biosynthesis	PUFA-Biosynthesis
PWY-7592	Arachidonate-Biosynthesis // Super-Pathways	PUFA-Biosynthesis // Pathways
PWY-7601	Arachidonate-Biosynthesis	PUFA-Biosynthesis
PWY-7725	Arachidonate-Biosynthesis	PUFA-Biosynthesis
PWY-5373	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis
PWY-5368	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis
PWY-7053	Docosahexaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7585	Docosahexaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7606	Docosahexaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7727	Docosahexaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-6958	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7049	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7724	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7050	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-7602	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-6940	Eicosapentaenoate-Biosynthesis	PUFA-Biosynthesis
PWY-5374	Conjugated-Fatty-Acid-Biosynthesis	PUFA-Biosynthesis
PWY-6784	Cellulose-Degradation // Metabolic-Clusters	POLYSACCHARIDES-DEG // Pathways
PWY-6805	Cellulose-Degradation // Glycan-Degradation	POLYSACCHARIDES-DEG // Glycan-Pathways
PWY-6788	Cellulose-Degradation	POLYSACCHARIDES-DEG
PWY-6855	Chitin-Degradation	POLYSACCHARIDES-DEG
PWY-6902	Chitin-Degradation	POLYSACCHARIDES-DEG
PWY-7822	Chitin-Degradation	POLYSACCHARIDES-DEG
PWY-6906	Chitin-Degradation	POLYSACCHARIDES-DEG
PWY-6572	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG
PWY-7646	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG
PWY-7662	Glycogen-Degradation	POLYSACCHARIDES-DEG
PWY-7651	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG
PWY-7644	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG
PWY-7645	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG
PWY-6822	Carrageenan-Degradation	POLYSACCHARIDES-DEG
PWY-6821	Carrageenan-Degradation	POLYSACCHARIDES-DEG
PWY-6817	Carrageenan-Degradation	POLYSACCHARIDES-DEG
PWY-7248	Pectin-Degradation	POLYSACCHARIDES-DEG
PWY-6771	Rhamnogalacturonan-Degradation	POLYSACCHARIDES-DEG
PWY-6724	Starch-Degradation	POLYSACCHARIDES-DEG
PWY-6731	Starch-Degradation	POLYSACCHARIDES-DEG
PWY-6735	Starch-Degradation	POLYSACCHARIDES-DEG
PWY-6737	Starch-Degradation	POLYSACCHARIDES-DEG
PWY-6073	Alginate-Biosynthesis	Polysaccharides-Biosynthesis
PWY-6082	Alginate-Biosynthesis	Polysaccharides-Biosynthesis
PWY-6569	Glycosaminoglycans-Biosynthesis // Super-Pathways	Polysaccharides-Biosynthesis // Pathways
PWY-6567	Glycosaminoglycans-Biosynthesis	Polysaccharides-Biosynthesis
PWY-6571	Glycosaminoglycans-Biosynthesis // Super-Pathways	Polysaccharides-Biosynthesis // Pathways
PWY-6568	Glycosaminoglycans-Biosynthesis	Polysaccharides-Biosynthesis
GLYCOGENSYNTH-PWY	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis
PWY-5067	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis
PWY-7900	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis
PWY-6564	Glycosaminoglycans-Biosynthesis // Super-Pathways	Polysaccharides-Biosynthesis // Pathways
PWY-6558	Glycosaminoglycans-Biosynthesis	Polysaccharides-Biosynthesis
PWY-622	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis
PWY-6577	All-Trans-Farnesyl-PP-Biosynthesis // Detoxification	Polyprenyl-Biosynthesis // Pathways
PWY-5120	GGPP-Biosynthesis	Polyprenyl-Biosynthesis
PWY-5123	All-Trans-Farnesyl-PP-Biosynthesis	Polyprenyl-Biosynthesis
PWY-7924	Rubber-Degradation	Polymer-Degradation
PWY-7925	Rubber-Degradation	Polymer-Degradation
PWY-5272	Abscisic-Acid-Degradation // Interconversion	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation // Activation-Inactivation-Interconversion
PWY-7642	Abscisic-Acid-Degradation	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation
PWY-7640	Abscisic-Acid-Degradation	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation
PWY-5271	Abscisic-Acid-Degradation	PLANT-HORMONE-DEG // Sesquiterpenoid-Degradation
PWY-2841	CYTOKININS-DEGRADATION // Metabolic-Clusters	PLANT-HORMONE-DEG // Pathways
PWY-102	GIBBERELLINS-DEGRADATION // Gibberellin-Inactivation // Metabolic-Clusters	PLANT-HORMONE-DEG // Inactivation // Pathways
PWY-6477	GIBBERELLINS-DEGRADATION // Gibberellin-Inactivation // Metabolic-Clusters	PLANT-HORMONE-DEG // Inactivation // Pathways
PWY-6494	GIBBERELLINS-DEGRADATION // Gibberellin-Inactivation // Metabolic-Clusters	PLANT-HORMONE-DEG // Inactivation // Pathways
PWY-695	Abscisic-Acid-Biosynthesis	Plant-Hormone-Biosynthesis // SESQUITERPENOID-SYN
PWY4FS-17	Abscisic-Acid-Biosynthesis	Plant-Hormone-Biosynthesis // SESQUITERPENOID-SYN
PWY-699	Brassinosteroid-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-2582	Brassinosteroid-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-2781	CYTOKININ-BIOSYNTHESIS	Plant-Hormone-Biosynthesis
PWY-2902	CYTOKININ-BIOSYNTHESIS // Metabolic-Clusters	Plant-Hormone-Biosynthesis // Pathways
PWY-2881	CYTOKININ-BIOSYNTHESIS // Metabolic-Clusters	Plant-Hormone-Biosynthesis // Pathways
PWY-2901	CYTOKININ-BIOSYNTHESIS // Metabolic-Clusters	Plant-Hormone-Biosynthesis // Pathways
ETHYL-PWY	Ethylene-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-6853	Ethylene-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-6854	Ethylene-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-7124	Ethylene-Biosynthesis // Super-Pathways	Plant-Hormone-Biosynthesis // Pathways
PWYDQC-4	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-581	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-3161	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-5025	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis
PWY-5026	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis
TRPIAACAT-PWY	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis
