Uniprot	Gene
Q9KXS7	SCO4314
Q9X878	SCO3286
Q9F3F2	SCO7605
Q9X8M1	SCO3364
Q9ADC4	SCO5344
Q8CK01	SCO2239
Q93RT1	SCO6310
Q9RIZ6	SCO0169
Q9KYA6	SCO6927
O54146	SCO5883
Q9AD33	SCP1.117
Q9L225	SCO6807
O86761	SCO5638
Q9XAE1	SCO5292
Q9KYX8	SCO3002
O86752	SCO5647
Q9RI34	SCO0214
O86665	SCO6373
Q9KZ66	SCO3082
Q9WX03	SCO3331
Q8CJV2	SCO3934
Q9ADK5	SCO4955
Q9KYB0	SCO6923
Q9F2L5	SCO3766
Q93JJ1	SCO1970
Q9ZBF5	SCO6458
Q9KXM4	SCO4333
Q9FC75	SCO7111
Q8VWE1	SCP2.08
Q9K432	SCO1067
Q9AD25	SCP1.125
Q9KZS1	SCO2880
Q9S235	SCO1765
Q93RW8	SCO1858
Q9L138	SCO7421
Q9KYE3	SCO4127
Q8VWC3	SCP2.39c
Q9F3E1	SCO7616
Q9FCH0	SCO4199
Q93IY2	SCO5103
Q8CJV3	SCO3918
Q9FBZ3	SCO7189
Q9L0S3	SCO4521
Q9FBY9	SCO7193
Q9F2S4	SCO4465
Q9RD44	SCO0639
Q9X7Z6	SCO2137
Q9KY49	SCO4815
Q9KXQ1	SCO1499
Q9L1C4	SCO1558
Q9L0S9	SCO4515
Q9L013	SCO2300
Q93JJ7	SCO4997
Q9RCW6	SCO0944
Q9Z526	SCO5707
Q9KYL9	SCO7368
O88023	SCO6667
Q9RD89	SCO2862
Q9X8P9	SCO3632
Q9F3L6	SCO5248
Q9FBX8	SCO7806
Q9AD52	SCP1.98
Q9S2S9	SCO2060
Q9L063	SCO2791
Q9RJX0	SCO1200
Q9S225	SCO1775
Q9X7Z2	SCO2133
Q9XA22	SCO3842
Q9Z595	SCO6207
Q9X7M8	SCO6722
O70009	SCO5833
Q9L151	SCO7408
O69877	SCO5589
Q9FCB7	SCO1250
Q9RIV0	SCO0956
O86518	SCO5536
Q9X7N4	SCO6728
Q9EWM2	SCO7767
Q9X910	SCO3544
Q93IY6	SCO5099
Q93IV2	SCO1318
Q9RD92	SCO2859
Q9RJK0	SCO0388
Q9EWG9	SCO4973
Q9KXS9	SCO4312
Q9L145	SCO7414
Q9FBZ1	SCO7191
Q9KZ87	SCO4859
Q9X8E8	SCO3275
Q9L1I8	SCO2729
O86553	SCO6619
O54139	SCO5873
Q9RKM5	SCO4102
Q9RKU7	SCO6245
Q9ZBQ9	SCO5570
Q9KYK2	SCO6939
Q9KXJ5	SCO2325
Q9KY92	SCO5010
Q8VWE5	SCP2.04c
Q9XAC6	SCO1930
Q9FC94	SCO1219
O86749	SCO5650
Q9ZBF0	SCO6463
Q9X845	SCO3384
Q9RKV4	SCO6238
Q9F3D4	SCO7623
Q9RJE3	SCO0749
Q9KY40	SCO2350
Q93J36	SCO3971
Q9KZA4	SCO4842
Q9ADA0	SCO1667
Q9EWV3	SCO4943
Q9AD31	
Q9KYY4	SCO7545
Q93IX1	SCO1299
Q9S221	SCO1779
Q9S2S8	SCO2061
O86637	SCO5717
Q9EWT9	SCO0732
Q9X7Z0	SCO2131
Q9RDI9	SCO2737
Q9F3N5	SCO7652
O54171	SCO5942
Q9L0G2	SCO4680
Q9ADM6	SCO4032
Q9L221	SCO6811
Q9L0P6	SCO4245
Q9L1V0	SCO2944
Q8CJW2	SCO3580
Q9RKK9	SCO4073
O86554	SCO6620
Q9RJ97	SCO0668
Q9L260	SCO2661
Q9FC29	SCO7055
Q9L125	SCO7435
Q93J08	SCO7511
Q9FC56	SCO7130
Q9X898	SCO3522
O54183	SCO5954
Q9RKC9	SCO3158
Q9KZD1	SCO6958
Q9L080	SCO2773
Q9X8T0	SCO3894
Q8CK10	SCO1987
Q9RKA2	SCO0260
Q9RKT9	SCO6253
Q9RD21	SCO0889
Q9L0J2	SCO4673
Q9RKE4	SCO3494
Q9L072	SCO2782
Q9RJU1	SCO0369
O50502	SCO6008
Q9RK95	SCO0267
Q8CK70	SCO0072
Q9RJJ9	SCO0389
Q9FCJ9	SCO5189
Q9ADH2	SCO6091
Q9KYM6	SCO7359
Q9K3J2	SCO4828
Q93JA0	SCO7497
Q93IV9	SCO1311
Q9S204	SCO0122
O54180	SCO5951
Q9K3J5	SCO4825
Q9K3H6	SCO1264
Q9L149	SCO7410
Q9X8B7	SCO3437
Q9X8D2	SCO3259
O69863	SCO6033
Q9XAH4	SCO6690
Q9KXP3	SCO1507
Q9RJG4	SCO0470
Q9RKS4	SCO6270
Q9RD59	SCO0623
Q9S297	SCO1733
Q9RJM1	SCO0511
O86616	SCO6347
O86560	SCO6626
Q9ZBK5	SCO6469
Q9S261	SCO1691
Q9RL65	SCO2106
Q9L0X7	SCO3727
O54179	SCO5950
O69986	SCO5810
Q9FC93	SCO1220
O69944	SCO6569
Q93J95	SCO7502
O86572	SCO5477
O69984	SCO5808
Q9FC88	SCO1225
Q9K3H5	SCO1265
O86783	SCO4742
Q9Z533	SCO5714
Q9L0P1	SCO4250
O69948	SCO6573
Q9FCH6	SCO4193
O86631	SCO6362
O54182	SCO5953
Q9L2I4	SCO2499
Q9RJK6	SCO0382
Q93JJ3	SCO1968
Q8CJQ1	SCO5931
Q9FCF5	SCO4215
Q9RJG3	SCO0471
Q9X891	SCO3299
Q9L185	SCO7392
Q9L2A2	SCO5420
Q9F374	SCO4414
Q8CK34	SCO1254
Q9KYP5	SCO4488
Q9K3V0	SCO4395
Q9RK05	SCO0501
Q9AD12	
Q9ADH3	SCO6090
Q9S2S6	SCO2063
Q9RJR4	SCO0422
O69897	SCO5609
Q9L0T0	SCO4514
Q9KYA8	SCO6925
Q9F2Q1	SCO3098
Q9KZ68	SCO3080
Q9RK44	SCO0335
Q93J93	SCO7504
Q9F300	SCO4347
Q9FCC8	SCO1239
Q9KYD8	SCO4132
Q9S218	SCO1782
Q9L1U4	SCO2951
Q9L1M6	SCO6889
Q9S2G6	SCO2915
Q9L1Q9	SCO6855
Q9KZ41	SCO7091
Q9KY10	SCO7328
O54164	SCO5935
Q9ACP5	SCP1.273c
Q93J85	SCO2812
Q9X7X2	SCO6777
Q9K4B3	SCO5205
Q9AJY5	SCO7743
Q9EWQ2	SCO7675
O69993	SCO5816
Q9L0W6	SCO3738
Q93JD0	SCO5997
O88013	SCO6657
Q9X881	SCO3289
Q9S1Z0	SCO0136
Q9RJJ8	SCO0390
Q9L1T3	SCO2962
Q9X9X5	SCO1897
Q9Z550	SCO6122
Q9RKH8	SCO3454
Q9L095	SCO2451
O86719	SCO6537
Q9WW65	SCO6753
Q9EWY3	SCO1143
Q9X8E5	SCO3272
Q9X8D8	SCO3265
Q9L248	SCO2673
Q9AK59	SCO4058
Q9K3J8	SCO4822
Q9XA07	SCO3857
Q9EWG0	SCO4959
Q9K3Z3	SCO1340
Q9RL47	SCO0439
Q9F3M4	SCO7664
Q9FBS8	SCO7164
Q9F2N2	SCO3118
Q9ADL0	SCO4944
O54121	SCO5925
Q9L1M1	SCO6894
Q9KXP8	SCO1502
Q9K3I1	SCO1259
Q9S2G9	SCO2912
Q93J14	SCO3994
Q9S1R0	SCO0231
Q9FBX3	SCO7811
Q9L2I2	SCO2501
Q9XAG7	SCO5326
Q8CJS6	SCO4860
Q9X7Y9	SCO2130
Q9XA75	SCO3802
Q9RK23	SCO0483
Q9KXQ3	SCO1497
Q93J86	SCO2811
Q9L1P0	SCO6875
O69946	SCO6571
Q9S2T0	SCO2059
Q9L087	SCO2459
Q9XA21	SCO3843
Q9KYJ3	SCO6948
Q93RS6	SCO6318
Q93IW1	SCO1309
Q9KZ24	SCO2213
O88062	SCO1602
Q9ZBZ0	SCO3940
Q9FCK9	SCO5179
Q9RK62	SCO0548
Q9L0G0	SCO4682
Q9L167	SCO7448
Q9ACY8	SCP1.163
Q9K3F8	SCO1283
Q9KZV9	SCO4142
Q9X9W5	SCO1907
Q9XA71	SCO3806
Q9KY63	SCO4801
O54148	SCO5885
Q9K3N2	SCO1028
Q9EWZ1	SCO1135
Q9AK36	SCO4890
Q9RKA0	SCO0262
Q9RDC3	SCO2828
Q8CK56	SCO0480
Q9S215	SCO1785
Q8CJM7	SCO6492
Q9L1D3	SCO1549
Q9XAA2	SCO0823
O54168	SCO5939
Q8CJR6	SCO5357
Q9L0U1	SCO4503
Q9L102	SCO1457
Q9ADB9	SCO5349
Q9F3L1	SCO5253
Q9RJX9	SCO1191
Q9RDN6	SCO2401
Q9RJ70	SCO1631
Q9L2H8	SCO2505
Q9RDH9	SCO2748
Q9S2U4	SCO2041
Q9KXS8	SCO4313
Q9RL29	SCO0458
Q9RKD6	SCO3151
Q9S2A2	SCO1728
Q9XA72	SCO3805
O86625	SCO6356
Q9L1Y0	SCO2655
Q8CJQ9	SCO5666
Q9RD37	SCO0872
Q7AKM3	SCO3226
Q9FC95	SCO1218
Q9S2H3	SCO2908
Q7AKK6	SCO4024
Q9RDQ9	SCO2375
O54141	SCO5875
Q8CJY6	SCO2730
Q9FCH9	SCO4190
Q9RKG2	SCO3475
Q9KY29	SCO2361
Q9RJ32	SCO1836
Q9XA26	SCO3838
Q9ZBV0	SCO6138
Q9FCK7	SCO5181
Q8CJU5	SCO4164
O69991	SCO5814
Q9FBS3	SCO7169
Q93J54	SCO3048
Q9X8M7	SCO3370
O50532	SCO5858
Q9S2G2	SCO2919
Q9KZK2	SCO3043
Q9Z547	SCO6125
Q9RDE7	SCO2544
Q9KYG8	SCO2704
Q9L032	SCO7023
Q9RJZ1	SCO1179
Q9ACU6	SCP1.207c
Q9KY11	SCO7327
Q9X861	SCO3505
Q9L146	SCO7413
Q9S2R6	SCO2170
Q9X851	SCO3390
Q9XA68	SCO3809
Q8CJR2	SCO5489
Q9KXJ8	SCO2322
Q8CJI5	SCO6236
Q9Z505	SCO1960
Q9Z556	SCO6116
Q9L103	SCO1456
Q9EX11	SCO1115
Q9L190	SCO7385
Q9F3Q2	SCO7635
Q9KXV0	SCO4291
Q9L192	SCO7383
Q9RK60	SCO0550
Q9FBK3	SCO5155
Q9AKA1	SCO1361
Q9K4K6	SCO7308
Q9X920	SCO3555
Q93IZ3	SCO5077
Q9L100	SCO1459
Q9F2Y2	SCO4365
Q9X8D1	SCO3258
Q9RJ04	SCO0161
Q9XA01	SCO3863
Q9FBV1	SCO7140
Q93JA4	SCO7492
Q9RK74	SCO0536
Q9KYR4	SCO5701
Q9XAM1	SCO6709
Q9K3Q6	SCO1092
Q9KXN5	SCO4322
Q9KYA9	SCO6924
O54147	SCO5884
Q93IU7	SCO5108
Q9KZ29	SCO2205
Q9EWP1	SCO7686
Q9X8T3	SCO3897
Q9XAN0	SCO6700
Q9KYB6	SCO6917
Q9K3Y1	SCO1353
Q9F2P0	SCO3110
Q9L1Q1	SCO6864
Q93JA9	SCO7487
Q8VL94	SCP2.36
Q9RDI3	SCO2744
Q9KXZ0	SCO2425
Q9FC73	SCO7113
O69814	SCO6420
Q9L2C0	SCO5400
O86549	SCO6615
Q9L1T7	SCO2958
Q9KY96	SCO5006
O86673	SCO6381
Q9RJ23	SCO1845
Q9L018	SCO2295
Q9XA27	SCO3837
Q9X8W7	SCO3685
Q9RCV3	SCO0858
Q9F2T6	SCO4626
Q9Z5A8	SCO6194
Q9KXK0	SCO2320
Q9RJ78	SCO1623
Q9XA09	SCO3855
Q9L0T2	SCO4512
Q9F2P5	SCO3105
Q9WX04	SCO3330
Q9L0M7	SCO4633
Q9ACP6	SCP1.272c
Q9K4D1	SCO5380
Q9ADH8	SCO6085
O86558	SCO6624
Q8CJM5	SCO6566
Q93IY4	SCO5101
Q9RIW9	SCO0144
Q9L1Y2	SCO2653
Q9EX01	SCO1125
Q9L128	SCO7431
Q9L2G1	SCO2522
Q9L0N4	SCO4257
Q9KZG0	SCO6993
Q9X825	SCO6058
Q9ACR1	SCP1.257
Q9ADE7	SCO5060
Q9F2U2	SCO4620
Q9KZ67	SCO3081
Q9K3X7	SCO1357
Q9ACS7	
Q9RDC7	SCO2496
Q9X8Z1	SCO3709
Q9Z5B7	SCO6185
Q9AD78	SCO4931
Q8CJV7	SCO3754
Q93J24	SCO3983
Q9L2K9	SCO0694
Q9RKQ2	SCO2276
Q9L0H8	SCO4779
Q9X8D3	SCO3260
Q9XAJ7	SCO3605
Q9FC26	SCO7058
Q9FC01	SCO7181
Q9RDD3	SCO2558
Q9KZ33	SCO7099
O69838	SCO6050
Q9F2K2	SCO3779
Q9XA73	SCO3804
Q9K3M7	SCO1033
Q7AKD9	SCO6992
Q9K420	SCO1079
Q9KXI5	SCO2335
Q8CJN9	SCO6180
Q9RKF0	SCO3487
Q9RKF2	SCO3485
Q9AD22	SCP1.128
Q9ACV8	SCP1.194
Q9F346	SCO5124
Q9K3M0	SCO1040
O69886	SCO5598
O86727	SCO6545
Q9FBK4	SCO5154
Q9K3K3	SCO4817
Q8CK29	SCO1407
Q93J30	SCO3977
Q9L134	SCO7425
Q9L055	SCO2980
Q9KYM8	SCO7357
Q9KYI7	SCO2685
Q9K3Y7	SCO1346
Q9S2I7	SCO2016
Q9S1P7	SCO0244
Q9AK39	SCO4887
Q93JI3	SCO1979
Q9K3J1	SCO4829
Q9FCL8	SCO7796
Q9FBP6	SCO5030
Q9L0Q3	SCO4238
Q9L142	SCO7417
Q9ADD8	SCO5069
Q9RDN1	SCO2406
Q9KZ15	SCO2222
Q9FC07	SCO7175
Q9ZC03	SCO6510
Q9S2N5	SCO2108
Q9X8X1	SCO3689
Q9F308	SCO2626
Q9ADE4	SCO5063
Q9RKU3	SCO6249
Q8CJJ4	SCO7603
O54106	SCO5910
O69933	SCO6405
Q7AKD7	SCO7013
Q9KZY4	SCO4442
Q9S1Q7	SCO0234
Q9RI39	SCO0209
Q9AK05	SCO7723
Q9F2M6	SCO3755
Q9ACU4	SCP1.209c
Q9S2A4	SCO1726
Q9K400	SCO1333
Q9X7R3	SCO7287
Q9X8R3	SCO3646
Q9ACS2	
Q9RJN7	SCO0607
Q93JI7	SCO1975
Q9L198	SCO7377
Q9AK03	SCO7725
Q9RKU6	SCO6246
Q9X8W6	SCO3684
Q9FCA5	SCO1208
Q9KZA0	SCO4846
Q9RI50	SCO0196
Q9EX60	SCO7695
Q9L201	SCO2634
Q9RDR4	SCO2253
Q9ACU7	SCP1.206c
O86575	SCO5480
Q9KZA1	SCO4845
Q9ZBJ2	SCO6482
O69938	SCO6410
Q9EWX2	SCO1754
Q93J11	SCO3997
Q7API3	
Q9L0V4	SCO3751
Q9ZC09	SCO6504
Q9RDA7	SCO2844
Q9AD38	SCP1.112
Q9RK45	SCO0334
Q9L0E5	SCO4697
Q9S2U5	SCO2040
O86526	SCO5545
Q9L0N5	SCO4256
Q9K4D2	SCO5379
Q9L1H2	SCO2605
Q9K4G0	SCO4178
Q9RL57	SCO0429
Q9L152	SCO7407
Q9AD71	SCP1.77c
Q9EWL8	SCO7772
Q9X7N1	SCO6725
Q9L023	SCO7032
Q9KYK4	SCO6937
Q9F351	SCO5119
Q9KYW2	SCO3019
Q9F2J2	SCO3789
Q9RJD3	SCO0759
Q9K4I8	SCO7237
Q9L237	SCO6795
O86621	SCO6352
Q9L2K5	SCO0699
Q9KZH9	SCO1166
Q9F2U8	SCO4613
Q9KYZ9	SCO7530
Q9RCX8	SCO0932
Q9F3Q3	SCO7634
Q9EWL1	SCO7779
Q8CJR3	SCO5467
Q9KXK6	SCO2314
Q9KYL6	SCO7371
Q9Z567	SCO5512
Q9FCE9	SCO4221
Q9RD74	SCO0803
Q7AKK4	SCO4075
Q9RCY1	SCO0929
Q9S1P8	SCO0243
Q9RL20	SCO0297
O86523	SCO5542
Q9F2M3	SCO3758
O86757	SCO5642
Q9ADF5	SCO6108
Q9RD33	SCO0876
Q7AKR5	SCO0775
Q9X8U7	SCO3911
Q9KZN7	SCO1395
Q9EWQ3	SCO7674
Q9F382	SCO4406
Q9KYQ7	SCO3663
Q9XAL8	SCO6712
Q9XA41	SCO3572
O88042	SCO1582
Q9K3U3	SCO4402
Q9FCB5	SCO1252
O86644	SCO5725
Q9F342	SCO5128
Q9AD41	SCP1.109
Q9AK61	SCO4056
Q9ADH9	SCO6084
Q9EX62	SCO7693
Q9L1D4	SCO1548
Q9L1F9	SCO5446
Q9RJF9	SCO0475
Q9ACY1	SCP1.170
Q9L274	SCO1535
Q9KZP9	SCO1383
O69902	SCO5614
Q9L1M7	SCO6888
Q9L0B0	SCO2436
Q9ACQ3	SCP1.265c
Q8CK63	SCO0273
Q9KZH5	SCO6977
Q9F3N0	SCO7657
O54133	SCO5867
Q9KYY9	SCO7540
Q9RJU5	SCO0365
Q9L1E5	SCO5460
Q9KYQ6	SCO3664
Q93J76	SCO2821
Q9ADA9	SCO0518
Q9S2D3	SCO0280
Q9L224	SCO6808
O87856	SCO6601
O86824	SCO5675
Q9F3C4	SCO7551
Q9KZP6	SCO1386
O87858	SCO6603
Q9RKF7	SCO3480
Q9X7S2	SCO7278
Q9FC83	SCO7103
Q9KYG9	SCO2703
Q9X8Y1	SCO3699
O86695	SCO6649
Q9KZ22	SCO2215
Q9RD86	SCO0791
Q9AJY9	SCO7739
Q9K3Q3	SCO1095
Q9K4D3	SCO5375
O86612	SCO6343
Q9X901	SCO3719
Q93J31	SCO3976
Q9KZ20	SCO2217
Q9ADD0	SCO5337
Q9X8X0	SCO3688
Q9L1Q3	SCO6862
Q9RI65	SCO0112
Q9WX23	SCO3310
Q93IU9	SCO5106
Q9FC10	SCO7074
Q9X8V2	SCO3916
Q9X8C5	SCO3252
Q9F2U6	SCO4615
Q9EWT8	SCO0733
O88050	SCO1590
Q9L1B2	SCO1569
Q9XA94	SCO0831
Q9KYG0	SCO2712
Q9RKB4	SCO3173
Q9FC05	SCO7177
Q9Z5A1	SCO6201
Q9XA19	SCO3845
Q9KXY3	SCO3865
Q9RK71	SCO0539
Q9KZD3	SCO6956
Q9X7N0	SCO6724
Q7AKH6	SCO5081
Q9S2L1	SCO1992
Q9XAJ2	SCO3610
Q9RCV0	SCO0861
Q9X8G5	SCO3341
Q9X9W3	SCO1909
Q9RL60	SCO0426
Q9K443	SCO1056
Q9L1C9	SCO1553
Q9L1R0	SCO6854
Q93JJ4	SCO1967
O88012	SCO6656
Q9FC08	SCO7174
Q93J84	SCO2813
Q9RK04	SCO0502
Q9X9W2	SCO1910
Q7API2	
Q9ZBT5	SCO6153
Q9K4A3	SCO5218
Q9RIX5	SCO0138
Q9RCZ4	SCO0916
Q9EWY7	SCO1139
Q9S2N3	SCO2110
O86743	SCO5656
Q9KY72	SCO4792
Q9S263	SCO1689
Q9Z5B9	SCO6183
Q9RKM2	SCO4105
Q9S2K1	SCO2002
Q9K4I7	SCO7238
O86643	SCO5724
Q93IU6	SCO5109
Q8CJX9	SCO3046
Q9FBN1	SCO5048
Q9S2G1	SCO2920
Q9L2G6	SCO2517
Q9RJU4	SCO0366
Q9RKF6	SCO3481
O87847	SCO6592
Q9RKH1	SCO3461
Q9L1H7	SCO2600
Q9KYC7	SCO6903
O87850	SCO6595
Q9KY35	SCO2355
Q9K4H5	SCO7250
Q9L209	SCO6823
Q9XAE3	SCO5294
Q8CJL7	SCO6849
Q9KZ61	SCO3088
Q9RD84	SCO0793
Q93RT0	SCO6311
Q9ADI9	SCO2237
Q9KZP3	SCO1389
Q9L1F1	SCO5454
Q9S2D1	SCO0282
Q9L1M4	SCO6891
Q9AD61	SCP1.89c
Q9X8E6	SCO3273
Q9L0E8	SCO4694
Q9KYX3	SCO3008
Q9EX48	SCO0990
Q7AKQ0	SCO1746
Q9F394	SCO7581
Q8CJU3	SCO4228
Q9ADD3	SCO5334
Q9ACQ5	SCP1.263c
Q9S2J6	SCO2007
Q93RZ0	SCO6001
Q9K3L2	SCO1048
Q8VWD1	SCP2.23c
Q9S2F8	SCO2923
Q9RJ18	SCO1850
Q9FCF7	SCO4213
Q9K3K9	SCO1051
Q9RI75	SCO0102
Q9WX10	SCO3324
Q9L2L8	SCO2529
Q9AD08	SCP1.142
Q9L1B8	SCO1564
Q9RDJ2	SCO2733
Q9X7X4	SCO6779
O87846	SCO6591
Q9KXN7	SCO4320
Q9K457	SCO7228
Q9X7M7	SCO6721
Q9X7R2	SCO7288
Q9RJ24	SCO1844
Q9RD08	SCO0903
Q9RL43	SCO0443
Q9L2E1	SCO2478
Q9AD57	SCP1.93
Q9F3K9	SCO5256
Q9K4H6	SCO7249
Q9L089	SCO2457
Q9ADE8	SCO5059
Q9KYA3	SCO4999
Q9KYX6	SCO3004
Q9KZL0	SCO3035
Q9K3Y6	SCO1347
Q9L044	SCO2991
Q9ADF7	SCO6106
Q9X7S7	SCO7273
Q9Z549	SCO6123
Q93IX9	SCO1291
Q9L283	SCO1526
Q9Z544	SCO6128
Q7AKC6	SCO7697
O69832	SCO6044
Q9RCX1	SCO0939
Q7APH9	
Q9WX25	SCO3308
Q9L1X4	SCO6837
Q9KXM8	SCO4329
Q9KZ88	SCO4858
Q9XA66	SCO3811
Q9FC43	SCO7040
Q9L1L4	SCO5430
O69870	SCO6040
Q9F3L4	SCO5250
Q93J73	SCO2824
Q8CJN4	SCO6325
Q9RJD8	SCO0754
H9L4C8	
Q9F373	SCO4415
Q9KXV8	SCO4283
Q9KXT9	SCO4302
Q9KZJ4	SCO1151
Q9FBU5	SCO7146
Q9ACV6	SCP1.196
Q9AK57	SCO4060
Q9FBM2	SCO5057
Q9AK75	SCO4042
Q9X9Z6	SCO1796
Q9EX34	SCO1006
Q9RKW7	SCO1408
Q8CJM8	SCO6465
Q9RDF6	SCO2535
Q9FCG0	SCO4210
Q9S2A1	SCO1729
Q9KYM7	SCO7358
Q9F3N9	SCO7648
Q7APH8	
Q9L1P5	SCO6870
Q9RJV9	SCO0351
Q9K3S1	SCO3143
O69874	SCO5586
Q9K428	SCO1071
Q9RJH1	SCO0463
Q9ADH5	SCO6088
Q9KXW7	SCO4274
Q9RD28	SCO0882
Q93JF7	SCO5970
Q9EWG4	SCO4968
Q9X7V0	SCO6755
Q93JC4	SCO7472
Q9ADI0	SCO6083
Q9AK78	SCO4039
Q9L2A0	SCO5422
Q9XA99	SCO0826
O86766	SCO5633
Q9F3L2	SCO5252
Q9L2F6	SCO2527
Q9F2Y3	SCO4364
Q9L0N8	SCO4253
Q9S1R3	SCO0228
Q9F3G6	SCO4534
Q7AKG3	SCO5343
Q9RIZ0	SCO0175
Q9RKY6	SCO1427
Q9RJ72	SCO1629
Q9RL34	SCO0453
O86726	SCO6544
Q9X9T5	SCO3933
Q9K4G8	SCO4170
Q9AK35	SCO4891
Q9XAG9	SCO5329
Q9KZZ5	SCO4431
Q9L2B4	SCO5406
Q9ZBV6	SCO6562
Q8CJL6	SCO6895
O86610	SCO6341
Q9S1S1	SCO0071
O86647	SCO5728
Q9ADG5	SCO6098
O86794	SCO4753
Q9RIW4	SCO0150
Q93J70	SCO2827
Q9RIT4	SCO0973
Q9L189	SCO7386
O69959	SCO5783
Q9Z560	SCO5519
Q9FBW0	SCO7825
O86723	SCO6541
Q9KZG3	SCO6989
Q9AD19	SCP1.131
O50486	SCO5768
Q9ZBX5	SCO3957
Q8CJJ3	SCO7628
Q9F398	SCO7577
Q9K4A4	SCO5215
Q9L0W2	SCO3742
O86588	SCO6223
Q9AK79	SCO4038
Q9L1T4	SCO2961
O86596	SCO6231
O86646	SCO5727
Q9L186	SCO7389
Q9KZ43	SCO7089
Q93J13	SCO3995
Q9RD35	SCO0874
Q93RW9	SCO1857
Q9WX21	SCO3313
Q9EWH1	SCO4976
Q9X7Y0	SCO6785
Q9K3U7	SCO4398
Q9L247	SCO2674
Q9K3P8	SCO1100
Q9X8S0	SCO3653
O86694	SCO6648
Q9ZBI6	SCO6488
Q9L1S6	SCO2969
O86740	SCO5659
Q9L0Y0	SCO3724
Q9L1U8	SCO2946
Q9AD30	SCP1.120
Q9L1I9	SCO2728
Q9EWL7	SCO7773
Q9RJA7	SCO0657
Q9L1U2	SCO2953
Q7AKE2	SCO6835
Q9X871	SCO3515
Q9KZU1	SCO4161
Q9ZBZ9	SCO6514
Q9L184	SCO7393
Q93RV3	SCO1873
Q9ZC06	SCO6507
Q9RJA0	SCO0664
Q9RJ65	SCO1636
Q9RD61	SCO0621
O50517	SCO5843
Q9L1Y5	SCO2650
Q9XAC7	SCO1929
O86580	SCO5485
Q9XAG8	SCO5327
Q9XAE4	SCO5295
Q9S1T5	SCO0057
Q9K3G2	SCO1279
Q9X912	SCO3546
Q9KXI7	SCO2333
Q93IV0	SCO5105
Q9AJZ1	SCO7737
Q8CJT3	SCO4548
Q9Z4Y7	SCO3244
Q9ACS6	
Q9AD64	SCP1.86
Q9S2C5	SCO0288
Q9RKV1	SCO6241
Q9ACW1	SCP1.190c
O88065	SCO1608
Q9X7N9	SCO6733
Q9K3V5	SCO4389
Q9X854	SCO3393
Q9L1W3	SCO6848
Q9L0V2	SCO3753
Q9FBR7	SCO5278
Q9KYG4	SCO2708
O86713	SCO6531
O86798	SCO4757
Q8VWC9	SCP2.25c
O86829	SCO5670
O50482	SCO5764
Q9L0B1	SCO2435
Q9EX05	SCO1121
Q9AK13	SCO7715
Q9X8J1	SCO3411
Q9F3F7	SCO4546
Q9KYI6	SCO2686
Q9F3A1	SCO7574
Q9FC25	SCO7059
Q9FCG1	SCO4208
Q9KYK6	SCO6935
Q9KY28	SCO2362
Q9ZBF4	SCO6459
Q93RV2	SCO1874
Q9X875	SCO3519
Q9F313	SCO2621
Q9EWM6	SCO7763
Q9Z4X2	SCO3209
Q9KXN2	SCO4325
Q9X8Z7	SCO3715
Q93JL3	SCO4981
Q9L1Q4	SCO6860
Q9L0X6	SCO3728
Q93S04	SCO6285
Q9K3Z2	SCO1341
Q9L2G3	SCO2520
Q9X865	SCO3509
Q9RCW2	SCO0849
Q9KYT3	SCO5682
Q9RKH5	SCO3457
Q9FBT5	SCO7157
Q9KZL6	SCO3028
Q9K3G7	SCO1273
Q9Z5B4	SCO6188
O69966	SCO5790
Q9KZ58	SCO3091
Q9S2S7	SCO2062
Q9ZBI4	SCO6490
Q93RS8	SCO6316
Q9Z540	SCO6132
Q9RIT9	SCO0968
Q9F3C2	SCO7553
Q9F3E2	SCO7615
Q9ACT7	SCP1.216
Q9X7N3	SCO6727
Q9ZBY9	SCO3942
O69953	SCO6578
Q9ADF9	SCO6104
Q9S2V9	SCO2097
Q9S2X3	SCO2078
Q9KYF1	SCO4119
Q9RJS5	SCO0411
Q9RD98	SCO2853
Q9RDM8	SCO2409
Q9XAF5	SCO5306
O86532	SCO5551
Q9F2S7	SCO4462
Q8CJW3	SCO3567
Q9ADM5	SCO4033
Q9K4H3	SCO4165
Q9L292	SCO1517
Q9ADP2	SCO4014
Q9RIW5	SCO0149
Q9EWQ4	SCO7673
Q9S2H4	SCO2907
Q9Z531	SCO5712
Q8CJN8	SCO6211
Q93J63	SCO0981
Q9X9Y1	SCO1891
O86826	SCO5673
Q9F384	SCO4404
Q9AJY0	SCO7750
O86545	SCO6611
Q93J60	SCO0984
O69817	SCO6423
Q9AK30	SCO4896
Q9KZ65	SCO3083
Q9F377	SCO4411
Q9S262	SCO1690
Q7APH6	
Q9X8P2	SCO3625
Q9X9Z3	SCO1799
Q9S1Z2	SCO0134
Q9F379	SCO4409
Q9KZ59	SCO3090
Q9RDK5	SCO2581
Q93J04	SCO7515
Q9F2P8	SCO3101
Q9RJD9	SCO0753
Q9X873	SCO3517
Q9L0R5	SCO4529
Q9L1H3	SCO2604
Q9L258	SCO2663
Q9X8E1	SCO3268
O54166	SCO5937
Q9K3I4	SCO1256
O86802	SCO4763
O88074	SCO1617
Q9ACV7	SCP1.195c
Q9KYK5	SCO6936
Q9KY75	SCO5027
Q9RJL0	SCO0378
