Reaction ID,Reaction name,kegg.reaction,biocyc,kegg.pathway,kegg.subsystem,biocyc.subsystem1,biocyc.subsystem2,subsystem,curated pathway,curated subsystem
CLPNSIIi160,cardiolipin synthase II (iso-C16:0),R02030,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSIIi170,cardiolipin synthase II (iso-C17:0),R02030,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSIIi180,cardiolipin synthase II (iso-C18:0),R02030,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSai150,cardiolipin synthase (ante-iso-C15:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSai170,cardiolipin synthase (ante-iso-C17:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSi140,cardiolipin synthase (iso-C14:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSi150,cardiolipin synthase (iso-C15:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSi160,cardiolipin synthase (iso-C16:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSi170,cardiolipin synthase (iso-C17:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CLPNSi180,cardiolipin synthase (iso-C18:0),R07390,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
CMCMSAD,2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase,R04418,CHMS-DEHYDROGENASE-RXN,Tyrosine metabolism,Amino acid metabolism,,,,Tyrosine metabolism,Amino acid metabolism
CMLDC,4-carboxymuconolactone decarboxylase,R03470,,Benzoate degradation,Xenobiotics biodegradation and metabolism,,,Benzoate metabolism,Benzoate degradation,Xenobiotics biodegradation and metabolism
CMPA,N-carbamoylputrescine amidase,R01152,,Arginine and proline metabolism,Amino acid metabolism,,,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
COBP3DH,cobalt-precorrin 3 dehydrogenase,R08716,,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
COCHL,cobaltochelatase,R05227,R342-RXN,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CODSCL5BMT,S-adenosyl-L-methionine:cobalt-precorrin-5B (C1)-methyltransferase,R07773,RXN-8764,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Cobyrinate-diamide-Biosynthesis,Cofactor-Biosynthesis,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CODSCL5DA,cobalt-precorrin 5A acylhydrolase,R07772,RXN-8763,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
COELICHELINR1,ferricoelichelin reductase,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COELICHELINR2,ferricoelichelin reductase,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COELICHELINR3,ferricoelichelin reductase,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COELICHELINexs,coelichelin Fe-loading reaction (spontaneaous),,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COSPERDH,carboxynorspermidine dehydrogenase,R09080,RXN-11565,Arginine and proline metabolism,Amino acid metabolism,Polyamine-Biosynthesis,Biosynthesis,,Norspermidine synthase,Biosynthesis of other secondary metabolites
CPC2MT,cobalt-precorrin-2 C20-methyltransferase,R05808,,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CPC3MT,cobalt-precorrin-3B C17-methyltransferase,R05809,RXN-8761,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Cobyrinate-diamide-Biosynthesis,Cofactor-Biosynthesis,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CPC6R,cobalt-precorrin-6A reductase,,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CPC8MM,cobalt-precorrin-8X methylmutase,R05814,,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CPKS1,CpkA initiation,,,,,,,,Coelimycin biosynthesis,Metabolism of terpenoids and polyketides
CPKS2,CpkB polyketide elongation 1,,,,,,,,Coelimycin biosynthesis,Metabolism of terpenoids and polyketides
CPKS3,CpkC polyketide elongation 2 and thioester reductase,,,,,,,,Coelimycin biosynthesis,Metabolism of terpenoids and polyketides
CPKS4a,CpkG transaminase (with L-Ala),,,,,,,,Coelimycin biosynthesis,Metabolism of terpenoids and polyketides
CPKS4b,CpkG transaminase (with L-Glu),,,,,,,,Coelimycin biosynthesis,Metabolism of terpenoids and polyketides
CPKS5,Flavin dependent epoxidases/dehydrogenases,,,,,,,,Coelimycin biosynthesis,Metabolism of terpenoids and polyketides
CPMPS,cyclic pyranopterin monophosphate synthase,,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CPPPGO2,Oxygen Independent coproporphyrinogen-III oxidase,R06895,HEMN-RXN,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,"Heme-b-Biosynthesis, Chlorophyllide-a-Biosynthesis","Chlorophyll-Biosynthesis, HEME-SYN",Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
CREATA,creatininase,R01884,CREATININASE-RXN,Arginine and proline metabolism,Amino acid metabolism,,,,Arginine and proline metabolism,Amino acid metabolism
CREATDA,creatinine deaminase,R02922,CREATININE-DEAMINASE-RXN,Arginine and proline metabolism,Amino acid metabolism,Creatinine-Degradation,AMINE-DEG,,Arginine and proline metabolism,Amino acid metabolism
CS,citrate synthase,R00351,RXN-14905,"Glyoxylate and dicarboxylate metabolism, Citrate cycle (TCA cycle)",Carbohydrate metabolism,,,Citric Acid Cycle,Citric Acid Cycle,Carbohydrate metabolism
CSND,Cytosine deaminase,R00974,,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
CSPMDDH,carboxyspermidine dehydrogenase,R09079,RXN-11566,Arginine and proline metabolism,Amino acid metabolism,,,,Norspermidine synthase,Biosynthesis of other secondary metabolites
CTECOAI6,3-cis-2-trans-enoyl-CoA isomerase,,,,Lipid metabolism,,,Membrane Lipid metabolism,,Lipid metabolism
CTECOAI7,3-cis-2-trans-enoyl-CoA isomerase,,,,Lipid metabolism,,,Membrane Lipid metabolism,,Lipid metabolism
CTECOAI8,3-cis-2-trans-enoyl-CoA isomerase,,,,Lipid metabolism,,,Membrane Lipid metabolism,,Lipid metabolism
CTPGNAC,CTP:N-glycoloylneuraminate cytidylyltransferase,R04215,R04215,rn00520,,,,,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
CTPS1,CTP synthase (NH3),R00571,,Pyrimidine metabolism,Nucleotide metabolism,,,Purine and pyrimidine biosynthesis,Pyrimidine metabolism,Nucleotide metabolism
CTPS2,CTP synthase (glutamine),R00573,CTPSYN-RXN,Pyrimidine metabolism,Nucleotide metabolism,,,Purine and pyrimidine biosynthesis,Pyrimidine metabolism,Nucleotide metabolism
CU1O,Cuprous Oxidase (Cu+1),,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CUMALDH,cumic aldehyde dehydrogenase,R05235,RXN-663,Xylene degradation,Xenobiotics biodegradation and metabolism,,,,Xylene degradation,Xenobiotics biodegradation and metabolism
CYANST,thiosulfate sulfurtransferase;thiosulfate-sulfurtransferase;thiosulfite-cleaving enzyme,R01931,THIOSULFATE-SULFURTRANSFERASE-RXN,Sulfur metabolism,Energy metabolism,Thiosulfate-Disproportionation,Sulfur-Metabolism,,Sulfur metabolism,Energy metabolism
CYC1CCDH,cyclohexane-1-carbonyl-CoA dehydrogenase;cyclohexanecarboxyl-CoA dehydrogenase,R05619,R282-RXN,Benzoate degradation,Xenobiotics biodegradation and metabolism,,,,Benzoate degradation,Xenobiotics biodegradation and metabolism
CYCHEXDH,S-1-(4-hydroxyphenyl)-ethanol dehydrogenase;cyclohexanol dehydrogenase,R06891,RXN-9832,Bisphenol degradation,Xenobiotics biodegradation and metabolism,Phenolic-Compounds-Degradation,AROMATIC-COMPOUNDS-DEGRADATION,,Bisphenol degradation,Xenobiotics biodegradation and metabolism
CYCHEXMO,cyclohexanone monooxygenase,R02231,CYCLOHEXANONE-MONOOXYGENASE-RXN,Caprolactam degradation,Xenobiotics biodegradation and metabolism,,,,Caprolactam degradation,Xenobiotics biodegradation and metabolism
CYCHEX_2,cyclohexanol dehydrogenase,R02229,CYCLOHEXANOL-DEHYDROGENASE-RXN,Caprolactam degradation,Xenobiotics biodegradation and metabolism,Alcohol-Degradation,Degradation,,Caprolactam degradation,Xenobiotics biodegradation and metabolism
CYCOADH,cyclohex-1-ene-1-carbonyl-CoA dehydrogenase,R09252,R265-RXN,Benzoate degradation,Xenobiotics biodegradation and metabolism,,,,Benzoate degradation,Xenobiotics biodegradation and metabolism
CYO1ab,Ubiquinol:ferricytochrome-c oxidoreductase,R02161,,,Energy metabolism,,,Oxidative phosphorylation,Oxidative phosphorylation,Energy metabolism
CYO2b,cytochrome aa3 oxidase (2 protons),R00081,,,Energy metabolism,,,Oxidative phosphorylation,Oxidative phosphorylation,Energy metabolism
CYRDAAT,"cob(I)yrinic acid a,c-diamide adenosyltransferase",R05220,META:R344-RXN,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Adenosylcobamide-Biosynthesis,Cobamide-De-Novo-Biosynthesis,Cofactor and Prosthetic Group Biosynthesis,,Metabolism of cofactors and vitamins
CYRDAR,"cob(II)yrinic acid a,c-diamide reductase",,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,,Metabolism of cofactors and vitamins
CYRDAS,"Cob(II)yrinate a,c-diamide synthase (glutamine-hydrolysing)",,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,,Metabolism of cofactors and vitamins
CYSBLY,cystathionine beta-lyase;L-cystathione beta-lyase;cystathionine-beta-lyase,,RXN-15131,,,,,,Cysteine and methionine metabolism,Amino acid metabolism
CYSDS,Cysteine Desulfhydrase,R00782,,Cysteine and methionine metabolism,Amino acid metabolism,,,Cysteine metabolism,Cysteine and methionine metabolism,Amino acid metabolism
CYSS,cysteine synthase,R00897,ACSERLY-RXN,"Sulfur metabolism, Cysteine and methionine metabolism","Energy metabolism, Amino acid metabolism",,,Cysteine metabolism,Cysteine and methionine metabolism,Amino acid metabolism
CYSTGL,cystathionine g-lyase,R01001,,"Cysteine and methionine metabolism, Glycine, serine and threonine metabolism",Amino acid metabolism,,,Cysteine metabolism,Cysteine and methionine metabolism,Amino acid metabolism
CYSTL,cystathionine b-lyase,R01286,,Cysteine and methionine metabolism,Amino acid metabolism,,,Methionine metabolism,Cysteine and methionine metabolism,Amino acid metabolism
CYSTRS,Cysteinyl-tRNA synthetase,R03650,CYSTEINE--TRNA-LIGASE-RXN,Aminoacyl-tRNA biosynthesis,Other,Aminoacyl-tRNAs-Charging,Biosynthesis,tRNA Charging,tRNA Charging,Biomass and maintenance functions
CYSTS,cystathionine beta-synthase,R01290,CYSTATHIONINE-BETA-SYNTHASE-RXN,"Cysteine and methionine metabolism, Glycine, serine and threonine metabolism",Amino acid metabolism,,,Cysteine metabolism,Cysteine and methionine metabolism,Amino acid metabolism
CYT5MONP,cytidine 5'-monophosphate N-acetylneuraminate synthetase,R01117,RXN-9990,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,CMP-N-Acetylneuraminate-Biosynthesis,CMP-Sugar-Biosynthesis,,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
CYTD,cytidine deaminase,R01878,,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
CYTDH,Cytidine hydrolase,R02137,RXN0-361,Pyrimidine metabolism,Nucleotide metabolism,Pyrimidine-Nucleotide-Salvage,PYR-NUC-SYN,Alternate Carbon metabolism,Pyrimidine metabolism,Nucleotide metabolism
CYTDK1,cytidine kinase,R00513,CYTIKIN-RXN,Pyrimidine metabolism,Nucleotide metabolism,,,,Pyrimidine metabolism,Nucleotide metabolism
CYTDK2,cytidine kinase,R00517,CYTIDINEKIN-RXN,Pyrimidine metabolism,Nucleotide metabolism,,,,Pyrimidine metabolism,Nucleotide metabolism
CYTK1,cytidylate kinase (CMP),R00512,RXN-11832,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
CYTK2,cytidylate kinase (dCMP),R01665,RXN-7913,Pyrimidine metabolism,Nucleotide metabolism,Metabolic-Clusters,Pathways,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
D4DGCD,5-dehydro-4-deoxyglucarate dehydratase,R02279,,Ascorbate and aldarate metabolism,Carbohydrate metabolism,,,Alternate Carbon metabolism,Ascorbate and aldarate metabolism,Carbohydrate metabolism
D5KGK,5-dehydro-2-deoxygluconokinase,R05661,5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN,Inositol phosphate metabolism,Carbohydrate metabolism,SUGAR-ALCOHOLS-DEG,Sugar-Derivatives,Inositol Phosphate metabolism,Inositol phosphate metabolism,Carbohydrate metabolism
D5KGPA,5-dehydro-2-deoxyphosphogluconate aldolase,R05378,4.1.2.29-RXN,Inositol phosphate metabolism,Carbohydrate metabolism,,,Inositol Phosphate metabolism,Inositol phosphate metabolism,Carbohydrate metabolism
D5KGPA2,2-Deoxy-5-keto-D-gluconic acid 6-phosphate Dihydroxyacetone phosphate lyase,,,,Carbohydrate metabolism,,,Inositol Phosphate metabolism,Inositol phosphate metabolism,Carbohydrate metabolism
DABAACT,"L-2,4-diaminobutyrate acetyltransferase",R06978,,"Glycine, serine and threonine metabolism",Amino acid metabolism,,,"Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",Amino acid metabolism
DABAAT,DABA aminotransferase,R06977,R101-RXN,"Glycine, serine and threonine metabolism",Amino acid metabolism,"Polyamine-Biosynthesis, AMINE-DEG, Siderophores-Biosynthesis","Biosynthesis, SECONDARY-METABOLITE-BIOSYNTHESIS, Degradation","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",Amino acid metabolism
DACGKIN,diacylglycerol kinase,R02240,DIACYLGLYKIN-RXN,"Glycerophospholipid metabolism, Glycerolipid metabolism",Lipid metabolism,,,,Glycerophospholipid metabolism,Lipid metabolism
DADA,Deoxyadenosine deaminase,R02556,,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
DADK,deoxyadenylate kinase,R01547,DEOXYADENYLATE-KINASE-RXN,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
DAPAT,Cadaverine aminotranferase,,,,Amino acid metabolism,,,Threonine and Lysine metabolism,Lysine degradation,Amino acid metabolism
DAPDC,diaminopimelate decarboxylase,R00451,DIAMINOPIMDECARB-RXN,Lysine biosynthesis,Amino acid metabolism,,,Threonine and Lysine metabolism,Lysine biosynthesis,Amino acid metabolism
DAPE,diaminopimelate epimerase,R02735,DIAMINOPIMEPIM-RXN,Lysine biosynthesis,Amino acid metabolism,LYSINE-SYN,IND-AMINO-ACID-SYN,Threonine and Lysine metabolism,Lysine biosynthesis,Amino acid metabolism
DARGO,D-Arginine:oxygen oxidoreductase (deaminating),R02923,R02923,rn00472,,,,,D-Arginine and D-ornithine metabolism,Metabolism of other amino acids
DASYN120,CDP-diacylglycerol synthetase (n-C12:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN140,CDP-diacylglycerol synthetase (n-C14:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN141,CDP-diacylglycerol synthetase (n-C14:1),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN150,CDP-diacylglycerol synthetase (n-C15:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN160,CDP-diacylglycerol synthetase (n-C16:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN170,CDP-diacylglycerol synthetase (n-C17:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYN181,CDP-diacylglycerol synthetase (n-C18:1),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNai150,CDP-diacylglycerol synthetase (ante-iso-C15:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNai170,CDP-diacylglycerol synthetase (ante-iso-C17:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNi140,CDP-diacylglycerol synthetase (iso-C14:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNi150,CDP-diacylglycerol synthetase (iso-C15:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNi160,CDP-diacylglycerol synthetase (iso-C16:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNi170,CDP-diacylglycerol synthetase (iso-C17:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DASYNi180,CDP-diacylglycerol synthetase (iso-C18:0),R01799,,Glycerophospholipid metabolism,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DATPHs,dATP amine hydrolysis (spontaneous),,,,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",R07281,DIOHBUTANONEPSYN-RXN,Riboflavin metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Riboflavin metabolism,Metabolism of cofactors and vitamins
DBTS,dethiobiotin synthase,R03182,DETHIOBIOTIN-SYN-RXN,Biotin metabolism,Metabolism of cofactors and vitamins,BIOTIN-SYN,Vitamin-Biosynthesis,Cofactor and Prosthetic Group Biosynthesis,Biotin metabolism,Metabolism of cofactors and vitamins
DCH,diacetylchitobiose hydrolase,R00022,,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,,,Alternate Carbon metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
DCPEPFU,decaprenyl-phosphoryl-2-keto-beta-D-erythro-pentofuranose reductase;decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase,,RXN-11081,,,Cell-Wall-Biosynthesis,Cell-Structure-Biosynthesis,,,Glycan biosynthesis and metabolism
DCTPD,dCTP deaminase,R02325,,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
DCTPD2,dCTP deaminase,R00568,,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
DCYCHEX,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase",R05243,LINC-RXN,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,,,,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism
DCYTD,deoxycytidine deaminase,R02485,,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
DDALLO,"dTDP-(2R,6S)-6-hydroxy-2-methyl-3-oxo-3,6-dihydro-2H-pyran-4-olate 3-ketoreductase (dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose-forming) ",,RXN-12940,,,,,,Polyketide sugar unit biosynthesis,Metabolism of terpenoids and polyketides
DDGALK,2-dehydro-3-deoxygalactonokinase,R03387,DEHYDDEOXGALACTKIN-RXN,Galactose metabolism,Carbohydrate metabolism,"SUGAR-ACIDS-DEG, Sugars-And-Polysaccharides-Degradation","CARBOXYLATES-DEG, Carbohydrates-Degradation",,Galactose metabolism,Carbohydrate metabolism
DDGLK,2-dehydro-3-deoxygluconokinase,R01541,DEOXYGLUCONOKIN-RXN,Pentose phosphate pathway,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pentose phosphate pathway,Carbohydrate metabolism
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,R01826,DAHPSYN-RXN,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,3-Dehydroquinate-Biosynthesis,AROMATIC-COMPOUNDS-BIOSYN,"Tyrosine, Tryptophan, and Phenylalanine metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism
DDPGA,2-dehydro-3-deoxy-phosphogluconate aldolase,R00471,4OH2OXOGLUTARALDOL-RXN,Arginine and proline metabolism,Amino acid metabolism,,,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
DGALACYC,D-galactarolactone cycloisomerase,,RXN-15902,,,D-Galacturonate-Degradation,SUGAR-ACIDS-DEG,,Ascorbate and aldarate metabolism,Carbohydrate metabolism
DGC2D,2-deoxy-D-gluconate 3-dehydrogenase,,,,Lipid metabolism,,,Glycerophospholipid metabolism,Glycerophospholipid metabolism,Lipid metabolism
DGI,5-Deoxy glucuronate isomerase,R08503,,Inositol phosphate metabolism,Carbohydrate metabolism,,,Inositol Phosphate metabolism,Inositol phosphate metabolism,Carbohydrate metabolism
DGK1,deoxyguanylate kinase (dGMP:ATP),R02090,GMKALT-RXN,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
DGLUC4KR,"dTDP-4-oxo-2,6-dideoxy-D-glucose 4-ketoreductase (dTDP-D-olivose producing)",,RXN-12921,,,dTDP-Sugar-Biosynthesis,SUGAR-NUCLEOTIDES,,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
DGLUCMT,"dTDP-4-oxo-2,6-dideoxy-D-glucose 3-C-methyltransferase",,RXN-12931,,,,,,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
DGLUCYC,D-glucarolactone cycloisomerase,,RXN-15907,,,D-Glucuronate-Degradation,SUGAR-ACIDS-DEG,,Ascorbate and aldarate metabolism,Carbohydrate metabolism
DGLYHRED,"dTDP-3,4-diketo-2,6-dideoxy-D-glucose 3-ketoreductase;dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose 3-ketoreductase;dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose reductase",,RXN-16262,,,,,,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",R06942,META:RXN0-6513,"Caprolactam degradation, Phenylalanine metabolism","Xenobiotics biodegradation and metabolism, Amino acid metabolism",,,Alternate Carbon metabolism,Phenylalanine metabolism,Amino acid metabolism
DHAD1,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",R04441,DIHYDROXYISOVALDEHYDRAT-RXN,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",R05070,DIHYDROXYMETVALDEHYDRAT-RXN,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,ISOLEUCINE-SYN,IND-AMINO-ACID-SYN,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
DHAK,dihydroxyacetone kinase,R01011,GLYCERONE-KINASE-RXN,"Glycerolipid metabolism, Methane metabolism","Energy metabolism, Lipid metabolism",,,Alternate Carbon metabolism,Alternate Carbon metabolism,Carbohydrate metabolism
DHAPT,dihydroxyacetone kinase,R01012,2.7.1.121-RXN,Glycerolipid metabolism,Lipid metabolism,GLYCEROL-DEG,Alcohol-Degradation,,Alternate Carbon metabolism,Carbohydrate metabolism
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",R01505,DHBDEHYD-RXN,Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides,,,,Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides
DHBS,"2,3-dihydroxybenzoate-AMP ligase;(2,3-dihydroxybenzoyl)adenylate synthase",R01504,DHBAMPLIG-RXN,,,Siderophores-Biosynthesis,SECONDARY-METABOLITE-BIOSYNTHESIS,,Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides
DHDPRy,dihydrodipicolinate reductase (NADPH),R04199,,"Monobactam biosynthesis, Lysine biosynthesis","Amino acid metabolism, Biosynthesis of other secondary metabolites",,,Threonine and Lysine metabolism,Lysine biosynthesis,Amino acid metabolism
DHDPS,dihydrodipicolinate synthase,R10147,,"Monobactam biosynthesis, Lysine biosynthesis","Amino acid metabolism, Biosynthesis of other secondary metabolites",,,Threonine and Lysine metabolism,Lysine biosynthesis,Amino acid metabolism
