Rxn,Rxn Name,Rxn KEGG ID,Reversibility in model,dG0_prime,dG0_prime_std,dGm_prime,dGm_prime_std
DNMPPA,ATP-dependent DNA helicase,R04621,forward,14.761514353359644,1.7782343540652716,31.876351888080677,1.7782343540652716
DNTPPA_1,ATP-dependent DNA helicase,R04638,forward,-39.873547419143165,1.5420092183584397,-56.9883849538642,1.5420092183584397
DPCOAK,dephospho-CoA kinase,R00130,forward,3.6593579936400147,3.1061618742619244,3.6593579936400147,3.1061618742619244
DPR,2-dehydropantoate 2-reductase,R02472,forward,-20.593658416398085,2.974231482423422,-20.593658416398085,2.974231482423422
DRBK,Deoxyribokinase,R02750,forward,-33.2849759558826,7.34526906055862,-33.2849759558826,7.34526906055862
DRPA,deoxyribose-phosphate aldolase,R01066,forward,20.210416552894685,2.268436158103543,3.0955790181736518,2.268436158103543
DTARTD,D(-)-tartrate dehydratase,R00340,forward,-35.27465165163676,7.267381530231174,-35.27465165163676,7.267381530231174
DTDPG4E,UDP-glucose 4-epimerase,R02984,reversible,-0.17999999999778993,8.359920456496502,-0.17999999999778993,8.359920456496502
DTMPK,dTMP kinase,R02094,reversible,-3.123883816868556,2.9814841912307504,-3.123883816868556,2.9814841912307504
DURIK1,deoxyuridine kinase (ATP:Deoxyuridine),R02099,forward,-12.758029915490226,0.8125561381481559,-12.758029915490226,0.8125561381481559
DURIPP,deoxyuridine phosphorylase,R02484,reversible,2.3379972185828564,8.597176801997842,2.3379972185828564,8.597176801997842
DUTPDP,dUTP diphosphatase,R02100,forward,-38.27598792711413,1.5420092183584397,-55.39082546183516,1.5420092183584397
DX5PGLYCPL,phosphoketolase,R01621,forward,-59.845935758818996,2.085462065605015,-59.845935758818996,2.085462065605015
DXPRIi,1-deoxy-D-xylulose reductoisomerase,R05688,forward,-23.217843021120643,1.0013232744471061,-23.217843021120643,1.0013232744471061
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,R05636,forward,-37.459326442680094,10.413790157460877,-37.459326442680094,10.413790157460877
E4PD,Erythrose 4-phosphate dehydrogenase,R01825,reversible,-41.526341228259554,7.347285544534111,-41.526341228259554,7.347285544534111
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),R03026,reversible,3.7631124105649008,1.7919751930076744,3.7631124105649008,1.7919751930076744
ECOAH12,3-hydroxyacyl-CoA dehydratase (3-hydroxyisobutyryl-CoA),R04224,forward,3.9266910436977014,1.0366306262929494,3.9266910436977014,1.0366306262929494
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),R04749,reversible,1.021174723375026,3.008784758635424,1.021174723375026,3.008784758635424
ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),R04746,reversible,0.6739726341568257,0.9595398261583835,0.6739726341568257,0.9595398261583835
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),R04744,reversible,0.6739726341568257,0.9595398261583835,0.6739726341568257,0.9595398261583835
ECOAH5,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),R04170,reversible,0.6739726341573942,0.9595398261583835,0.6739726341573942,0.9595398261583835
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),R04740,reversible,0.6739726341577637,0.9595398261583835,0.6739726341577637,0.9595398261583835
ECOAH7,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),R04738,reversible,0.6739726341568542,0.9595398261583835,0.6739726341568542,0.9595398261583835
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),R07760,reversible,0.6643375187439062,0.9595398261583835,0.6643375187439062,0.9595398261583835
ECOAH9ir,2-Methylprop-2-enoyl-CoA (2-Methylbut-2-enoyl-CoA),R04204,forward,3.230852857449662,1.5136091877884341,3.230852857449662,1.5136091877884341
ECTS,L-ectoine synthase,R06979,forward,53.30099465094125,9.019645428025525,53.30099465094125,9.019645428025525
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,R05605,forward,15.530730761402026,2.2295132368532724,-1.5841067733190073,2.2295132368532724
EHGLAT,L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase,R05052,forward,-8.675212065597236,1.0392328639822745,-8.675212065597236,1.0392328639822745
ENO,enolase,R00658,reversible,-4.0827201938106725,0.7341928857481885,-4.0827201938106725,0.7341928857481885
EPMGH,epimelibiose galactohydrolase,R01329,forward,3.0198220548902555,7.376803130658418,-14.095015479830778,7.376803130658418
ERTHMMOR,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase",R00994,reversible,11.520911374361674,10.823174482714359,28.635748909082707,10.823174482714359
ETHAAL,Ethanolamine ammonia-lyase,R00749,forward,-36.306930644288656,3.867392935239069,-53.42176817900969,3.867392935239069
FACOAE160,fatty-acid-CoA thioesterase (hexadecanoate),R01274,forward,-22.248922995366257,6.453341506570077,-39.36376053008729,6.453341506570077
FACOAE180,fatty-acid-CoA thioesterase (octadecanoate),R08174,forward,-24.98929842746537,7.69579242609314,-42.104135962186405,7.69579242609314
FACOAE181,fatty-acid-CoA thioesterase (octadecenoate),R08176,forward,-24.990601862385148,7.69579242609314,-42.10543939710618,7.69579242609314
FACOAL160,fatty-acid-CoA ligase (hexadecanoate),R01280,forward,-12.200238453677457,6.380674273151893,-12.200238453677457,6.380674273151893
FADRx2,FAD reductase,R09520,forward,-17.977496454624998,6.44029999945484,-17.977496454624998,6.44029999945484
FANH,N-Formylanthranilate amidohydrolase,R00988,forward,-31.228989995440827,5.9278191701846294,-48.34382753016186,5.9278191701846294
FBA,fructose-bisphosphate aldolase,R01068,reversible,19.804143053182543,0.8722695555013529,2.6893055184615093,0.8722695555013529
FBA2,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,R02568,reversible,28.935723977357384,1.3464750340909155,11.82088644263635,1.3464750340909155
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",R01829,reversible,12.33342163883799,7.368540887516046,-4.781415895883043,7.368540887516046
FBA_1,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",R01070,reversible,17.84364980872124,7.192416052332391,0.7288122740002052,7.192416052332391
FBP,fructose-bisphosphatase,R00762,forward,-11.430247873101536,0.8183864515019575,-28.54508540782257,0.8183864515019575
FDH,formate dehydrogenase,R00519,forward,-22.53866833093184,8.155252734310412,-22.53866833093184,8.155252734310412
FKYNH,N-Formyl-L-kynurenine amidohydrolase,R01959,forward,-31.220542423387542,5.9278191701846294,-48.335379958108575,5.9278191701846294
FLVR,flavin reductase,R05707,forward,10.560455117977881,5.71970699737453,10.560455117977881,5.71970699737453
FMNAT,FMN adenylyltransferase,R00161,forward,-11.255933904410313,9.453840054075682,-11.255933904410313,9.453840054075682
FMNRx,FMN reductase,R05705,forward,-21.68275490825158,3.1135596135267645,-21.68275490825158,3.1135596135267645
FMNRx2,FMN reductase,R05706,forward,-22.672107070575294,3.1216968691588307,-22.672107070575294,3.1216968691588307
FNOR,putative ferredoxin/ferredoxin-NADP reductase,R01195,forward,15.618209633668236,14.928455407043593,15.618209633668236,14.928455407043593
FORAMD,formamidase,R00524,forward,-31.640851706148766,9.908823225805184,-48.7556892408698,9.908823225805184
FORCT,Formyl-CoA Transferase,R07290,reversible,1.5673408097677566,7.136155526670533,1.5673408097677566,7.136155526670533
FRNDIT,farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase,R00702,reversible,-141.03277320711777,8.642980593061466,-141.03277320711777,8.642980593061466
FRTT,farnesyltranstransferase,R02061,forward,-72.89902389549025,3.6042258484750276,-72.89902389549025,3.6042258484750276
FRU6PE4P,D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate acetyl-phosphate-forming);fructose-6-phosphate phosphoketolase;D-fructose 6-phosphate phosphoketolase,R00761,forward,-49.857439707155436,2.405391589723391,-49.857439707155436,2.405391589723391
FTHFD,formyltetrahydrofolate deformylase,R00944,forward,-21.552400012305583,4.475253137818975,-38.667237547026616,4.475253137818975
FUM,fumarase,R01082,reversible,-3.450008953381058,0.6076925254717079,-3.450008953381058,0.6076925254717079
FUMAC,fumarylacetoacetase,R01364,forward,-75.22448362932585,7.693302977411236,-92.33932116404688,7.693302977411236
FUTH,futalosine hydrolase,R08587,forward,-13.25945098548624,2.2448226421994124,-30.374288520207273,2.2448226421994124
G1Dx,glucose 1-dehydrogenase,R00300,forward,-3.426697915869852,2.003816327230842,-3.426697915869852,2.003816327230842
G1PACT,glucosamine-1-phosphate N-acetyltransferase,R05332,forward,-18.50574549857538,7.7746444797922525,-18.50574549857538,7.7746444797922525
G1PCTYT,glucose-1-phosphate cytidylyltransferase,R00956,forward,-0.7231304131198613,2.3208008076793574,-0.7231304131198613,2.3208008076793574
G1PTT,glucose-1-phosphate cytidylyltransferase,R02328,forward,-2.0198817084030907,3.125271886173534,-2.0198817084030907,3.125271886173534
G1SAT,glutamate-1-semialdehyde aminotransferase,R02272,reversible,-7.504744305458971,0.6850890665947568,-7.504744305458971,0.6850890665947568
G3PCT,glycerol-3-phosphate cytidylyltransferase,R00856,forward,2.8919926893377124,8.422478818610829,2.8919926893377124,8.422478818610829
G3PD,Glycerol-3-phosphate dehydrogenase,R00848,forward,9.420765514123332,6.478839554210132,9.420765514123332,6.478839554210132
G3PD2,glycerol-3-phosphate dehydrogenase (NADP),R00844,reversible,27.39826196874833,0.8632586633673426,27.39826196874833,0.8632586633673426
G3PD5,Glycerol-3-phosphate dehydrogenase,R08657,forward,-58.30646623582254,6.8299849696723465,-58.30646623582254,6.8299849696723465
G5SADs,L-glutamate 5-semialdehyde dehydratase (spontaneous),R03314,forward,11.431033935286763,10.086093656880053,11.431033935286763,10.086093656880053
G5SD,glutamate-5-semialdehyde dehydrogenase,R03313,forward,-10.13105444322423,1.1361768205663099,-27.245891977945263,1.1361768205663099
G6PBDH,beta-D-glucose-6-phosphate:NADP+ 1-oxoreductase,R02736,reversible,-7.437677406394414,2.8955674872718453,-7.437677406394414,2.8955674872718453
G6PDA,glucosamine-6-phosphate deaminase,R00765,forward,2.2446089872093182,2.35686396144237,-14.870228547511715,2.35686396144237
G6PDH1b,beta-D-glucose-6-phosphate:NAD+ 1-oxidoreductase,R10907,reversible,-8.427029568718126,2.907061010569617,-8.427029568718126,2.907061010569617
G6PDH2r,glucose 6-phosphate dehydrogenase,R00835,forward,-2.317677406394978,2.118549168209798,-2.317677406394978,2.118549168209798
G6PI,alpha-D-Glucose 6-phosphate ketol-isomerase,R02739,reversible,-1.3106226189138397,2.960137825703884,-1.3106226189138397,2.960137825703884
GAL6PI,galactose-6-phosphate isomerase,R03240,reversible,-1.435464918067737,7.440897705368295,-1.435464918067737,7.440897705368295
GALCTND,galactonate dehydratase,R03033,forward,-41.909738398124745,1.1688174190432477,-41.909738398124745,1.1688174190432477
GALIGH,1-alpha-D-Galactosyl-myo-inositol galactohydrolase,R01194,forward,-4.4601815940358165,2.8894000966008675,-21.57501912875685,2.8894000966008675
GALKr,ATP:alpha-D-galactose 1-phosphotransferase,R01092,forward,-4.711430822274451,1.1066922253061127,-4.711430822274451,1.1066922253061127
GALM2,D-galactose 1-epimerase,R10619,reversible,-6.250000000004491,7.218988286554385,-6.250000000004491,7.218988286554385
GALS3,a-galactosidase (melibiose),R01101,forward,-10.73017794510963,1.9808967112363238,-27.845015479830664,1.9808967112363238
GALT,UTP--hexose-1-phosphate uridylyltransferase,R00502,forward,-2.8309820528465934,7.278541927731792,-2.8309820528465934,7.278541927731792
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),R00289,forward,0.0490176062851333,1.1464393916820204,0.0490176062851333,1.1464393916820204
GAPD,glyceraldehyde-3-phosphate dehydrogenase,R01061,reversible,7.779278919809258,0.895659271543226,24.89411645453029,0.895659271543226
GARFT,phosphoribosylglycinamide formyltransferase,R04325,reversible,5.166238631152623,5.121340612799886,5.166238631152623,5.121340612799886
GCALDD,Glycolaldehyde dehydrogenase,R01333,forward,-58.76606557210775,2.5232961157147735,-58.76606557210775,2.5232961157147735
GDPMNP,GDP-mannose phyrophosphatase,R00881,forward,-27.286466412655074,3.7532188768652914,-44.40130394737611,3.7532188768652914
GERISOs,Geranial isomerase (spontaneous),R08099,reversible,0.0,0.0,0.0,0.0
GF4GL_0,L-glutamate:coenzyme F420-0 ligase (GDP-forming),R09399,reversible,-21.660873301754236,2.3049633896418684,-21.660873301754236,2.3049633896418684
GF6PTA,glutamine-fructose-6-phosphate transaminase,R00768,forward,-13.6724993857691,3.0880653592761163,-13.6724993857691,3.0880653592761163
GGLGH,galactosylglycerol galactohydrolase,R01104,forward,-3.370177917394301,7.549265692216538,-20.485015452115334,7.549265692216538
GGTT,geranylgeranyltranstransferase,R07475,forward,-72.90902345441259,3.6042258484750276,-72.90902345441259,3.6042258484750276
GHMT2r,glycine hydroxymethyltransferase,R00945,forward,-6.516029298777539,2.564144773484649,-6.516029298777539,2.564144773484649
GK1i,"guanylate kinase (GMP:ATP, irreversible)",R00332,forward,-3.4110328056383423,1.259853826077258,-3.4110328056383423,1.259853826077258
GLC15LACH,gluconolactonase,R01519,reversible,-27.959040142221028,3.8947403341072593,-27.959040142221028,3.8947403341072593
GLCOAS,glutaryl-CoA synthetase,R02402,forward,-5.020903293356014,7.669218624848243,-5.020903293356014,7.669218624848243
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,R02754,forward,21.804027694317313,7.511257420967627,4.689190159596279,7.511257420967627
GLCRD,glucarate dehydratase,R02752,forward,-41.90986018073306,1.1688174190432477,-41.90986018073306,1.1688174190432477
GLCRD2,D-glucarate hydro-lyase,R08056,reversible,-41.909860180733034,1.1688174190432477,-41.909860180733034,1.1688174190432477
GLGC,glucose-1-phosphate adenylyltransferase,R00948,forward,-7.91072242795326,1.6982557429421132,-7.91072242795326,1.6982557429421132
GLNS,glutamine synthetase,R00253,forward,-14.96490309908853,1.9508170300731469,-14.96490309908853,1.9508170300731469
GLU5K,glutamate 5-kinase,R00239,forward,26.484956387971522,7.1969599185852715,26.484956387971522,7.1969599185852715
GLUDC,Glutamate Decarboxylase,R00261,forward,-33.403647734270805,7.750746330754056,-50.51848526899184,7.750746330754056
GLUDxi,"glutamate dehydrogenase (NAD, irreversible)",R00243,forward,37.93222050887576,0.579833091485728,20.817382974154725,0.579833091485728
GLUDyi,"glutamate dehydrogenase (NADP, irreversible)",R00248,forward,-38.92157267119947,0.6330198475469603,-21.806735136478437,0.6330198475469603
GLUKB,glucokinase-bglc,R01600,forward,-12.832120821626177,7.372595677659127,-12.832120821626177,7.372595677659127
GLUN,glutaminase,R00256,forward,-11.427890398559782,1.9877200379633844,-28.542727933280815,1.9877200379633844
GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,R01072,forward,-54.482024841230555,7.464531227205631,-71.59686237595159,7.464531227205631
GLUR,glutamate racemase,R00260,reversible,-0.6200000000000045,2.1685566490600676,-0.6200000000000045,2.1685566490600676
GLUSx,glutamate synthase (NADH2),R00093,forward,-49.36011090743537,2.0507972360044313,-49.36011090743537,2.0507972360044313
GLUSy,glutamate synthase (NADPH),R00114,forward,-50.34946306975908,2.069437744277921,-50.34946306975908,2.069437744277921
GLUTCOADHc,glutaryl-CoA dehydrogenase (citosol),R02487,forward,19.16144585497915,13.205698572598113,2.046608320258116,13.205698572598113
GLXCL,glyoxalate carboligase,R00013,forward,-28.084735154208317,8.238108516844843,-28.084735154208317,8.238108516844843
GLYALDDr,D-Glyceraldehyde dehydrogenase,R01752,reversible,-49.365946743839146,1.7439923362376657,-49.365946743839146,1.7439923362376657
GLYAT,glycine C-acetyltransferase,R00371,reversible,38.56215006290654,7.155366406566554,38.56215006290654,7.155366406566554
GLYCDx,Glycerol dehydrogenase,R01034,forward,24.58319605593431,1.8454493344291778,24.58319605593431,1.8454493344291778
GLYCK,glycerate kinase,R01514,forward,-10.955118344110588,0.8514777671311758,-10.955118344110588,0.8514777671311758
GLYCK2,glycerate kinase,R08572,forward,-6.736034090490875,0.9933398031507529,-6.736034090490875,0.9933398031507529
GLYCL,Glycine Cleavage System,R01221,forward,14.263944564606788,8.156833358744427,-2.850892970114245,8.156833358744427
GLYCTD,glycolate dehydrogenase;glyoxylate reductase,R00717,reversible,44.59364728345537,0.9932920993261736,44.59364728345537,0.9932920993261736
GLYCTO1,Glycolate oxidase,R00475,forward,-72.43636771311202,10.6146996626049,-72.43636771311202,10.6146996626049
GLYK,glycerol kinase,R00847,forward,-15.556704225170279,2.1741183553144467,-15.556704225170279,2.1741183553144467
GLYO1,glycine oxidase/deaminase,R00366,forward,-71.04157618750949,10.717767321416437,-88.15641372223052,10.717767321416437
GND,phosphogluconate dehydrogenase (NADP),R01528,reversible,2.7296399359668726,7.608638991578479,-14.38519759875416,7.608638991578479
GND2,phosphogluconate dehydrogenase (NAD),R10221,forward,1.7402877736431037,7.604425360867224,-15.37454976107793,7.604425360867224
GNK,gluconokinase,R01737,forward,-10.109956276173762,3.302943623251789,-10.109956276173762,3.302943623251789
GNNUC,guanosine nucleosidase;guanosine deaminase,R01677,forward,-1.7905351034291357,3.0609048830934107,-18.90537263815017,3.0609048830934107
GRMCRDS,"2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(-)-Germacrene D-forming]",R07648,reversible,-274.66277050097915,11.153909608365492,-291.77760803570015,11.153909608365492
GRMCROS,"2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(1E,4S,5E,7R)-germacra-1(10),5-dien-11-ol-forming]",R07647,reversible,-205.9327705009788,9.667757159171227,-223.04760803569982,9.667757159171227
GRTT,geranyltranstransferase,R02003,forward,-72.90902345441236,3.6042258484750276,-72.90902345441236,3.6042258484750276
GTHPi,glutathione peridoxase,R00274,forward,-310.0587979206298,8.049957368478518,-275.8291228511877,8.049957368478518
GTHRDH,glutathione hydralase,R00494,forward,-3.314789122405557,6.754800224890032,-20.42962665712659,6.754800224890032
GTPDPDP,"guanosine-5'-triphosphate,3'-diphosphate diphosphatase",R03409,forward,-23.861492571210448,0.7932657297301898,-40.97633010593148,0.7932657297301898
GUAPRT,guanine phosphoribosyltransferase,R01229,forward,-28.554809427468456,2.5433255780922006,-28.554809427468456,2.5433255780922006
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),R01975,reversible,-18.005356515486028,1.2425939086186846,-18.005356515486028,1.2425939086186846
HACD2,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),R04748,reversible,-24.651618255305948,1.5080586695040985,-24.651618255305948,1.5080586695040985
HACD3,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),R04745,reversible,-20.605781938521204,0.6270017348006414,-20.605781938521204,0.6270017348006414
HACD4,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),R04743,reversible,-20.605781938520977,0.6270017348006414,-20.605781938520977,0.6270017348006414
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),R04741,reversible,-20.60578193852143,0.6270017348006414,-20.60578193852143,0.6270017348006414
HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),R04739,reversible,-20.605781938522114,0.6270017348006414,-20.605781938522114,0.6270017348006414
HACD7,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),R04737,reversible,-20.60578193852166,0.6270017348006414,-20.60578193852166,0.6270017348006414
HACD9,3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA),R04203,reversible,20.67715245076579,0.6270017348006414,20.67715245076579,0.6270017348006414
HADPCOADH3,3-hydroxyadipyl-CoA dehydrogenase (NAD+),R06941,reversible,20.64456835060855,0.6270017348006414,20.64456835060855,0.6270017348006414
HBCOA3E,3-hydroxybutyryl-CoA epimerase,R03276,forward,-0.45019654573729895,3.4180727410170544,-0.45019654573729895,3.4180727410170544
HBCO_nadp,3-hydroxybutyryl-CoA dehydrogenase,R01976,forward,18.99470867780974,1.2881522588419332,18.99470867780974,1.2881522588419332
HCO3E,HCO3 equilibration reaction,R10092,reversible,3.529510910833011,7.63487350007905,3.529510910833011,7.63487350007905
HEPTT,trans-hexaprenyltranstransferase,R05611,forward,-72.89902389549093,3.6042258484750276,-72.89902389549093,3.6042258484750276
HEX1,glucokinase (D-glucose:ATP),R00299,forward,-17.262120821625786,0.7152372520174533,-17.262120821625786,0.7152372520174533
HEX4,hexokinase (D-mannose:ATP),R01326,forward,-16.791498202681623,1.5443856936626779,-16.791498202681623,1.5443856936626779
HEX7,hexokinase (D-fructose:ATP),R00760,forward,-14.645038787930162,0.8248033093999309,-14.645038787930162,0.8248033093999309
HEXTT,trans-hexaprenyltranstransferase,R05612,forward,-72.90902345441214,3.6042258484750276,-72.90902345441214,3.6042258484750276
HGNTOR,"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",R02519,forward,-240.79923664033987,8.62773461445827,-223.68439910561884,8.62773461445827
HIBD,3-hydroxyisobutyrate dehydrogenase,R05066,reversible,23.12529096663158,0.7424962805184742,23.12529096663158,0.7424962805184742
HISNH4L,histidase,R01168,forward,4.984543061716479,1.2132703748736478,-12.130294473004554,1.2132703748736478
HISTD,histidinol dehydrogenase,R01158,forward,-6.5003700390543315,8.315698281325192,-6.5003700390543315,8.315698281325192
HISTDa,L-histidinal:NAD+ oxidoreductase,R01163,reversible,-29.59119689988799,8.271454601752055,-29.59119689988799,8.271454601752055
HISTDb,L-Histidinol:NAD+ oxidoreductase,R03012,reversible,23.09082686083383,0.7424962805184742,23.09082686083383,0.7424962805184742
HISTP,histidinol-phosphatase,R03013,forward,-16.787850917702826,8.23973194375387,-33.90268845242386,8.23973194375387
HKYNH,3-Hydroxy-L-kynurenine hydrolase,R02668,forward,-54.193611427429346,1.8400560827012464,-71.30844896215038,1.8400560827012464
HMBS,hydroxymethylbilane synthase,R00084,forward,-128.73407075375235,22.064475161033656,-145.84890828847338,22.064475161033656
HMGL,hydroxymethylglutaryl-CoA lyase,R01360,forward,-18.79558417851331,8.327919395530374,-35.91042171323434,8.327919395530374
HMPK1,hydroxymethylpyrimidine kinase (ATP),R03471,forward,-11.995278859285634,0.8125561381481559,-11.995278859285634,0.8125561381481559
HOPNTAL3,cyclase,R00750,forward,10.23006617113117,7.308881380355178,-6.884771363589863,7.308881380355178
HOXPR2,2-hydroxy-3-oxopropionate reductase,R01747,forward,-34.26276762313,1.8104995031650208,-34.26276762313,1.8104995031650208
HPCOR,unknown enzyme,R04919,forward,24.013071584201953,0.7759114656421269,24.013071584201953,0.7759114656421269
HPHL,enoyl-CoA hydratase,R03045,forward,-0.04760674256749553,1.616613136703695,-0.04760674256749553,1.616613136703695
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,R03503,forward,-9.244860601427263,1.2922606505693182,-9.244860601427263,1.2922606505693182
HPROb,L-hydroxyproline reductase (NADP),R03293,forward,-53.15398998482601,16.02865843087007,-53.15398998482601,16.02865843087007
HPYRI,hydroxypyruvate isomerase,R01394,reversible,1.4098756728849366,1.8267504026793377,1.4098756728849366,1.8267504026793377
HPYRRx,hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADH),R01388,reversible,31.86353978792124,0.4907014281516981,31.86353978792124,0.4907014281516981
HPYRRy,hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADPH),R01392,reversible,32.852891950245066,0.5973301652890286,32.852891950245066,0.5973301652890286
HSDxi,L-Homoserine:NAD+ oxidoreductase,R01773,reversible,22.929065224810074,1.7927227262069654,22.929065224810074,1.7927227262069654
HSDy,homoserine dehydrogenase (NADPH),R01775,reversible,23.918417387134014,1.781971539143604,23.918417387134014,1.781971539143604
HSK,homoserine kinase,R01771,forward,-31.073422534808742,8.25098064875253,-31.073422534808742,8.25098064875253
HSST,homoserine O-succinyltransferase,R01777,forward,-24.165123683162847,8.771086087494094,-24.165123683162847,8.771086087494094
HSTPT,histidinol-phosphate transaminase,R03243,forward,7.620794762305934,2.960137825703884,7.620794762305934,2.960137825703884
HURH,5-hydroxyisourate amidohydrolase,R06601,reversible,-47.9388308238795,10.916306096753205,-47.9388308238795,10.916306096753205
HXAND,hypoxanthine dehydrogenase,R01768,forward,17.28466348485793,4.904659738354419,17.28466348485793,4.904659738354419
HXPRT,hypoxanthine phosphoribosyltransferase (Hypoxanthine),R01132,forward,-26.727945386334227,1.9974009068351182,-26.727945386334227,1.9974009068351182
IBTMr,isobutyryl-CoA mutase (irreversible),R01181,forward,-2.68999408118475,0.9473685584230499,-2.68999408118475,0.9473685584230499
ICDHyr,isocitrate dehydrogenase (NADP),R00267,reversible,-2.0501297592026617,7.622365769443768,-19.164967293923695,7.622365769443768
ICHORS,isochorismate synthase,R01717,forward,0.9800638470388208,1.7090363705085319,0.9800638470388208,1.7090363705085319
ICL,Isocitrate lyase,R00479,forward,8.637865774596207,1.66465121824121,-8.476971760124826,1.66465121824121
IDOND,L-idonate 5-dehydrogenase,R05683,reversible,-20.63902239670506,0.6270017348006414,-20.63902239670506,0.6270017348006414
IDOND2,L-idonate 5-dehydrogenase (NADP),R05684,forward,-21.628374559028998,0.6662349821002718,-21.628374559028998,0.6662349821002718
IDPS2,isopentenyl-diphosphate:ferredoxin oxidoreductase,R05884,reversible,-78.09450499732927,16.62825232750789,-78.09450499732927,16.62825232750789
IGAMD,1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside deacetylase,R09651,forward,-9.751692714251277,1.4312840734798065,-26.86653024897231,1.4312840734798065
IGPDH,imidazoleglycerol-phosphate dehydratase,R03457,forward,-41.69294916218038,8.29214755995466,-41.69294916218038,8.29214755995466
IGPS,indole-3-glycerol-phosphate synthase,R03508,forward,-94.51096706926108,12.216227235835936,-111.62580460398212,12.216227235835936
ILEDHr,"isoleucine dehydrogenase (NAD, irreversible)",R02196,forward,33.23522558324399,7.8254958505552485,16.120388048522955,7.8254958505552485
ILETA,isoleucine transaminase,R02199,forward,4.696994925631657,7.79354379449665,4.696994925631657,7.79354379449665
IMPC,IMP cyclohydrolase,R01127,reversible,18.33018421838767,10.363396411638035,18.33018421838767,10.363396411638035
IMPD,IMP dehydrogenase,R01130,forward,22.10296811200871,7.841374335494446,22.10296811200871,7.841374335494446
INS2D,inositol 2-dehydrogenase,R01183,forward,5.266740315403808,8.81837923403858,5.266740315403808,8.81837923403858
INSH,Inosine hydrolase,R01770,forward,-3.919381233109732,2.240574723173699,-21.034218767830765,2.240574723173699
IPDDI,isopentenyl-diphosphate D-isomerase,R01123,reversible,-4.906253173972118,3.3141025162310225,-4.906253173972118,3.3141025162310225
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),R08209,forward,-61.486943201337425,7.374972554372494,-61.486943201337425,7.374972554372494
IPMD,3-isopropylmalate dehydrogenase,R04426,forward,20.662678252143166,0.6270017348006414,20.662678252143166,0.6270017348006414
IPPMIa,3-isopropylmalate dehydratase,R04001,reversible,-3.1957499810160925,1.5136091877884341,-3.1957499810160925,1.5136091877884341
IPPMIb,2-isopropylmalate hydratase,R03968,reversible,-3.2077351545653414,1.5583716984777218,-3.2077351545653414,1.5583716984777218
IPPS,2-isopropylmalate synthase,R01213,forward,-25.32888128016816,1.2686211014834143,-25.32888128016816,1.2686211014834143
ITPOCL,ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming),R00726,reversible,-1.8172932860708784,7.740714109681169,-18.93213082079191,7.740714109681169
