Rxn,MetaCyc,Equilibrator_deltaG,Equilibrator_stdev
HPCOR,,24.0,2.0
OCDOR,,40.8,15.2
SALOR,irreversible,-452.4,9.4
NOR_syn,irreversible,445.4,35.6
NTRIR2y,,398.5,7.5
3OXOR,,-28.2,8.9
BTAOR,irreversible,-169.2,8.5
ICHORS,Reversible,1.0,3.3
SUCBZS,irreversible,12.7,11.7
SUCBZL,irreversible,-13.1,15.3
NPHS,,-116.5,22.1
TOLOR,irreversible,-379.1,13.2
HOPNTAL3,Reversible,6.9,3.5
OP4ENH3,irreversible,-0.7,2.9 
ALAS,irreversible,-0.9,8.2
UPPDC2,irreversible,-110.3,24.5
SAMP1MET,irreversible,
FNOR,Reversible,-15.6,11.7
CHIRAISO,,27.8,40.6
DHORD4,irreversible,-81.9,16.9
URO,irreversible,33.0,25.9
OHCUS,irreversible,-96.4,8.7
HURH,irreversible,-47.9,21.7
GMPS,irreversible,
PPNCL3,,-45.9,9.0
IDPS2,irreversible,-78.1,13.3
SUCD9,irreversible,-31.5,17.1
SULR_syn,irreversible,176.1,36.1
SADT,Reversible,47.4,2.3
LPFPLT,irreversible,
LPPGS,irreversible,
GF4GL_0,,-21.7,5.3
GALKr,Reversible,-11.0,3.8
ACTS17,,-68.4,39.8
ACTS18,,-421.1,8.7
ACTS16b,,-363.5,9.2
HISTDa,irreversible,-29.6,8.4
HISTDb,Reversible,23.1,2.0
ATNS_nh4,,-66.2,13.0
HSDxi,irreversible,22.9,3.4
KARI_23dhmb,,21.6,2.0
KARI_3hmoa,,0.0,0.0
KARI,,0.0,0.0
KARI_23dhmp,,21.6,2.0
THDPLOR,irreversible,
EN6LNOR,irreversible,
r0163,,-26.8,7.0
ITPOCL,Reversible,-10.5,6.7
FBA_1,,0.7,4.4
BFBP,,-30.5,4.3
TALAb,Reversible,-0.7,2.8
TKT2h,Reversible,10.0,3.8
G6PBDH,irreversible,-2.3,2.6
G6PDH1b,,-3.3,2.7
G6PI,Reversible,
PGIA,,2.5,0.8
CODSCL5DA,Irreversible,
CODSCL5BMT,Irreversible,
UGAH,Irreversible,-52.4,10.3
ACON6LAT,Irreversible,
ACTS19,,194.8,80.7
GLUAAT,Irreversible,
SEPHCHCS,Irreversible,28.9,15.0
SHCHCS3,Irreversible,-146.5,7.7
DIOP5OR,Irreversible,-35.3,4.0
MALEI,Reversible,-6.2,6.3 
MCPST,Irreversible,
MCPST2,,-29.6,9.5
PENAM,,-15.3,1.0
GLCRD2,,-41.9,2.4
LLEUDr,Irreversible,19.6,3.1
GRMCROS,Irreversible,-223.0,19.2
ALBFLONR,Irreversible,
DIFRNLY,Irreversible,-40.5,7.0
ALBFLOLR,Irreversible,
ALBFLOLS,Irreversible,
EPIZSYN,Irreversible,
SQLCYC2,Irreversible,
SQLCYC1,Irreversible,
PSQLDL,Irreversible,-36.3,10.1
FRNDIT,Irreversible,-141.0,10.0
ALBFLONS,Irreversible,
GRMCRDS,Irreversible,-291.8,21.6
CITCIa2,Reversible,9.2,4.8
ERTHMMOR,Irreversible,20.2,9.3
CITCIb,Irreversible,9.4,5.6
CITMS,Irreversible,-42.7,5.2
OAADC,Irreversible,-34.4,6.2
