Reaction ID	Reaction name	KEGG annotation	New ID	MNXID	BIGGID
5__46__3__46__3__46__10__45__RXN	5-carboxymethyl-2-hydroxymuconate isomerase	R04379		MNXR115626	
6__46__3__46__2__46__10__45__RXN	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	R04573		MNXR108972	
RXN__45__7908	pterin-4-alpha-carbinolamine dehydratase;pterin-4alpha-carbinolamine dehydratase	R04734		MNXR122085	
RXN__45__8022_NADPH	zeta-carotene desaturase;all-trans-zeta-carotene desaturase (NADPH)	R04798			
3__45__OCTAPRENYL__45__4__45__OHBENZOATE__45__DECARBOX__45__RXN	3-octaprenyl-4-hydroxybenzoate decarboxylase	R04986		MNXR102201	OPHBDC
RXN__45__37	4-acetamidobutanal dehydrogenase	R05050		MNXR101805	NABTNO
LAUROYLACYLTRAN__45__RXN	lauroyl acyltransferase	R05146		MNXR116017	
DHLBXANAU__45__RXN	chloroacetate dehalogenase	R05287		MNXR109458	
RXN1F__45__150	lycopene beta cyclase;lycopene beta-cyclase;trans lycopene beta- cyclase;trans -lycopene beta-cyclase	R05341		MNXR101031	LYCOPC
R311__45__RXN	amidase;acrylamide amidase	R05551		MNXR95816	AMID5
MANNONDEHYDRAT__45__RXN	D-mannonate dehydratase	R05606		MNXR101679	MNNH
GALACTARDEHYDRA__45__RXN	galactarate dehydratase;D-galactarate dehydratase	R05608		MNXR99955	GALCTD
4OHBENZOATE__45__OCTAPRENYLTRANSFER__45__RXN	4-hydroxybenzoate octaprenyltransferase	R05615		MNXR100566	HBZOPT
R229__45__RXN	2-phospho-3-sulfolactate phosphohydrolase	R05789		MNXR109837	
RXN__45__9394	"(4R,7R)-4-isopropenyl-7-methyloxepan-2-one hydrolase"	R06390		MNXR122793	
RXN__45__9421	"(4S,7R)-4-isopropenyl-7-methyloxepan-2-one hydrolase"	R06392		MNXR122810	
HCAMULTI__45__RXN	3-phenylpropionate dioxygenase	R06782		MNXR103134	PPPNDO
RXN__45__12072	cinnamate dioxygenase	R06783		MNXR117332	
RXN__45__2962_NADPH	S-hydroxymethyl-glutathione dehydrogenase;NAD- and glutathione-dependent formaldehyde dehydrogenase;hydroxymethylglutathione dehydrogenase (NADPH)	"['R06983', 'R07140']"		MNXR110840	
1__46__2__46__7__46__4__45__RXN	carbon monoxide dehydrogenase (ferredoxin);carbon-monoxide dehydrogenase	"['R00296', 'R07157']"		MNXR110856	
RXN__45__9382	phosphinothricin N-acetyltransferase	R08938		MNXR112429	
RXN__45__13194	RXN-13194	R10072		MNXR113454	
RXN__45__14910	6-aminodeoxyfutalosine deaminase	R10695		MNXR114015	
D__45__LACTATE__45__DEHYDROGENASE__45__CYTOCHROME__45__RXN	D-lactate dehydrogenase (cytochrome)	R00197		MNXR115807	
ACETATE__45____45__COA__45__LIGASE__45__ADP__45__FORMING__45__RXN	acetate-CoA ligase (ADP-forming)	R00229		MNXR106436	
RXN__45__2464	4-carboxy-4-hydroxy-2-oxoadipate aldolase;4-oxalocitramalate aldolase	R00350		MNXR106486	
ASPARTASE__45__RXN	aspartate ammonia-lyase	R00490		MNXR96099	ASPT
SARCOX__45__RXN	sarcosine oxidase	R00610		MNXR104272	SARCOX
ACETYLORNDEACET__45__RXN	N-acetylornithinase;acetylornithine deacetylase	R00669		MNXR95377	ACODA
UREIDOGLYCOLATE__45__LYASE__45__RXN	ureidoglycolate urea-lyase;ureidoglycolate lyase	R00776		MNXR106681	
CATECHOL__45__23__45__DIOXYGENASE__45__RXN	"catechol 2,3-dioxygenase;catechol dioxygenase"	R00816		MNXR96456	CAT23DOX
RXN__45__7644	D-sorbitol dehydrogenase;L-sorbitol dehydrogenase	R00875		MNXR104283	SBTD_D2
2__46__6__46__1__46__18__45__RXN	beta-alanine aminotransferase;beta-alanine transaminase	R00907		MNXR95865	APAT
RXN__45__8961	beta-methylmalyl-CoA lyase;beta-methylmalyl CoA lyase	R00934		MNXR106758	
RXN__45__10445	3-fumarylpyruvate hydrolase	R01085	3FPYRHD	MNXR99707	FUMAH
R11__45__RXN	acetate CoA-transferase	R01179		MNXR106854	
MALATE__45____45__COA__45__LIGASE__45__RXN	malate thiokinase	R01256		MNXR106887	
DHBDEHYD__45__RXN	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"	R01505		MNXR97368	DHBD
MALTOSE__45__PHOSPHORYLASE__45__RXN	maltose phosphorylase	R01555		MNXR101717	MPL
RXN0__45__366	guanosine nucleosidase;guanosine deaminase	R01677		MNXR100392	GNNUC
RXN__45__5901	3-hydroxybutyryl-CoA dehydrogenase;acetoacetyl-CoA reductase	R01977		MNXR107256	
CYCLOHEXANONE__45__MONOOXYGENASE__45__RXN	cyclohexanone monooxygenase	R02231		MNXR107393	
DIACYLGLYKIN__45__RXN	diacylglycerol kinase	R02240		MNXR115829	
RXN__45__2001	cinnamate:CoA ligase;trans-cinnamate:CoA ligase	R02255		MNXR107411	
3__46__5__46__4__46__22__45__RXN	Delta1-pyrroline-4-hydroxy-2-carboxylate deaminase	R02280		MNXR107426	
RXN__45__8987	succinyl-CoA:itaconate CoA transferase	R02407		MNXR107488	
RXN__45__12246	D-xylonolactonase	R02427		MNXR107499	
RXN__45__11737	L-cysteate aminotransferase	R02433		MNXR95161	LCYSTAT
L__45__ARABINONOLACTONASE__45__RXN	L-arabinolactonase	R02526		MNXR107564	
D__45__LACTALDEHYDE__45__DEHYDROGENASE__45__RXN	methylglyoxal reductase;methylglyoxal reductase (NADH-dependent)	R02527		MNXR101008	LALDD
2__46__4__46__1__46__157__45__RXN	"alpha-monoglucosyldiacylglycerol synthase;1,2-diacylglycerol 3-alpha-glucosyltransferase"	R02689		MNXR114165	
ALPHAALPHA__45__TREHALOSE__45__PHOSPHORYLASE__45__RXN	trehalose phosphorylase	R02727		MNXR107696	
RXN__45__8527	2-hydroxymuconate 6-semialdehyde dehydrogenase;2-hydroxymuconate-6-semialdehyde dehydrogenase;2-hydroxymuconate semialdehyde dehydrogenase	R02762		MNXR100669	HMSD
3__46__5__46__2__46__14__45__RXN	N-methylhydantoin amidohydrolase	R03187		MNXR108009	
1__46__17__46__1__46__1__45__RXN_NADPH	CDP-4-dehydro-6-deoxyglucose reductase (NADPH)	R03392		MNXR108140	
RXN1F__45__10	protochlorophyllide oxidoreductase	R03845		MNXR103065	POR_1
1__46__2__46__1__46__32__45__RXN	2-aminomucoate semialdehyde dehydrogenase;2-aminomuconate 6-semialdehyde dehydrogenase;2-aminomuconate semialdehyde dehydrogenase;2-aminomuconic 6-semialdehyde dehydrogenase;2-aminomuconate-semialdehyde dehydrogenase	R03889		MNXR114958	
24__45__DICHLOROPHENOL__45__6__45__MONOOXYGENASE__45__RXN	"2,4-dichlorophenol 6-monooxygenase;2,4-dichlorophenol monooxygenase"	R03997		MNXR108577	
RXN1K__45__87	RXN1K-87	R04134		MNXR108679	
2__46__3__46__1__46__89__45__RXN	tetrahydrodipicolinate acetyltransferase	R04364		MNXR95864	APAT
CARBOXY__45__OXOHEPT__45__ENEDIOATE__45__DECARBOXY__45__RXN	CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	R04380		MNXR115744	
CHMS__45__DEHYDROGENASE__45__RXN	2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase	R04418		MNXR94997	CMCMSAD
RXN__45__4822	acetyl-diaminopimelate aminotransferase	R04467		MNXR95434	ADAPAT
SYDDEHYD__45__RXN	4-sulfobenzaldehyde dehydrogenase	R05272		MNXR109445	
RXN__45__864	succinyl-CoA:benzylsuccinate CoA-transferase	R05588		MNXR96368	BZSCT
RXN__45__902	phenylitaconyl-CoA hydratase	R05599		MNXR122588	
R282__45__RXN	cyclohexane-1-carbonyl-CoA dehydrogenase;cyclohexanecarboxyl-CoA dehydrogenase	R05619		MNXR116210	
RXN__45__11689	S-sulfolactate dehydrogenase	R05693		MNXR104442	SLD
RXN__45__5285	"3,8-divinyl-protochlorophyllide oxidoreductase"	R06286		MNXR110109	
RXN__45__14147	RXN-14147	R07396		MNXR95923	ARAT
RXN0__45__3922	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase	"['R07417', 'R07418']"		MNXR111060	
RXN__45__13704	"2,3-dihydroxybenzenesulfonate 2,3-dioxygenase"	R07795		MNXR111380	
R8__45__RXN	acetate CoA-transferase	R07832		MNXR111417	
RXN__45__8956	L-arginine:pyruvate transaminase	R08197		MNXR96038	ARUH
RXN__45__7933	acetylcitrulline deacetylase	R09107		MNXR112547	
R265__45__RXN	cyclohex-1-ene-1-carbonyl-CoA dehydrogenase	R09252		MNXR116208	
RXN__45__11186	FAD-dependent urate hydroxylase	R09514		MNXR112934	
RXN__45__12848	RXN-12848	R09859		MNXR113260	
RXN__45__12653	pentalenolactone synthase	R10162		MNXR113528	
RXN__45__6902	gamma aminobutyrate transaminase;gamma-aminobutyrate transaminase (pyruvate dependent)	R10178		MNXR113544	
RXN0__45__6732	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase	R10185		MNXR113550	
R01172	butanal:NAD+ oxidoreductase (CoA-acylating)	R01172		MNXR96320	BTCOAR
R01618	APS:ATP adenylyltransferase	R01618		MNXR95863	APATT
R01902	ATP:L-xylulose 1-phosphotransferase	R01902		MNXR100937	KHK2
R02457	D-Ornithine:oxygen oxidoreductase (deaminating)	R02457		MNXR97759	DORNOp
R02894	D-Proline:oxygen oxidoreductase	R02894	DPROLORED	MNXR107807	
R02923	D-Arginine:oxygen oxidoreductase (deaminating)	R02923		MNXR97150	DARGOp
R04221	cis-4-Hydroxy-D-proline:oxygen oxidoreductase (deaminating)	R04221		MNXR108742	
R04800_NADPH	"Neurosporene, hydrogen-donor:oxygen oxidoreductase (NADPH)"	R04800		MNXR105275	ZCAROTDH2
R05590	Acylamide aminohydrolase	R05590		MNXR109702	
R01176	Butanoate:CoA ligase (AMP-forming)	R01176		MNXR106852	
R01785	L-xylulose 1-phosphate glycolaldehyde-lyase (glycerone-phosphate-forming)	R01785		MNXR99462	FBA4
R02252	phenylpropanoate:NAD+ delta2-oxidoreductase	R02252		MNXR107408	
R03391	"CDP-4-dehydro-3,6-dideoxy-D-glucose:NAD+ 3-oxydoreductase"	R03391		MNXR108139	
R04215	CTP:N-glycoloylneuraminate cytidylyltransferase	R04215		MNXR108739	
RXN__45__15356				MNXR119310	
RXN__45__12753				MNXR117736	
RXN__45__6423		R07408		MNXR103470	RE0691C
RXN__45__12943				MNXR128737	
RXN__45__12440		R00644		MNXR106622	
RXN__45__13530	formyl hopane synthase			MNXR118151	
RXN__45__12876		R07679		MNXR117786	
RXN__45__12540	Fenton reaction				
RXN__45__15999				MNXR119769	
RXN__45__8461		R08837		MNXR112330	
RXN__45__6268				MNXR121837	
RXN__45__12754				MNXR117737	
RXN__45__2881		R09093		MNXR112536	
RXN__45__15124		R11100		MNXR114400	
RXN__45__9193		R08099		MNXR111678	
RXN0__45__5222	cyanase	R07316		MNXR96481	CBMD
RXN__45__5721		R04293		MNXR121824	
RXN__45__2961		R06982		MNXR99239	FALGTHLs
RXN__45__6581		R10302		MNXR113658	
RXN__45__4821		R04336		MNXR108820	
RXN__45__10723				MNXR116488	
RXN__45__16992					
RXN__45__7587		R04282		MNXR121962	
RXN__45__14500				MNXR118723	
RXN__45__14809				MNXR118947	
RXN__45__12541				MNXR117620	
RXN__45__14515				MNXR118735	
RXN__45__13463				MNXR126514	
RXN__45__15905				MNXR119698	
RXN__45__18029	teichoic acid transporter				
TRANS__45__RXN0__45__575	transport of maltose				
TRANS__45__RXN0__45__496	enterobactin exporter EntS				
3__46__6__46__3__46__8__45__RXN	calcium-transporting ATPase			MNXR125117	
RXN66__45__447	Sodium independent leucine transport				
EXC_OUT_CPD__45__14016_c	EXC_OUT_CPD-14016_c				
EXC_OUT_CPD__45__9962_c	EXC_OUT_CPD-9962_c				
EXC_OUT_CPD__45__10680_c	EXC_OUT_CPD-10680_c				
EXC_OUT_CPD__45__10681_c	EXC_OUT_CPD-10681_c				
EXC_OUT_ACETONE_c	EXC_OUT_ACETONE_c			MNXR98200	EX_acetone_e
EXC_OUT_CPD__45__14522_c	EXC_OUT_CPD-14522_c				
RXN__45__13783_NADH	ornithine N-hydroxylase (NADH)	R10790		MNXR114106	
RXN__45__15892_NADH	"3,6-anhydro-L-galactose dehydrogenase (NADH)"				
HYDROXYPYRUVATE__45__REDUCTASE__45__RXN_NADH	hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADH)	R01388		MNXR100325	HPYRR
ANTHRANILOYL__45__COA__45__MONOOXYGENASE__45__RXN_NADH	2-amninobenzoyl-CoA monooxygenase/reductase (NADH)	R03998		MNXR108578	
RXN__45__12940_NADH	"dTDP-(2R,6S)-6-hydroxy-2-methyl-3-oxo-3,6-dihydro-2H-pyran-4-olate 3-ketoreductase (dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose-forming) (NADH)"				
RXN__45__16164_NADH	GDP-6-deoxy-4-keto-D-lyxo-heptose 4-reductase (NADH)				
RXN__45__5921_NADH	carnitine monooxygenase (NADH)	R11875			
R364__45__RXN_NADH	4-nitrobenzoate reductase (NADH)				
1__46__14__46__12__46__1__45__RXN_NADH	anthranilate dioxygenase (NADH)	R00825		MNXR106707	
RXN__45__2962_NADH	S-hydroxymethyl-glutathione dehydrogenase;NAD- and glutathione-dependent formaldehyde dehydrogenase;hydroxymethylglutathione dehydrogenase (NADH)	"['R06983', 'R07140']"		MNXR99237	FALDH2
1__46__14__46__13__46__84__45__RXN_NADH	1.14.13.84-RXN (NADH)	R06892			
RXN__45__8024_NADH	all-trans phytofluene desaturase (NADH)	R04787			
RXN__45__8003_NADH	cis-4-hydroxy-D-proline dehydrogenase;D-hydroxyproline dehydrogenase (NADH)				
RXN__45__12707_NADH	3-oxochol-4-en-24-oyl-CoA dehydrogenase (NADH)				
RXN__45__8023_NADH	phytoene desaturase;all-trans-phytoene desaturase;15-cis-phytoene desaturase (NADH)				
RXN__45__8781_NADH	L-sorbosone dehydrogenase (NADH)				
RXN__45__12225_NADH	"4,4'-diapolycopenedial dehydrogenase (NADH)"				
RXN__45__12223_NADH	diapolycopene oxygenase (NADH)	R09671			
RXN__45__13528_NADH	adenosyl hopane synthase (NADH)				
RXN__45__10995_NADH	cadaverine hydroxylase (NADH)				
RXN__45__12703_NADH	3-oxocholest-4-en-26-oyl-CoA dehydrogenase (NADH)				
RXN__45__8022_NADH	zeta-carotene desaturase;all-trans-zeta-carotene desaturase (NADH)	R04798			
R04800_NADH	"Neurosporene, hydrogen-donor:oxygen oxidoreductase (NADH)"	R04800			
