Column1;Reaction ID;Reaction name;kegg.reaction;biocyc;kegg.pathway;kegg.subsystem;subsystem;curated pathway;curated subsystem
706;DASYN141;CDP-diacylglycerol synthetase (n-C14:1);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
707;DASYN150;CDP-diacylglycerol synthetase (n-C15:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
708;DASYN160;CDP-diacylglycerol synthetase (n-C16:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
709;DASYN161;CDP-diacylglycerol synthetase (n-C16:1);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
710;DASYN170;CDP-diacylglycerol synthetase (n-C17:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
711;DASYN180;CDP-diacylglycerol synthetase (n-C18:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
712;DASYN181;CDP-diacylglycerol synthetase (n-C18:1);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
713;DASYNai150;CDP-diacylglycerol synthetase (ante-iso-C15:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
714;DASYNai170;CDP-diacylglycerol synthetase (ante-iso-C17:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
715;DASYNi140;CDP-diacylglycerol synthetase (iso-C14:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
716;DASYNi150;CDP-diacylglycerol synthetase (iso-C15:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
717;DASYNi160;CDP-diacylglycerol synthetase (iso-C16:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
718;DASYNi170;CDP-diacylglycerol synthetase (iso-C17:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
719;DASYNi180;CDP-diacylglycerol synthetase (iso-C18:0);R01799;;Glycerophospholipid metabolism;Lipid metabolism;Glycerophospholipid metabolism;;
720;DATPHs;dATP amine hydrolysis (spontaneous);;;;Nucleotide metabolism;Nucleotide Salvage Pathway;;
721;DB4PS;3,4-Dihydroxy-2-butanone-4-phosphate synthase;R07281;DIOHBUTANONEPSYN-RXN;Riboflavin metabolism;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
722;DBTS;dethiobiotin synthase;R03182;DETHIOBIOTIN-SYN-RXN;Biotin metabolism;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
723;DCH;diacetylchitobiose hydrolase;R00022;;Amino sugar and nucleotide sugar metabolism;Carbohydrate metabolism;Alternate Carbon metabolism;;
724;DCPEPFU;"decaprenyl-phosphoryl-2-keto-beta-D-erythro-pentofuranose reductase;decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase";;RXN-11081;;;;;
725;DCTPD;dCTP deaminase;R02325;;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
726;DCTPD2;dCTP deaminase;R00568;;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
727;DCYCHEX;2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase;R05243;LINC-RXN;;;;;
728;DCYTD;deoxycytidine deaminase;R02485;;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
729;DDALLO;dTDP-(2R,6S)-6-hydroxy-2-methyl-3-oxo-3,6-dihydro-2H-pyran-4-olate 3-ketoreductase (dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose-forming) ;;RXN-12940;;;;;
730;DDGALK;2-dehydro-3-deoxygalactonokinase;R03387;DEHYDDEOXGALACTKIN-RXN;;;;;
731;DDGLK;2-dehydro-3-deoxygluconokinase;R01541;DEOXYGLUCONOKIN-RXN;Pentose phosphate pathway;Carbohydrate metabolism;Alternate Carbon metabolism;;
732;DDPA;3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase;R01826;DAHPSYN-RXN;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism;Tyrosine, Tryptophan, and Phenylalanine metabolism;;
733;DDPGA;2-dehydro-3-deoxy-phosphogluconate aldolase;R00471;4OH2OXOGLUTARALDOL-RXN;Arginine and proline metabolism;Amino acid metabolism;Arginine and Proline metabolism;;
734;DGALACYC;D-galactarolactone cycloisomerase;;RXN-15902;;;;;
735;DGC2D;2-deoxy-D-gluconate 3-dehydrogenase;;;;Lipid metabolism;Glycerophospholipid metabolism;;
736;DGI;5-Deoxy glucuronate isomerase;R08503;;Inositol phosphate metabolism;Carbohydrate metabolism;Inositol Phosphate metabolism;;
737;DGK1;deoxyguanylate kinase (dGMP:ATP);R02090;GMKALT-RXN;Purine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
738;DGLUC4KR;dTDP-4-oxo-2,6-dideoxy-D-glucose 4-ketoreductase (dTDP-D-olivose producing);;RXN-12921;;;;;
739;DGLUCMT;dTDP-4-oxo-2,6-dideoxy-D-glucose 3-C-methyltransferase;;RXN-12931;;;;;
740;DGLUCYC;D-glucarolactone cycloisomerase;;RXN-15907;;;;;
741;DGLYHRED;"dTDP-3,4-diketo-2,6-dideoxy-D-glucose 3-ketoreductase;dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose 3-ketoreductase;dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose reductase";;RXN-16262;;;;;
742;DHACOAH;2,3-dehydroadipyl-CoA hydratase;R06942;META:RXN0-6513;['Caprolactam degradation', 'Phenylalanine metabolism'];['Xenobiotics biodegradation and metabolism', 'Amino acid metabolism'];Alternate Carbon metabolism;;
743;DHAD1;dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate);R04441;DIHYDROXYISOVALDEHYDRAT-RXN;Valine, leucine and isoleucine biosynthesis;Amino acid metabolism;Valine, leucine and isoleucine metabolism;;
744;DHAD2;Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate);R05070;DIHYDROXYMETVALDEHYDRAT-RXN;Valine, leucine and isoleucine biosynthesis;Amino acid metabolism;Valine, leucine and isoleucine metabolism;;
745;DHAK;dihydroxyacetone kinase;R01011;GLYCERONE-KINASE-RXN;['Glycerolipid metabolism', 'Methane metabolism'];['Energy metabolism', 'Lipid metabolism'];Alternate Carbon metabolism;;
746;DHAPT;dihydroxyacetone kinase;R01012;2.7.1.121-RXN;;;;;
747;DHBD;2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase;R01505;DHBDEHYD-RXN;;;;;
748;DHBS;"2,3-dihydroxybenzoate-AMP ligase;(2,3-dihydroxybenzoyl)adenylate synthase";R01504;DHBAMPLIG-RXN;;;;;
749;DHDPRy;dihydrodipicolinate reductase (NADPH);R04199;;['Monobactam biosynthesis', 'Lysine biosynthesis'];['Amino acid metabolism', 'Biosynthesis of other secondary metabolites'];Threonine and Lysine metabolism;;
750;DHDPS;dihydrodipicolinate synthase;R10147;;['Monobactam biosynthesis', 'Lysine biosynthesis'];['Amino acid metabolism', 'Biosynthesis of other secondary metabolites'];Threonine and Lysine metabolism;;
751;DHFR;dihydrofolate reductase;R00939;;['One carbon pool by folate', 'Folate biosynthesis'];Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
752;DHFS;dihydrofolate synthase;R02237;DIHYDROFOLATESYNTH-RXN;Folate biosynthesis;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
753;DHICONF;(-)-dehydrodiconiferyl aldehyde dehydrogenase;;RXN-15819;;;;;
754;DHNAI;1,4-dihydroxynaphthoate isomerization (hypothetical reaction);;;;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
755;DHNANT4;1,4-dihydroxy-2-naphthoate nonaprenyltransferase;;;;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
756;DHNAOT9;1,4-dihydroxy-2-naphthoate prenyltransferase;R05617;;Ubiquinone and other terpenoid-quinone biosynthesis;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
757;DHNAS;1,4-dihydroxy-6-naphthoate synthase;;;;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
758;DHNPA2r;dihydroneopterin aldolase reversible;R03504;RXN-10857;Folate biosynthesis;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
759;DHNPTE;Dihydroneopterin epimerase;;;;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
760;DHORD4;(S)-dihydroorotate:quinone oxidoreductase;R01868;;Pyrimidine metabolism;Nucleotide metabolism;Purine and pyrimidine biosynthesis;;
761;DHORD5;dihydroorotic acid (menaquinone-9);;;;Nucleotide metabolism;Purine and pyrimidine biosynthesis;;
762;DHORTS;dihydroorotase;R01993;DIHYDROOROT-RXN;Pyrimidine metabolism;Nucleotide metabolism;Purine and pyrimidine biosynthesis;;
763;DHPD;"dihydropyrimidase;5,6-dihydrouracil dihydropyrimidinase;dihydrouracil hydrolase;dihydrouracil amidohydrolase";R02269;DIHYDROPYRIMIDINASE-RXN;;;;;
764;DHPPDA2;diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp);R03459;;Riboflavin metabolism;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
765;DHPS;Dihydropteroate synthase;R03066;;Folate biosynthesis;Metabolism of cofactors and vitamins;Folate metabolism;;
766;DHPS2;dihydropteroate synthase;R03067;H2PTEROATESYNTH-RXN;Folate biosynthesis;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
767;DHQS;3-dehydroquinate synthase;R03083;3-DEHYDROQUINATE-SYNTHASE-RXN;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism;Tyrosine, Tryptophan, and Phenylalanine metabolism;;
768;DHQTi;3-dehydroquinate dehydratase, irreversible;R03084;3-DEHYDROQUINATE-DEHYDRATASE-RXN;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism;Tyrosine, Tryptophan, and Phenylalanine metabolism;;
769;DHYDTHYM;"dihydrothymine hydrolase;dihydrothymine amidohydrolase;dihydrothyminidase";R03055;RXN-11211;;;;;
770;DIFRNLY;(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(E)-beta-farnesene-forming];R08695;;Sesquiterpenoid and triterpenoid biosynthesis;Metabolism of terpenoids and polyketides;Sesquiterpenoid and triterpenoid biosynthesis;;
771;DIOP5OR;2,5-dioxopentanoate:NADP+ 5-oxidoreductase;R00264;;['Ascorbate and aldarate metabolism', 'Pentose and glucuronate interconversions'];Carbohydrate metabolism;Alternate Carbon metabolism;;
772;DMATT;dimethylallyltranstransferase;R01658;GPPSYN-RXN;Terpenoid backbone biosynthesis;Metabolism of terpenoids and polyketides;Cofactor and Prosthetic Group Biosynthesis;;
773;DMBZIDS;5,6-dimethylbenzimidazole synthase;;;;Metabolism of terpenoids and polyketides;Cofactor and Prosthetic Group Biosynthesis;;
774;DMETMO;dimethylaniline monooxygenase;R03344;1.14.13.8-RXN;;;;;
775;DMPPS;1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp);R08210;;Terpenoid backbone biosynthesis;Metabolism of terpenoids and polyketides;Cofactor and Prosthetic Group Biosynthesis;;
776;DMT;S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase;R04858;DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN;Cysteine and methionine metabolism;Amino acid metabolism;Cysteine metabolism;;
777;DNADDP;Deaminido NAD diphosphatase;R03004;;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
778;DNMPPA;ATP-dependent DNA helicase;R04621;DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN;Folate biosynthesis;Metabolism of cofactors and vitamins;Folate metabolism;;
779;DNTPPA_1;ATP-dependent DNA helicase;R04638;H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN;Folate biosynthesis;Metabolism of cofactors and vitamins;Folate metabolism;;
780;DORNO;D-Ornithine:oxygen oxidoreductase (deaminating);R02457;R02457;rn00472;;;;
781;DPCOAK;dephospho-CoA kinase;R00130;DEPHOSPHOCOAKIN-RXN;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
782;DPCOX;diapolycopene oxygenase ;R09671;RXN-12223;;;;;
783;DPMSYN;"dolichyl-phosphate mannose synthase;dolichol phosphate mannose synthase";R01009;2.4.1.83-RXN;;;;;
784;DPR;2-dehydropantoate 2-reductase;R02472;2-DEHYDROPANTOATE-REDUCT-RXN;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
785;DPROLORED;D-Proline:oxygen oxidoreductase;R02894;R02894;rn00330;;;;
786;DRBK;Deoxyribokinase;R02750;RXN-14223;Pentose phosphate pathway;Carbohydrate metabolism;Alternate Carbon metabolism;;
787;DRIB2FUR;decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase;;RXN-11080;;;;;
788;DRIBPA;D-ribulose-phosphate aldolase;;DARABALDOL-RXN;;;;;
789;DRPA;deoxyribose-phosphate aldolase;R01066;DEOXYRIBOSE-P-ALD-RXN;Pentose phosphate pathway;Carbohydrate metabolism;Alternate Carbon metabolism;;
790;DTARTD;D(-)-tartrate dehydratase;R00340;D--TARTRATE-DEHYDRATASE-RXN;;Carbohydrate metabolism;Alternate Carbon metabolism;;
791;DTDP26DGR;dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose reductase;;RXN-12943;;;;;
792;DTDPG4E;UDP-glucose 4-epimerase;R02984;;;Biosynthesis of other secondary metabolites;Streptomycin biosynthesis;;
793;DTMPK;dTMP kinase;R02094;DTMPKI-RXN;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
794;DURIK1;deoxyuridine kinase (ATP:Deoxyuridine);R02099;DURIDKI-RXN;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
795;DURIPP;deoxyuridine phosphorylase;R02484;URA-PHOSPH-RXN;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
796;DUTPDP;dUTP diphosphatase;R02100;DUTP-PYROP-RXN;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
797;DX5PGLYCPL;phosphoketolase;R01621;;['Carbon fixation in photosynthetic organisms', 'Pentose phosphate pathway'];Carbohydrate metabolism;Pentose phosphate pathway;;
798;DXFUTOR;Dehypoxanthine futalosine:S-adenosyl-L-methionine oxidoreductase;;;;;;;
799;DXPRIi;1-deoxy-D-xylulose reductoisomerase;R05688;DXPREDISOM-RXN;Terpenoid backbone biosynthesis;Metabolism of terpenoids and polyketides;Cofactor and Prosthetic Group Biosynthesis;;
800;DXPS;1-deoxy-D-xylulose 5-phosphate synthase;R05636;DXS-RXN;['Terpenoid backbone biosynthesis', 'Thiamine metabolism'];['Metabolism of cofactors and vitamins', 'Metabolism of terpenoids and polyketides'];Cofactor and Prosthetic Group Biosynthesis;;
801;DXYLDH;D-xylonate dehydratase;R02429;XYLONATE-DEHYDRATASE-RXN;;;;;
802;DXYLK;1-Deoxy-D-xylulose kinase;;META:RXN0-382;;Metabolism of terpenoids and polyketides;Cofactor and Prosthetic Group Biosynthesis;;
803;E4PD;Erythrose 4-phosphate dehydrogenase;R01825;ERYTH4PDEHYDROG-RXN;Vitamin B6 metabolism;Metabolism of cofactors and vitamins;Cofactor and Prosthetic Group Biosynthesis;;
804;EAR100x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0);R04961;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
805;EAR100y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0);R04962;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
806;EAR110x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
807;EAR110y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
808;EAR120x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0);R04724;META:RXN-9661;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
809;EAR120y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0);R04725;META:RXN-9534;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
810;EAR121x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
811;EAR121y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
812;EAR130x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
813;EAR130y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
814;EAR140x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0);R04966;META:RXN-9662;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
815;EAR140y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0);R04967;META:RXN-9538;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
816;EAR141x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
817;EAR141y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
818;EAR150x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
819;EAR150y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
820;EAR160x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0);R04969;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
821;EAR160y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0);R04970;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
822;EAR161x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
823;EAR161y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
824;EAR170x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
825;EAR170y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
826;EAR180x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0);R07765;;['Fatty acid biosynthesis', 'Biosynthesis of unsaturated fatty acids'];Lipid metabolism;Cell Envelope Biosynthesis;;
827;EAR180y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
828;EAR181x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
829;EAR181y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
830;EAR40x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0);R04429;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
831;EAR40y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0);R04430;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
832;EAR50x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C5:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
833;EAR50y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C5:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
834;EAR60x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0);R04955;META:RXN-9658;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
835;EAR60y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0);R04956;META:RXN-9521;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
836;EAR70x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
837;EAR70y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
838;EAR80x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0);R04958;META:RXN-9659;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
839;EAR80y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0);R04959;META:RXN-9526;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
840;EAR90x;enoyl-[acyl-carrier-protein] reductase (NADH) (n-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
841;EAR90y;enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
842;EARai110x;enoyl-[acyl-carrier-protein] reductase (NADH) (ante-iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
843;EARai110y;enoyl-[acyl-carrier-protein] reductase (NADPH) (ante-iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
844;EARai130x;enoyl-[acyl-carrier-protein] reductase (NADH) (ante-iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
845;EARai130y;enoyl-[acyl-carrier-protein] reductase (NADPH) (ante-iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
846;EARai150x;enoyl-[acyl-carrier-protein] reductase (NADH) (ante-iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
847;EARai150y;enoyl-[acyl-carrier-protein] reductase (NADPH) (ante-iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
848;EARai170x;enoyl-[acyl-carrier-protein] reductase (NADH) (ante-iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
849;EARai170y;enoyl-[acyl-carrier-protein] reductase (NADPH) (ante-iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
850;EARai70x;enoyl-[acyl-carrier-protein] reductase (NADH) (ante-iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
851;EARai70y;enoyl-[acyl-carrier-protein] reductase (NADPH) (ante-iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
852;EARai90x;enoyl-[acyl-carrier-protein] reductase (NADH) (ante-iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
853;EARai90y;enoyl-[acyl-carrier-protein] reductase (NADPH) (ante-iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
854;EARi100x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C10:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
855;EARi100y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C10:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
856;EARi110x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
857;EARi110y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
858;EARi120x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C12:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
859;EARi120y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C12:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
860;EARi130x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
861;EARi130y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
862;EARi140x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C14:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
863;EARi140y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C14:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
864;EARi150x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
865;EARi150y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
866;EARi160x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C16:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
867;EARi160y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C16:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
868;EARi170x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
869;EARi170y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
870;EARi180x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C18:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
871;EARi180y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C18:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
872;EARi60x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C6:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
873;EARi60y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C6:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
874;EARi70x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
875;EARi70y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
876;EARi80x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C8:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
877;EARi80y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C8:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
878;EARi90x;enoyl-[acyl-carrier-protein] reductase (NADH) (iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
879;EARi90y;enoyl-[acyl-carrier-protein] reductase (NADPH) (iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
880;ECOAH1;3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA);R03026;RXN-11667;['Tryptophan metabolism', 'Carbon fixation pathways in prokaryotes', 'Benzoate degradation', 'Butanoate metabolism', 'Fatty acid degradation', 'Lysine degradation', 'Aminobenzoate degradation'];['Carbohydrate metabolism', 'Lipid metabolism', 'Xenobiotics biodegradation and metabolism', 'Amino acid metabolism'];Threonine and Lysine metabolism;;
