iMK1208 ID;iKS1317;Sco4;iAA1259
DM_RED;Missing;Identical;Identical
EX_14glucan_e;Identical;Identical;Identical
EX_15dap_e;Identical;Identical;Identical
EX_1Dgali_e;Identical;Identical;Identical
EX_23camp_e;Identical;Identical;Identical
EX_23ccmp_e;Identical;Identical;Identical
EX_23cgmp_e;Identical;Identical;Identical
EX_23cump_e;Identical;Identical;Identical
EX_26dap__M_e;Missing;Identical;Identical
EX_2ddglcn_e;Identical;Identical;Identical
EX_3amp_e;Identical;Identical;Identical
EX_3cmp_e;Identical;Identical;Identical
EX_3gmp_e;Identical;Identical;Identical
EX_3ump_e;Identical;Identical;Identical
EX_4abut_e;Identical;Identical;Identical
EX_5dglcn_e;Identical;Identical;Identical
EX_5mtr_e;Identical;Identical;Identical
EX_abt__D_e;Identical;Identical;Identical
EX_ac_e;Identical;Identical;Identical
EX_acald_e;Identical;Identical;Identical
EX_acgam_e;Identical;Identical;Identical
EX_acser_e;Identical;Identical;Identical
EX_ade_e;Identical;Identical;Identical
EX_adn_e;Identical;Identical;Identical
EX_agm_e;Identical;Identical;Identical
EX_akg_e;Identical;Identical;Identical
EX_alaala_e;Identical;Identical;Identical
EX_ala__B_e;Missing;Identical;Identical
EX_ala__D_e;Identical;Identical;Identical
EX_ala__L_e;Identical;Identical;Identical
EX_alltn_e;Identical;Identical;Identical
EX_amp_e;Identical;Identical;Identical
EX_arab__L_e;Identical;Identical;Identical
EX_arg__L_e;Identical;Identical;Identical
EX_asn__L_e;Identical;Identical;Identical
EX_aso3_e;Identical;Identical;Identical
EX_asp__L_e;Identical;Identical;Identical
EX_bhb_e;Identical;Identical;Identical
EX_btn_e;Identical;Identical;Identical
EX_ca2_e;Identical;Identical;Identical
EX_cbi_e;Identical;Identical;Identical
EX_cbl1_e;Identical;Identical;Identical
EX_cd2_e;Identical;Identical;Identical
EX_CDA_e;Identical;Identical;Identical
EX_celb_e;Identical;Identical;Identical
EX_chol_e;Identical;Identical;Identical
EX_chtbs_e;Identical;Identical;Identical
EX_cit_e;Identical;Identical;Identical
EX_cl_e;Identical;Identical;Identical
EX_cmp_e;Identical;Identical;Identical
EX_co2_e;Identical;Identical;Identical
EX_cobalt2_e;Identical;Identical;Identical
EX_coelichelin_e;Identical;Identical;Identical
EX_csn_e;Identical;Identical;Identical
EX_cu_e;Identical;Identical;Identical
EX_cu2_e;Identical;Identical;Identical
EX_cys__L_e;Identical;Identical;Identical
EX_cytd_e;Identical;Identical;Identical
EX_dad__2_e;Missing;Identical;Identical
EX_damp_e;Identical;Identical;Identical
EX_dcmp_e;Identical;Identical;Identical
EX_dcyt_e;Identical;Identical;Identical
EX_desferrioxamB_e;Identical;Identical;Identical
EX_desferrioxamE_e;Identical;Identical;Identical
EX_dgmp_e;Identical;Identical;Identical
EX_dgsn_e;Identical;Identical;Identical
EX_dha_e;Identical;Identical;Identical
EX_dimp_e;Identical;Identical;Identical
EX_din_e;Identical;Identical;Identical
EX_drib_e;Identical;Identical;Identical
EX_dtmp_e;Identical;Identical;Identical
EX_dump_e;Identical;Identical;Identical
EX_duri_e;Identical;Identical;Identical
EX_epm_e;Identical;Identical;Identical
EX_etha_e;Identical;Identical;Identical
EX_etoh_e;Identical;Identical;Identical
EX_fald_e;Identical;Identical;Identical
EX_fe2_e;Identical;Identical;Identical
EX_fe3_e;Identical;Identical;Identical
EX_ferricoelichelin_e;Identical;Identical;Identical
EX_ferrioxamB_e;Identical;Identical;Identical
EX_ferrioxamE_e;Identical;Identical;Identical
EX_for_e;Identical;Identical;Identical
EX_fru_e;Identical;Identical;Identical
EX_fum_e;Identical;Identical;Identical
EX_g3pc_e;Identical;Identical;Identical
EX_g3pe_e;Identical;Identical;Identical
EX_g3pg_e;Identical;Identical;Identical
EX_g3pi_e;Identical;Identical;Identical
EX_g3ps_e;Identical;Identical;Identical
EX_gACT_e;Identical;Identical;Identical
EX_gal_e;Identical;Identical;Identical
EX_galctn__D_e;Identical;Identical;Identical
EX_ggl_e;Identical;Identical;Identical
EX_glc__D_e;Missing;Identical;Missing
EX_glcn_e;Identical;Identical;Identical
EX_glcr_e;Identical;Identical;Identical
EX_gln__L_e;Identical;Identical;Identical
EX_glu__L_e;Identical;Identical;Identical
EX_gly_e;Identical;Identical;Identical
EX_glyald_e;Identical;Identical;Identical
EX_glyb_e;Identical;Identical;Identical
EX_glyc_e;Identical;Identical;Identical
EX_glyc3p_e;Identical;Identical;Identical
EX_glyclt_e;Identical;Identical;Identical
EX_glyc__R_e;Missing;Identical;Identical
EX_gmp_e;Identical;Identical;Identical
EX_gsn_e;Identical;Identical;Identical
EX_gua_e;Identical;Identical;Identical
EX_h_e;Identical;Identical;Identical
EX_h2o_e;Identical;Identical;Identical
EX_h2o2_e;Identical;Identical;Identical
EX_h2s_e;Identical;Identical;Identical
EX_his__L_e;Identical;Identical;Identical
EX_hom__L_e;Identical;Identical;Identical
EX_idon__L_e;Identical;Identical;Identical
EX_ile__L_e;Identical;Identical;Identical
EX_imp_e;Identical;Identical;Identical
EX_indole_e;Identical;Identical;Identical
EX_inost_e;Identical;Identical;Identical
EX_ins_e;Identical;Identical;Identical
EX_k_e;Identical;Identical;Identical
EX_lac__D_e;Identical;Identical;Identical
EX_lac__L_e;Identical;Identical;Identical
EX_LalaDglu_e;Identical;Identical;Identical
EX_lcts_e;Identical;Identical;Identical
EX_leu__L_e;Identical;Identical;Identical
EX_lipoate_e;Identical;Identical;Identical
EX_lys__L_e;Identical;Identical;Identical
EX_lyx__L_e;Identical;Identical;Identical
EX_mal__L_e;Identical;Identical;Identical
EX_malt_e;Identical;Identical;Identical
EX_malthp_e;Identical;Identical;Identical
EX_malthx_e;Identical;Identical;Identical
EX_maltpt_e;Identical;Identical;Identical
EX_malttr_e;Identical;Identical;Identical
EX_maltttr_e;Identical;Identical;Identical
EX_man_e;Identical;Identical;Identical
EX_melib_e;Identical;Identical;Identical
EX_melt_e;Identical;Identical;Identical
EX_meoh_e;Identical;Identical;Identical
EX_met__L_e;Identical;Identical;Identical
EX_mg2_e;Identical;Identical;Identical
EX_mn2_e;Identical;Identical;Identical
EX_mnl_e;Identical;Identical;Identical
EX_mobd_e;Identical;Identical;Identical
EX_n2o_e;Identical;Identical;Identical
EX_na1_e;Identical;Identical;Identical
EX_nac_e;Identical;Identical;Identical
EX_nh4_e;Identical;Identical;Identical
EX_ni2_e;Identical;Identical;Identical
EX_nmn_e;Identical;Identical;Identical
EX_no_e;Identical;Identical;Identical
EX_no2_e;Identical;Identical;Identical
EX_no3_e;Identical;Identical;Identical
EX_o2_e;Identical;Identical;Identical
EX_orn_e;Identical;Identical;Identical
EX_orot_e;Identical;Identical;Identical
EX_pacald_e;Identical;Identical;Identical
EX_phe__L_e;Identical;Identical;Identical
EX_pi_e;Identical;Identical;Identical
EX_pnto__R_e;Missing;Identical;Identical
EX_ppa_e;Identical;Identical;Identical
EX_pro__L_e;Identical;Identical;Identical
EX_ptrc_e;Identical;Identical;Identical
EX_pydam_e;Identical;Identical;Identical
EX_pydx_e;Identical;Identical;Identical
EX_pydxn_e;Identical;Identical;Identical
EX_pyr_e;Identical;Identical;Identical
EX_raffin_e;Identical;Identical;Identical
EX_rib__D_e;Identical;Identical;Identical
EX_rmn_e;Identical;Identical;Identical
EX_salcn_e;Identical;Identical;Identical
EX_sbt__D_e;Identical;Identical;Identical
EX_ser__L_e;Identical;Identical;Identical
EX_skm_e;Identical;Identical;Identical
EX_so4_e;Identical;Identical;Identical
EX_spmd_e;Identical;Identical;Identical
EX_succ_e;Identical;Identical;Identical
EX_tartr__D_e;Identical;Identical;Identical
EX_taur_e;Identical;Identical;Identical
EX_thm_e;Identical;Identical;Identical
EX_thr__L_e;Identical;Identical;Identical
EX_thym_e;Identical;Identical;Identical
EX_thymd_e;Identical;Identical;Identical
EX_tre_e;Identical;Identical;Identical
EX_trp__L_e;Identical;Identical;Identical
EX_tungs_e;Identical;Identical;Identical
EX_tyr__L_e;Identical;Identical;Identical
EX_ump_e;Identical;Identical;Identical
EX_ura_e;Identical;Identical;Identical
EX_urea_e;Identical;Identical;Identical
EX_uri_e;Identical;Identical;Identical
EX_val__L_e;Identical;Identical;Identical
EX_vanlt_e;Identical;Identical;Identical
EX_xan_e;Identical;Identical;Identical
EX_xmp_e;Identical;Identical;Identical
EX_xtsn_e;Identical;Identical;Identical
EX_xyl__D_e;Identical;Identical;Identical
EX_xylt_e;Identical;Identical;Identical
EX_zn2_e;Identical;Identical;Identical
FOMETRi;Missing;Identical;Identical
FTHFD;Identical;Identical;Identical
GCALDD;Identical;Identical;Identical
GLYCL;Identical;Unequal genes;Unequal genes
MTHFC;Identical;Identical;Identical
MTHFD;Identical;Identical;Identical
MTHFR2;Identical;Identical;Identical
THFAT;Unequal genes;Identical;Identical
GERMA;Unequal metabolites;Identical;Identical
GERMB;Unequal metabolites;Identical;Identical
GERMC;Unequal metabolites;Identical;Identical
GERMD;Unequal metabolites;Identical;Identical
GLUDC;Identical;Identical;Identical
GLUDxi;Identical;Identical;Identical
GLUDyi;Unequal genes;Identical;Identical
GLUN;Identical;Identical;Identical
GLNS;Unequal genes;Identical;Identical
GLUSx;Identical;Identical;Unequal genes
ACPPAT120;Identical;Identical;Identical
ACPPAT140;Identical;Identical;Identical
ACPPAT141;Identical;Identical;Identical
ACPPAT150;Identical;Identical;Identical
ACPPAT160;Identical;Identical;Identical
ACPPAT161;Identical;Identical;Identical
ACPPAT170;Identical;Identical;Identical
ACPPAT180;Identical;Identical;Identical
ACPPAT181;Identical;Identical;Identical
ACPPATai150;Identical;Identical;Identical
ACPPATai170;Identical;Identical;Identical
ACPPATi140;Identical;Identical;Identical
ACPPATi150;Identical;Identical;Identical
ACPPATi160;Identical;Identical;Identical
ACPPATi170;Identical;Identical;Identical
ACPPATi180;Identical;Identical;Identical
AGPAT120;Identical;Identical;Identical
AGPAT140;Identical;Identical;Identical
AGPAT141;Identical;Identical;Identical
AGPAT150;Identical;Identical;Identical
AGPAT160;Identical;Identical;Identical
AGPAT161;Identical;Identical;Identical
AGPAT170;Identical;Identical;Identical
AGPAT180;Identical;Identical;Identical
AGPAT181;Identical;Identical;Identical
AGPATai150;Identical;Identical;Identical
AGPATai170;Identical;Identical;Identical
AGPATi140;Identical;Identical;Identical
AGPATi150;Identical;Identical;Identical
AGPATi160;Identical;Identical;Identical
AGPATi170;Identical;Identical;Identical
AGPATi180;Identical;Identical;Identical
APG3PAT120;Identical;Identical;Identical
APG3PAT140;Identical;Identical;Identical
APG3PAT141;Identical;Identical;Identical
APG3PAT150;Identical;Identical;Identical
APG3PAT160;Identical;Identical;Identical
APG3PAT161;Identical;Identical;Identical
APG3PAT170;Identical;Identical;Identical
APG3PAT180;Identical;Identical;Identical
APG3PAT181;Identical;Identical;Identical
APG3PATai150;Identical;Identical;Identical
APG3PATai170;Identical;Identical;Identical
APG3PATi140;Identical;Identical;Identical
APG3PATi150;Identical;Identical;Identical
APG3PATi160;Identical;Identical;Identical
APG3PATi170;Identical;Identical;Identical
APG3PATi180;Identical;Identical;Identical
APH120;Identical;Identical;Identical
APH140;Identical;Identical;Identical
APH141;Identical;Identical;Identical
APH150;Identical;Identical;Identical
APH160;Identical;Identical;Identical
APH161;Identical;Identical;Identical
APH170;Identical;Identical;Identical
APH180;Identical;Identical;Identical
APH181;Identical;Identical;Identical
APHai150;Identical;Identical;Identical
APHai170;Identical;Identical;Identical
APHi140;Identical;Identical;Identical
APHi150;Identical;Identical;Identical
APHi160;Identical;Identical;Identical
APHi170;Identical;Identical;Identical
APHi180;Identical;Identical;Identical
CLPNS120;Identical;Identical;Identical
CLPNS140;Identical;Identical;Identical
CLPNS141;Identical;Identical;Identical
CLPNS150;Identical;Identical;Identical
CLPNS160;Identical;Identical;Identical
CLPNS161;Identical;Identical;Identical
CLPNS170;Identical;Identical;Identical
CLPNS180;Identical;Identical;Identical
CLPNS181;Identical;Identical;Identical
CLPNSai150;Identical;Identical;Identical
CLPNSai170;Identical;Identical;Identical
CLPNSi140;Identical;Identical;Identical
CLPNSi150;Identical;Identical;Identical
CLPNSi160;Identical;Identical;Identical
CLPNSi170;Identical;Identical;Identical
CLPNSi180;Identical;Identical;Identical
CLPNSII120;Identical;Identical;Identical
CLPNSII140;Identical;Identical;Identical
CLPNSII141;Identical;Identical;Identical
CLPNSII150;Identical;Identical;Identical
CLPNSII160;Identical;Identical;Identical
CLPNSII161;Identical;Identical;Identical
CLPNSII170;Identical;Identical;Identical
CLPNSII180;Identical;Identical;Identical
CLPNSII181;Identical;Identical;Identical
CLPNSIIai150;Identical;Identical;Identical
CLPNSIIai170;Identical;Identical;Identical
CLPNSIIi140;Identical;Identical;Identical
CLPNSIIi150;Identical;Identical;Identical
CLPNSIIi160;Identical;Identical;Identical
CLPNSIIi170;Identical;Identical;Identical
CLPNSIIi180;Identical;Identical;Identical
DASYN120;Identical;Identical;Identical
DASYN140;Identical;Identical;Identical
DASYN141;Identical;Identical;Identical
DASYN150;Identical;Identical;Identical
DASYN160;Identical;Identical;Identical
DASYN161;Identical;Identical;Identical
DASYN170;Identical;Identical;Identical
DASYN180;Identical;Identical;Identical
DASYN181;Identical;Identical;Identical
DASYNai150;Identical;Identical;Identical
DASYNai170;Identical;Identical;Identical
DASYNi140;Identical;Identical;Identical
DASYNi150;Identical;Identical;Identical
DASYNi160;Identical;Identical;Identical
DASYNi170;Identical;Identical;Identical
DASYNi180;Identical;Identical;Identical
GPDDA1;Unequal genes;Identical;Identical
GPDDA1e;Unequal genes;Identical;Identical
GPDDA2;Unequal genes;Identical;Identical
GPDDA2e;Unequal genes;Identical;Identical
GPDDA3;Identical;Identical;Identical
GPDDA3e;Identical;Identical;Identical
GPDDA4;Identical;Identical;Identical
GPDDA4e;Identical;Identical;Identical
GPDDA5;Identical;Identical;Identical
GPDDA5e;Identical;Identical;Identical
PAPA120;Identical;Identical;Identical
PAPA140;Identical;Identical;Identical
PAPA141;Identical;Identical;Identical
PAPA150;Identical;Identical;Identical
PAPA160;Identical;Identical;Identical
PAPA161;Identical;Identical;Identical
PAPA170;Identical;Identical;Identical
PAPA180;Identical;Identical;Identical
PAPA181;Identical;Identical;Identical
PAPAai150;Identical;Identical;Identical
PAPAai170;Identical;Identical;Identical
PAPAi140;Identical;Identical;Identical
PAPAi150;Identical;Identical;Identical
PAPAi160;Identical;Identical;Identical
PAPAi170;Identical;Identical;Identical
PAPAi180;Identical;Identical;Identical
PGSA120;Unequal genes;Identical;Identical
PGSA140;Unequal genes;Identical;Identical
PGSA141;Unequal genes;Identical;Identical
PGSA150;Unequal genes;Identical;Identical
PGSA160;Unequal genes;Identical;Identical
PGSA161;Unequal genes;Identical;Identical
PGSA170;Unequal genes;Identical;Identical
PGSA180;Unequal genes;Identical;Identical
PGSA181;Unequal genes;Identical;Identical
PGSAai150;Unequal genes;Identical;Identical
PGSAai170;Unequal genes;Identical;Identical
PGSAi140;Unequal genes;Identical;Identical
PGSAi150;Unequal genes;Identical;Identical
PGSAi160;Unequal genes;Identical;Identical
PGSAi170;Unequal genes;Identical;Identical
PGSAi180;Unequal genes;Identical;Identical
PINOS120;Identical;Identical;Identical
PINOS140;Identical;Identical;Identical
PINOS141;Identical;Identical;Identical
PINOS150;Identical;Identical;Identical
PINOS160;Identical;Identical;Identical
PINOS161;Identical;Identical;Identical
PINOS170;Identical;Identical;Identical
PINOS180;Identical;Identical;Identical
PINOS181;Identical;Identical;Identical
PINOSai150;Identical;Identical;Identical
PINOSai170;Identical;Identical;Identical
PINOSi140;Identical;Identical;Identical
PINOSi150;Identical;Identical;Identical
PINOSi160;Identical;Identical;Identical
PINOSi170;Identical;Identical;Identical
PINOSi180;Identical;Identical;Identical
PSD120;Identical;Identical;Identical
PSD140;Identical;Identical;Identical
PSD141;Identical;Identical;Identical
PSD150;Identical;Identical;Identical
PSD160;Identical;Identical;Identical
PSD161;Identical;Identical;Identical
PSD170;Identical;Identical;Identical
PSD180;Identical;Identical;Identical
PSD181;Identical;Identical;Identical
PSDai150;Identical;Identical;Identical
PSDai170;Identical;Identical;Identical
PSDi140;Identical;Identical;Identical
PSDi150;Identical;Identical;Identical
PSDi160;Identical;Identical;Identical
PSDi170;Identical;Identical;Identical
PSDi180;Identical;Identical;Identical
PSSA120;Identical;Identical;Identical
PSSA140;Identical;Identical;Identical
PSSA141;Identical;Identical;Identical
PSSA150;Identical;Identical;Identical
PSSA160;Identical;Identical;Identical
PSSA161;Identical;Identical;Identical
PSSA170;Identical;Identical;Identical
PSSA180;Identical;Identical;Identical
PSSA181;Identical;Identical;Identical
PSSAai150;Identical;Identical;Identical
PSSAai170;Identical;Identical;Identical
PSSAi140;Identical;Identical;Identical
PSSAi150;Identical;Identical;Identical
PSSAi160;Identical;Identical;Identical
PSSAi170;Identical;Identical;Identical
PSSAi180;Identical;Identical;Identical
TAGS120;Identical;Identical;Identical
TAGS140;Identical;Identical;Identical
TAGS141;Identical;Identical;Identical
TAGS150;Identical;Identical;Identical
TAGS160;Identical;Identical;Identical
TAGS161;Identical;Identical;Identical
TAGS170;Identical;Identical;Identical
TAGS180;Identical;Identical;Identical
TAGS181;Identical;Identical;Identical
TAGSai150;Identical;Identical;Identical
TAGSai170;Identical;Identical;Identical
TAGSi140;Identical;Identical;Identical
TAGSi150;Identical;Identical;Identical
TAGSi160;Identical;Identical;Identical
TAGSi170;Identical;Identical;Identical
TAGSi180;Identical;Identical;Identical
GHMT2;Identical;Identical;Identical
GLYAT;Identical;Identical;Identical
GLYCK2;Unequal metabolites;Identical;Identical
PGCD;Unequal genes;Identical;Identical
PSERT;Identical;Identical;Identical
PSP_L;Unequal genes;Identical;Identical
SERD_L;Unequal genes;Identical;Identical
THRD;Identical;Identical;Identical
ENO;Identical;Identical;Identical
FBA;Unequal genes;Identical;Identical
FBA2;Unequal genes;Identical;Identical
FBP;Identical;Identical;Identical
GAPD;Identical;Identical;Identical
GLBRAN2;Identical;Identical;Unequal genes
GLCP;Identical;Identical;Identical
GLCP2;Identical;Identical;Identical
GLCS1;Identical;Identical;Identical
GLDBRAN2;Identical;Identical;Identical
GLGC;Identical;Identical;Identical
GLGCc;Identical;Identical;Identical
HEX1;Unequal genes;Identical;Unequal genes
PDH;Identical;Unequal genes;Unequal genes
PFK;Identical;Identical;Identical
PGI;Identical;Identical;Identical
PGK;Identical;Identical;Identical
PGM;Identical;Identical;Unequal metabolites
PPDK;Identical;Identical;Identical
PYK;Identical;Identical;Identical
TPI;Identical;Identical;Identical
GLXCL;Identical;Identical;Identical
GLYCK;Unequal metabolites;Identical;Identical
ATPPRT;Identical;Identical;Identical
FGLU;Identical;Identical;Identical
FORAMD;Identical;Identical;Identical
HISD;Identical;Identical;Identical
HISTD;Identical;Identical;Identical
HISTP;Identical;Identical;Identical
HSTPT;Identical;Identical;Identical
IG3PS;Identical;Identical;Identical
IGPDH;Identical;Identical;Identical
IZPN;Identical;Identical;Identical
PRAMPC;Identical;Identical;Identical
PRATPP;Identical;Identical;Identical
PRMICIi;Identical;Identical;Identical
PRPPS;Identical;Identical;Identical
URCN;Identical;Identical;Identical
ASR;Identical;Identical;Identical
CA2t4;Identical;Identical;Identical
CD2abc;Identical;Identical;Identical
CD2t4;Identical;Identical;Identical
CLt3_2;Identical;Identical;Identical
COBALT2t;Identical;Identical;Identical
COBALT2t3;Identical;Identical;Identical
COELICHELINabc;Unequal genes;Identical;Unequal genes
COELICHELINexs;Identical;Unequal genes;Identical
COELICHELINR1;Identical;Identical;Identical
COELICHELINR2;Identical;Identical;Identical
COELICHELINR3;Identical;Identical;Identical
COELICHELINUt;Identical;Identical;Identical
CU1abc;Identical;Identical;Identical
CU1O;Identical;Unequal genes;Unequal genes
CU2abc;Identical;Unequal genes;Identical
CU2t;Identical;Identical;Identical
CUt3;Identical;Identical;Identical
FE2t2;Identical;Identical;Identical
FE2t3;Identical;Identical;Identical
FE3abc;Identical;Identical;Identical
FEOXAMBabc;Identical;Identical;Unequal genes
FEOXAMBexs;Identical;Unequal genes;Identical
FEOXAMBR1;Identical;Identical;Identical
FEOXAMBR2;Identical;Identical;Identical
FEOXAMBR3;Identical;Identical;Identical
FEOXAMBUt;Identical;Identical;Identical
FEOXAMEabc;Identical;Identical;Identical
FEOXAMEexs;Identical;Unequal genes;Identical
FEOXAMER1;Identical;Identical;Identical
FEOXAMER2;Identical;Identical;Identical
FEOXAMER3;Identical;Identical;Identical
FEOXAMEUt;Identical;Identical;Identical
FERO;Identical;Unequal genes;Unequal genes
H2SO;Identical;Unequal genes;Identical
Kabc;Identical;Identical;Identical
Kt2;Identical;Identical;Identical
Kt3;Identical;Identical;Identical
MG2t;Identical;Identical;Identical
MG2uabc;Identical;Identical;Identical
MN2t3;Identical;Identical;Identical
MOBDabc;Identical;Identical;Identical
NAt3;Identical;Identical;Identical
NAt3_2;Identical;Identical;Identical
NH4t;Identical;Unequal genes;Identical
NI2t;Identical;Identical;Identical
NI2t3;Identical;Identical;Identical
NI2uabc;Identical;Identical;Unequal genes
NO2t2r;Identical;Identical;Identical
NO3t7;Identical;Identical;Identical
NOt;Identical;Unequal genes;Identical
O2t;Identical;Unequal genes;Identical
PIt2r;Identical;Identical;Identical
Piuabc;Identical;Identical;Unequal genes
SO4t2;Identical;Identical;Identical
SULabc;Identical;Identical;Identical
TUNGSabc;Identical;Identical;Identical
ZN2t3;Identical;Identical;Identical
ZNabc;Identical;Identical;Unequal genes
DDGK;Identical;Identical;Identical
DDPGA2;Identical;Identical;Identical
DGI;Identical;Identical;Identical
INS2D;Identical;Identical;Identical
INSDH;Identical;Identical;Identical
MI1PS;Identical;Identical;Identical
MI1PS2;Identical;Identical;Identical
THCHDH;Identical;Identical;Identical
2MBCOATA;Identical;Unequal genes;Unequal genes
ACACT1r;Unequal genes;Identical;Identical
ACACT2r;Unequal genes;Identical;Identical
ACACT3r;Unequal genes;Identical;Identical
ACACT4r;Unequal genes;Identical;Identical
ACACT5r;Unequal genes;Identical;Identical
ACACT6r;Unequal genes;Identical;Identical
ACACT7r;Unequal genes;Identical;Identical
ACACT8r;Unequal genes;Identical;Identical
ACCOAC;Identical;Unequal genes;Unequal genes
ACOAD1f;Unequal genes;Identical;Identical
ACOAD2f;Unequal genes;Identical;Identical
ACOAD3f;Identical;Identical;Identical
ACOAD4f;Identical;Identical;Identical
ACOAD5f;Identical;Identical;Identical
ACOAD6f;Identical;Identical;Identical
ACOAD7f;Identical;Identical;Identical
ACOAD8f;Identical;Identical;Identical
ACOATA;Identical;Unequal genes;Unequal genes
BCOATA;Identical;Unequal genes;Unequal genes
CTECOAI6;Identical;Identical;Identical
CTECOAI7;Identical;Identical;Identical
CTECOAI8;Identical;Identical;Identical
ECOAH2;Identical;Identical;Identical
ECOAH3;Identical;Identical;Identical
ECOAH4;Identical;Identical;Identical
ECOAH5;Identical;Identical;Identical
ECOAH6;Identical;Identical;Identical
ECOAH7;Identical;Identical;Identical
ECOAH8;Identical;Identical;Identical
HACD1;Identical;Identical;Unequal genes
HACD2;Identical;Identical;Unequal genes
HACD3;Identical;Identical;Unequal genes
HACD4;Identical;Identical;Unequal genes
HACD5;Identical;Identical;Unequal genes
HACD6;Identical;Identical;Unequal genes
HACD7;Identical;Identical;Unequal genes
HACD8;Identical;Identical;Unequal genes
IBCOATA;Identical;Unequal genes;Unequal genes
IVCOATA;Identical;Unequal genes;Unequal genes
KAS14;Unequal genes;Unequal genes;Unequal genes
KAS15;Unequal genes;Unequal genes;Unequal genes
MACPD;Identical;Identical;Identical
MCOATA;Identical;Unequal genes;Unequal genes
PCOATA;Identical;Unequal genes;Unequal genes
AHC;Identical;Identical;Identical
AHSERL2r;Identical;Identical;Identical
CYSTL;Identical;Identical;Identical
HCYSMT;Identical;Identical;Identical
HSST;Identical;Identical;Identical
METAT;Identical;Identical;Identical
METB1r;Identical;Identical;Identical
METOX1s;Unequal metabolites;Unequal genes;Identical
METOX2s;Unequal metabolites;Unequal genes;Identical
METS;Identical;Identical;Identical
METSOXR1;Unequal metabolites;Unequal genes;Unequal genes
METSOXR2;Unequal metabolites;Unequal genes;Unequal genes
MHPGLUT;Identical;Identical;Identical
MTAP;Unequal genes;Identical;Identical
MTRI;Identical;Identical;Identical
SHSL1;Identical;Identical;Identical
SHSL2;Identical;Identical;Identical
SHSL4;Identical;Identical;Identical
SPMS;Identical;Identical;Identical
SPRMS;Identical;Identical;Identical
MCTP1A;Identical;Identical;Identical
MCTP1B;Identical;Identical;Identical
MCTP2A;Identical;Identical;Identical
MDDCP1;Unequal genes;Identical;Identical
MDDCP2;Unequal genes;Identical;Identical
MDDCP3;Unequal genes;Identical;Identical
MDDCP4;Unequal genes;Identical;Identical
MDDCP5;Unequal genes;Identical;Identical
MPTG;Identical;Unequal genes;Unequal genes
MPTG2;Identical;Unequal genes;Unequal genes
4PCP;Identical;Identical;Identical
ACGAMK;Identical;Identical;Identical
AGM4PCP;Identical;Identical;Identical
AM4PCP;Identical;Identical;Identical
ANHMK;Identical;Identical;Identical
LADGMDH;Unequal metabolites;Identical;Identical
MDDEP1;Identical;Identical;Identical
MDDEP2;Identical;Identical;Identical
MDDEP3;Identical;Identical;Identical
MDDEP4;Identical;Identical;Identical
UM4PCP;Identical;Identical;Identical
ALLTAH;Identical;Identical;Identical
ALLTN;Identical;Identical;Identical
NO3R2;Identical;Identical;Unequal genes
NODOx;Identical;Identical;Identical
NODOy;Identical;Identical;Identical
UGLYCH;Identical;Identical;Identical
23PDE2e;Identical;Identical;Identical
23PDE4e;Identical;Identical;Identical
23PDE7e;Identical;Identical;Identical
23PDE9e;Identical;Identical;Identical
3NTD2e;Identical;Identical;Identical
3NTD4e;Identical;Identical;Identical
3NTD7e;Identical;Identical;Identical
3NTD9e;Identical;Identical;Identical
ADA;Identical;Identical;Identical
ADK1;Identical;Identical;Identical
ADK2i;Identical;Identical;Identical
ADK3i;Identical;Identical;Identical
ADK4i;Identical;Identical;Identical
ADNCYC;Identical;Identical;Identical
ADNK1;Identical;Identical;Identical
ADPRDP;Identical;Identical;Identical
ADPT;Identical;Identical;Identical
ATPHs;Identical;Unequal genes;Identical
CSND;Identical;Identical;Identical
CYTD;Identical;Identical;Identical
CYTK1;Identical;Identical;Identical
CYTK2;Identical;Identical;Identical
DADA;Unequal metabolites;Identical;Identical
DADK;Identical;Identical;Identical
DATPHs;Identical;Unequal genes;Identical
DCTPD;Identical;Identical;Identical
DCTPD2;Identical;Identical;Identical
DCYTD;Identical;Identical;Identical
DGK1;Identical;Identical;Identical
DTMPK;Unequal genes;Unequal genes;Identical
DURIK1;Identical;Identical;Identical
DURIPP;Unequal genes;Identical;Identical
DUTPDP;Identical;Identical;Identical
GK1i;Identical;Identical;Identical
GK2i;Identical;Identical;Identical
GTPHs;Identical;Unequal genes;Identical
GUACYC;Identical;Identical;Identical
GUAPRT;Unequal genes;Identical;Identical
HXAND;Identical;Identical;Unequal genes
HXPRT;Identical;Identical;Identical
INSH;Identical;Identical;Identical
NDPK1;Identical;Identical;Identical
NDPK2;Identical;Identical;Identical
NDPK3;Identical;Identical;Identical
NDPK4;Identical;Identical;Identical
NDPK5;Identical;Identical;Identical
NDPK6;Identical;Identical;Identical
NDPK7;Identical;Identical;Identical
NDPK8;Identical;Identical;Identical
NDPK9;Identical;Identical;Identical
NNAT;Identical;Identical;Identical
NTD10e;Identical;Identical;Identical
NTD11e;Identical;Identical;Identical
NTD12e;Identical;Identical;Identical
NTD1e;Identical;Identical;Identical
NTD2e;Identical;Identical;Identical
NTD3e;Identical;Identical;Identical
NTD4e;Identical;Identical;Identical
NTD5e;Identical;Identical;Identical
NTD6e;Unequal metabolites;Identical;Identical
NTD7e;Identical;Identical;Identical
NTD8e;Identical;Identical;Identical
