"Rxn","Rxn Name","Rxn KEGG ID","Reversibility in model","Reversibility in MetaCyc"
"HMBS","hydroxymethylbilane synthase","R00084","forward only","Irreversible "
"HMPK1","hydroxymethylpyrimidine kinase (ATP)","R03471","forward only","Irreversible "
"HMPK2","hydroxymethylpyrimidine kinase (CTP)","","forward only",""
"HMPK3","hydroxymethylpyrimidine kinase (UTP)","","forward only",""
"HMPK4","hydroxymethylpyrimidine kinase (GTP)","","forward only",""
"HPPK2","6-hydroxymethyl-dihydropterin pyrophosphokinase","R03503","forward only","Irreversible "
"IACGAMS2","1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside synthesis (UDP-GlcNAc)","","forward only",""
"ICYSDS","ISC/NIF Cysteine desulfuration","R07460","forward only","Irreversible "
"IGAMD","1L-myo-inositol 2-Acetamido-2-deoxy-D-glucopyranoside deacetylase","R09651","forward only","Irreversible "
"IPDDI","isopentenyl-diphosphate D-isomerase","R01123","reversible","Reversible "
"IPDPS","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)","R08209","forward only","Irreversible "
"LIPAMPL","Lipoyl-adenylate protein ligase","R07771","forward only","Irreversible "
"LIPATPT","Lipoate-ATP adenylate transferase","R07770","forward only","Irreversible "
"LIPOCT","Lipoyl(octanoyl) transferase","R07766","forward only","Irreversible "
"LIPOS","Lipoate synthase","","forward only",""
"MALACPMT","Malonyl-[ACP] methyltransferase","","forward only",""
"MECDPDH2","2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase","","forward only",""
"MECDPS","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","R05637","forward only","Irreversible "
"MEPCT","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","R05633","forward only","Irreversible "
"MOADSUx","MoaD sulfuration (nadh, assumed)","","forward only",""
"MOCOS","molybdenum cofactor synthase","R09735","forward only","Irreversible "
"MOGDS","molybdopterin guanine dinucleotide synthase","","forward only",""
"MOHMT","3-methyl-2-oxobutanoate hydroxymethyltransferase","R01226","forward only","Reversible "
"MPTAT","molybdopterin adenylyltransferase","R09726","forward only"," "
"MPTS","molybdopterin synthase","","forward only",""
"MPTSS","molybdopterin synthase sulfurylase","","forward only",""
"MSHS","mycothiol synthase","R09622","forward only"," "
"MYCTR","mycothiol reductase (nadp dependent)","R05716","reversible","Irreversible "
"NADDP","NAD diphosphatase","R00103","forward only","Irreversible "
"NADK","NAD kinase","R00104","forward only","Irreversible "
"NADS1","NAD synthase (nh3)","R00189","forward only","Irreversible "
"NADS2","NAD synthase (glutamine-hydrolysing)","R00257","forward only","Irreversible "
"NAMNPP","nicotinic acid mononucleotide pyrophosphorylase","R01724","forward only","Irreversible "
"NMNAT","nicotinamide-nucleotide adenylyltransferase","R00137","forward only","Irreversible "
"NNAM","nicotinamidase","R01268","forward only","Irreversible "
"NNDMBRT","Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase","R04148","forward only","Irreversible "
"NNDPR","nicotinate-nucleotide diphosphorylase (carboxylating)","R03348","forward only","Irreversible "
"OCTNLL","Octanoate non-lipoylated apo domain ligase","","forward only",""
"OCTTT","trans-octaprenyltranstransferase","R07267","forward only","Irreversible "
"OGMEACPD","3-Oxo-glutaryl-[ACP] methyl ester dehydratase","R10117","forward only"," "
"OGMEACPR","3-Oxo-glutaryl-[ACP] methyl ester reductase","","forward only",""
"OGMEACPS2","3-Oxo-glutaryl-[ACP] methyl ester synthase","","forward only",""
"OHPBAT","O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase","R05085","reversible","Reversible "
"OPMEACPD","3-Oxo-pimeloyl-[ACP] methyl ester dehydratase","R10121","forward only"," "
"OPMEACPR","3-Oxo-pimeloyl-[ACP] methyl ester reductase","","forward only",""
"OPMEACPS","3-Oxo-pimeloyl-[ACP] methyl ester synthase","","forward only",""
"PANTS","pantothenate synthase","R02473","forward only","Irreversible "
"PC11M","precorrin-4 C11-methyltransferase","R05181","forward only","Irreversible "
"PC17M","precorrin-3B C17-methyltransferase","R05180","forward only","Irreversible "
"PC20M","precorrin-2 C20-methyltransferase","R03948","forward only","Irreversible "
"PC3BS","precorrin-3B synthase","R05217","forward only","Irreversible "
"PC6AR","precorrin-6A reductase","R05150","forward only","Reversible "
"PC6AS","precorrin-6A synthase","R05219","forward only","Irreversible "
"PC6YM","precorrin-6Y C5,15-methyltransferase (decarboxylating)","R05149","forward only","Irreversible "
"PC8XM","precorrin-8X methylmutase","R05177","forward only","Reversible "
"PCPpdsredO","peptidyl-carrier-protein phosphodiesterase (redO)","","forward only",""
"PCPSredO","peptidyl-carrier protein synthase (redO)","","forward only",""
"PDX5POi","pyridoxine 5-phosphate oxidase","R00278","forward only","Irreversible "
"PPTT","trans-pentaprenyltranstransferase","R05613","forward only","Irreversible "
"PMDPHT","pyrimidine phosphatase","R07280","forward only","Irreversible "
"PMEACPE","Pimeloyl-[ACP] methyl ester esterase","R09725","forward only","Irreversible "
"PMPK","phosphomethylpyrimidine kinase","R04509","forward only","Irreversible "
"PNTK","pantothenate kinase","R03018","forward only","Irreversible "
"PPBNGS","porphobilinogen synthase","R00036","forward only","Irreversible "
"PPCDC","phosphopantothenoylcysteine decarboxylase","R03269","forward only","Irreversible "
"PPGPPDP","guanosine-3,5-bis(diphosphate) 3-diphosphatase","R00336","forward only","Irreversible "
"PPNCL2","phosphopantothenate-cysteine ligase","R04231","forward only","Irreversible "
"PPPGO","protoporphyrinogen oxidase (aerobic)","","forward only",""
"PTPATi","pantetheine-phosphate adenylyltransferase","R03035","forward only","Irreversible "
"PYAM5PO","pyridoxamine 5-phosphate oxidase","R00277","forward only","Irreversible "
"PYDAMK","pyridoxamine kinase","R02493","forward only","Irreversible "
"PYDXK","pyridoxal kinase","R00174","forward only","Irreversible "
"PYDXNK","pyridoxine kinase","R01909","forward only","Irreversible "
"PYDXPS","Pyridoxal 5-phosphate synthase","","forward only",""
"QULNS","quinolinate synthase","R04292","forward only","Irreversible "
"RBFK","riboflavin kinase","R00549","forward only","Irreversible "
"RBFSa","riboflavin synthase","R04457","forward only","Irreversible "
"RBFSb","riboflavin synthase","R00066","forward only","Irreversible "
"RZ5PP","alpha-ribazole 5-phosphate phosphatase","R04594","forward only","Irreversible "
"S2FE2SR","SUF [2Fe-2S] regeneration","","forward only",""
"S2FE2SS","SUF [2Fe-2S] Synthesis","","forward only",""
"S2FE2SS2","SUF [2Fe-2S] Synthesis II","","forward only",""
"S2FE2ST","SUF [2Fe-2S] Transfer","","forward only",""
"S4FE4SR","SUF [4Fe-4S] Reduction","","forward only",""
"S4FE4ST","SUF [4Fe-4S] Transfer","","forward only",""
"SCYSDS","SUF Cysteine desulfuration","","forward only",""
"SHCHCC","sirohydrochlorin cobaltochelatase","","forward only",""
"SHCHD2","sirohydrochlorin dehydrogenase (NAD)","R03947","forward only","Irreversible "
"SHCHF","sirohydrochlorin ferrochelatase","R02864","forward only","Irreversible "
"THRPDC","threonine-phosphate decarboxylase","R06530","forward only","Irreversible "
"LTHRK","threonine-phosphate synthase","R06531","forward only","Irreversible "
"THZPSN3","thiazole phosphate synthesis","","forward only",""
"TMK","thiamine kinase","R02134","forward only","Irreversible "
"TMPK","thiamine-phosphate kinase","R00617","forward only","Irreversible "
"TMPPP","thiamine-phosphate diphosphorylase","R03223","forward only","Irreversible "
"TYRL","tyrosine lyase","","forward only",""
"UDCPDPS","Undecaprenyl diphosphate synthase","R06447","forward only","Irreversible "
"UPP3MT","uroporphyrinogen methyltransferase","R03194","forward only"," "
"UPP3S","uroporphyrinogen-III synthase","R03165","forward only","Irreversible "
"UPPDC1","uroporphyrinogen decarboxylase (uroporphyrinogen III)","R03197","forward only","irreversible "
"WCOS","tungsten pterin cofactor synthase","","forward only",""
"ADSK","adenylyl-sulfate kinase","R00509","forward only","Reversible "
"AMPTASECG","alanyl aminopeptidase (cys-gly)","R00899","forward only","Irreversible "
"BPNT","3,5-bisphosphate nucleotidase","R00188","forward only","Irreversible "
"CYSDS","Cysteine Desulfhydrase","R00782","forward only","Irreversible "
"CYSS","cysteine synthase","R00897","forward only","Reversible "
"CYSTGL","cystathionine g-lyase","R01001","forward only","Irreversible "
"CYSTS","cystathionine beta-synthase","R01290","forward only","Reversible "
"PAPSR","phosphoadenylyl-sulfate reductase (thioredoxin)","R02021","forward only","Reversible "
"PAPSR3","phosphoadenylyl-sulfate reductase (mycothiol)","","forward only",""
"SADT2","Sulfate adenyltransferase","","forward only",""
"SULRi","sulfite reductase (NADPH2)","R00858","forward only","Irreversible "
"DABAACT","L-2,4-diaminobutyrate acetyltransferase","R06978","forward only","Reversible "
"DABAAT","DABA aminotransferase","R06977","reversible","Reversible "
"ECTH","Ectoine hydroxylase","","forward only",""
"ECTS","L-ectoine synthase","R06979","forward only","Irreversible "
"BIOMASS_SCO","S. coelicolor biomass objective function - with 75.79 GAM estimate","","forward only",""
"DM_2hymeph_c","Sink needed to allow 2-(Hydroxymethyl)phenol to leave system","","forward only",""
"DM_4crsol_c","Sink needed to allow p-Cresol to leave system","","forward only",""
"DM_5drib_c","Sink needed to allow 5-deoxyribose to leave system","","forward only",""
"DM_aacald_c","Sink needed to allow aminoacetaldehyde to leave system","","forward only",""
"DM_aconm_c","Sink needed to allow trans-aconitate-2-methyl ester to leave system (oxidative stress)","","forward only",""
"DM_ACT_c","Sink needed to allow intracellular actinorhodin to leave system","","forward only",""
"DM_amob_c","Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system","","forward only",""
"DM_dalua_c","Sink needed to allow dialuric acid to leave system","","forward only",""
"DM_ectoine__L_c","Sink needed to allow L-ectoine to leave system (osmotic stress)","","forward only",""
"DM_germicidinA_c","Sink needed to allow intracellular germicidin A to leave system","","forward only",""
"DM_germicidinB_c","Sink needed to allow intracellular germicidin B to leave system","","forward only",""
"DM_germicidinC_c","Sink needed to allow intracellular germicidin C to leave system","","forward only",""
"DM_germicidinD_c","Sink needed to allow intracellular germicidin D to leave system","","forward only",""
"DM_msh_c","Sink needed to allow mycothiol to leave system (oxidative stress)","","forward only",""
"DM_RED_c","Sink needed to allow intracellular undecylprodigiosin to leave system","","forward only",""
"EX_14glucan_e","1,4-alpha-D-glucan exchange","","forward only",""
"EX_15dap_e","1,5-Diaminopentane exchange","","forward only",""
"EX_1Dgali_e","1-alpha-D-Galactosyl-myo-inositol exchange","","forward only",""
"EX_23camp_e","2,3-Cyclic AMP exchange","","forward only",""
"EX_23ccmp_e","2,3-Cyclic CMP exchange","","forward only",""
"EX_23cgmp_e","2,3-Cyclic GMP exchange","","forward only",""
"EX_23cump_e","2,3-Cyclic UMP exchange","","forward only",""
"EX_26dap__M_e","meso-2,6-Diaminoheptanedioate exchange","","forward only",""
"EX_2ddglcn_e","2-Dehydro-3-deoxy-D-gluconate exchange","","forward only",""
"EX_3amp_e","3-AMP exchange","","forward only",""
"EX_3cmp_e","3-cmp exchange","","forward only",""
"EX_3gmp_e","3-GMP exchange","","forward only",""
"EX_3ump_e","3-UMP exchange","","forward only",""
"EX_4abut_e","4-Aminobutanoate exchange","","forward only",""
"EX_5dglcn_e","5-Dehydro-D-gluconate exchange","","forward only",""
"EX_5mtr_e","5-Methylthio-D-ribose exchange","","forward only",""
"EX_abt__D_e","D-arabinitol transport via ABC system","","forward only",""
"EX_ac_e","Acetate exchange","","forward only",""
"EX_acald_e","Acetaldehyde exchange","","forward only",""
"EX_acgam_e","N-Acetyl-D-glucosamine exchange","","forward only",""
"EX_acser_e","O-Acetyl-L-serine exchange","","forward only",""
"EX_ade_e","Adenine exchange","","forward only",""
"EX_adn_e","Adenosine exchange","","forward only",""
"EX_agm_e","Agmatine exchange","","forward only",""
"EX_akg_e","2-Oxoglutarate exchange","","forward only",""
"EX_alaala_e","D-Alanyl-D-alanine exchange","","forward only",""
"EX_ala_B_e","beta-Alanine exchange","","forward only",""
"EX_ala__D_e","D-Alanine exchange","","forward only",""
"EX_ala__L_e","L-Alanine exchange","","forward only",""
"EX_alltn_e","Allantoin exchange","","forward only",""
"EX_amp_e","AMP exchange","","forward only",""
"EX_arab__L_e","L-Arabinose exchange","","forward only",""
"EX_arg__L_e","L-Arginine exchange","","forward only",""
"EX_asn__L_e","L-Asparagine exchange","","forward only",""
"EX_aso3_e","arsenite exchange","","forward only",""
"EX_asp__L_e","L-Aspartate exchange","","forward only",""
"EX_bhb_e","(R)-3-Hydroxybutanoate exchange","","forward only",""
"EX_btn_e","Biotin exchange","","forward only",""
"EX_ca2_e","Calcium exchange","","reversible",""
"EX_cbi_e","Cobinamide exchange","","forward only",""
"EX_cbl1_e","Cob(I)alamin exchange","","forward only",""
"EX_cd2_e","Cadmium exchange","","forward only",""
"EX_CDA_e","calcium-dependent antibiotics 2b exchange","","forward only",""
"EX_cellb_e","cellobiose exchange","","forward only",""
"EX_chol_e","Choline exchange","","forward only",""
"EX_chtbs_e","chitobiose exchange","","forward only",""
"EX_cit_e","Citrate exchange","","forward only",""
"EX_cl_e","Chloride exchange","","reversible",""
"EX_cmp_e","CMP exchange","","forward only",""
"EX_co2_e","CO2 exchange","","reversible",""
"EX_cobalt2_e","Co2+ exchange","","reversible",""
"EX_coelichelin_e","coelichelin exchange","","forward only",""
"EX_csn_e","Cytosine exchange","","forward only",""
"EX_cu_e","Cu+ exchange","","forward only",""
"EX_cu2_e","Cu2+ exchange","","reversible",""
"EX_cys__L_e","L-Cysteine exchange","","forward only",""
"EX_cytd_e","Cytidine exchange","","forward only",""
"EX_dad_2_e","Deoxyadenosine exchange","","forward only",""
"EX_damp_e","dAMP exchange","","forward only",""
"EX_dcmp_e","dCMP exchange","","forward only",""
"EX_dcyt_e","Deoxycytidine exchange","","forward only",""
"EX_desferrioxamB_e","desferrioxamine B exchange","","forward only",""
"EX_desferrioxamE_e","desferrioxamine E exchange","","forward only",""
"EX_dgmp_e","dGMP exchange","","forward only",""
"EX_dgsn_e","Deoxyguanosine exchange","","forward only",""
"EX_dha_e","Dihydroxyacetone exchange","","forward only",""
"EX_dimp_e","dIMP exchange","","forward only",""
"EX_din_e","Deoxyinosine exchange","","forward only",""
"EX_drib_e","Deoxyribose exchange","","forward only",""
"EX_dtmp_e","dTMP exchange","","forward only",""
"EX_dump_e","dUMP exchange","","forward only",""
"EX_duri_e","Deoxyuridine exchange","","forward only",""
"EX_epm_e","epimelibiose exchange","","forward only",""
"EX_etha_e","Ethanolamine exchange","","forward only",""
"EX_etoh_e","Ethanol exchange","","forward only",""
"EX_fald_e","Formaldehyde exchange","","forward only",""
"EX_fe2_e","Fe2+ exchange","","reversible",""
"EX_fe3_e","Fe3+ exchange","","reversible",""
"EX_ferricoelichelin_e","ferricoelichelin exchange","","forward only",""
"EX_feroxB_e","ferrioxamine B exchange","","forward only",""
"EX_feroxE_e","ferrioxamine E exchange","","forward only",""
"EX_for_e","Formate exchange","","forward only",""
"EX_fru_e","D-Fructose exchange","","forward only",""
"EX_fum_e","Fumarate exchange","","forward only",""
"EX_g3pc_e","sn-Glycero-3-phosphocholine exchange","","forward only",""
"EX_g3pe_e","sn-Glycero-3-phosphoethanolamine exchange","","forward only",""
"EX_g3pg_e","Glycerophosphoglycerol exchange","","forward only",""
"EX_g3pi_e","sn-Glycero-3-phospho-1-inositol exchange","","forward only",""
"EX_g3ps_e","Glycerophosphoserine exchange","","forward only",""
"EX_gACT_e","gamma-actinorhodin exchange","","forward only",""
"EX_gal_e","D-Galactose exchange","","forward only",""
"EX_galctn__D_e","D-Galactonate exchange","","forward only",""
"EX_ggl_e","galactosylglycerol exchange","","forward only",""
"EX_glc__D_e","D-Glucose exchange","","reversible",""
"EX_glcn_e","D-Gluconate exchange","","forward only",""
"EX_glcr_e","D-Glucarate exchange","","forward only",""
"EX_gln__L_e","L-Glutamine exchange","","forward only",""
"EX_glu__L_e","L-Glutamate exchange","","forward only",""
"EX_gly_e","Glycine exchange","","forward only",""
"EX_glyald_e","D-Glyceraldehyde exchange","","forward only",""
"EX_glyb_e","Glycine betaine exchange","","forward only",""
"EX_glyc_e","Glycerol exchange","","forward only",""
"EX_glyc3p_e","Glycerol 3-phosphate exchange","","forward only",""
"EX_glyclt_e","Glycolate exchange","","forward only",""
"EX_glyc__R_e","(R)-Glycerate exchange","","forward only",""
"EX_gmp_e","GMP exchange","","forward only",""
"EX_gsn_e","Guanosine exchange","","forward only",""
"EX_gua_e","Guanine exchange","","forward only",""
"EX_h_e","H+ exchange","","reversible",""
"EX_h2o_e","H2O exchange","","reversible",""
"EX_h2o2_e","Hydrogen peroxide exchange","","forward only",""
"EX_h2s_e","Hydrogen sulfide exchange","","forward only",""
"EX_his__L_e","L-Histidine exchange","","forward only",""
"EX_hom__L_e","L-Homoserine exchange","","forward only",""
"EX_idon__L_e","L-Idonate exchange","","forward only",""
"EX_ile__L_e","L-Isoleucine exchange","","forward only",""
"EX_imp_e","IMP exchange","","forward only",""
"EX_indole_e","Indole exchange","","forward only",""
"EX_inost_e","myo-Inositol exchange","","forward only",""
"EX_ins_e","Inosine exchange","","forward only",""
"EX_k_e","K+ exchange","","reversible",""
"EX_lac__D_e","D-lactate exchange","","forward only",""
"EX_lac__L_e","L-Lactate exchange","","forward only",""
"EX_LalaDglu_e","L-alanine-D-glutamate exchange","","forward only",""
"EX_lcts_e","Lactose exchange","","forward only",""
"EX_leu__L_e","L-Leucine exchange","","forward only",""
"EX_lipoate_e","Lipoate exchange","","forward only",""
"EX_lys__L_e","L-Lysine exchange","","forward only",""
"EX_lyx__L_e","L-Lyxose exchange","","forward only",""
"EX_mal__L_e","L-Malate exchange","","forward only",""
"EX_malt_e","Maltose exchange","","forward only",""
"EX_malthp_e","Maltoheptaose exchange","","forward only",""
"EX_malthx_e","Maltohexaose exchange","","forward only",""
"EX_maltpt_e","Maltopentaose exchange","","forward only",""
"EX_malttr_e","Maltotriose exchange","","forward only",""
"EX_maltttr_e","Maltotetraose exchange","","forward only",""
"EX_man_e","D-Mannose exchange","","forward only",""
"EX_melib_e","Melibiose exchange","","forward only",""
"EX_melt_e","melibiitol exchange","","forward only",""
"EX_meoh_e","methanol exchange","","forward only",""
"EX_met__L_e","L-Methionine exchange","","forward only",""
"EX_mg2_e","Mg exchange","","reversible",""
"EX_mn2_e","Mn2+ exchange","","reversible",""
"EX_mnl_e","D-Mannitol exchange","","forward only",""
"EX_mobd_e","Molybdate exchange","","reversible",""
"EX_n2o_e","Nitrous oxide exchange","","forward only",""
"EX_na1_e","Sodium exchange","","reversible",""
"EX_nac_e","Nicotinate exchange","","forward only",""
"EX_nh4_e","Ammonia exchange","","reversible",""
"EX_ni2_e","Ni2+ exchange","","reversible",""
"EX_nmn_e","NMN exchange","","forward only",""
"EX_no_e","Nitric oxide exchange","","forward only",""
"EX_no2_e","Nitrite exchange","","forward only",""
"EX_no3_e","Nitrate exchange","","forward only",""
"EX_o2_e","O2 exchange","","reversible",""
"EX_orn_e","Ornithine exchange","","forward only",""
"EX_orot_e","Orotate exchange","","forward only",""
"EX_pacald_e","Phenylacetaldehyde exchange","","forward only",""
"EX_phe__L_e","L-Phenylalanine exchange","","forward only",""
"EX_pi_e","Phosphate exchange","","reversible",""
"EX_pnto__R_e","(R)-Pantothenate exchange","","forward only",""
"EX_ppa_e","Propionate exchange","","forward only",""
"EX_pro__L_e","L-Proline exchange","","forward only",""
"EX_ptrc_e","Putrescine exchange","","forward only",""
"EX_pydam_e","Pyridoxamine exchange","","forward only",""
"EX_pydx_e","Pyridoxal exchange","","forward only",""
"EX_pydxn_e","Pyridoxine exchange","","forward only",""
"EX_pyr_e","Pyruvate exchange","","forward only",""
"EX_raffin_e","raffinose exchange","","forward only",""
"EX_rib__D_e","D-Ribose exchange","","forward only",""
"EX_rmn_e","L-Rhamnose exchange","","forward only",""
"EX_salcn_e","Salicin exchange","","forward only",""
"EX_sbt__D_e","D-Sorbitol exchange","","forward only",""
"EX_ser__L_e","L-Serine exchange","","forward only",""
"EX_skm_e","Shikimate exchange","","forward only",""
"EX_so4_e","Sulfate exchange","","reversible",""
"EX_spmd_e","Spermidine exchange","","forward only",""
"EX_succ_e","Succinate exchange","","forward only",""
"EX_tartr__D_e","D-tartrate exchange","","forward only",""
"EX_taur_e","Taurine exchange","","forward only",""
"EX_thm_e","Thiamin exchange","","forward only",""
"EX_thr__L_e","L-Threonine exchange","","forward only",""
"EX_thym_e","Thymine exchange","","forward only",""
"EX_thymd_e","Thymidine exchange","","forward only",""
"EX_tre_e","Trehalose exchange","","forward only",""
"EX_trp__L_e","L-Tryptophan exchange","","forward only",""
"EX_tungs_e","tungstate exchange","","reversible",""
"EX_tyr__L_e","L-Tyrosine exchange","","forward only",""
"EX_ump_e","UMP exchange","","forward only",""
"EX_ura_e","Uracil exchange","","forward only",""
"EX_urea_e","Urea exchange","","forward only",""
"EX_uri_e","Uridine exchange","","forward only",""
"EX_val__L_e","L-Valine exchange","","forward only",""
"EX_vanlt_e","Vanillate exchange","","forward only",""
"EX_xan_e","Xanthine exchange","","forward only",""
"EX_xmp_e","Xanthosine 5-phosphate exchange","","forward only",""
"EX_xtsn_e","Xanthosine exchange","","forward only",""
"EX_xyl__D_e","D-Xylose exchange","","forward only",""
"EX_xylt_e","Xylitol exchange","","forward only",""
"EX_zn2_e","Zinc exchange","","reversible",""
"FTHFD","formyltetrahydrofolate deformylase","R00944","forward only","Irreversible "
"GCALDD","Glycolaldehyde dehydrogenase","R01333","forward only","Irreversible "
"GLYCL","Glycine Cleavage System","R01221","forward only","Reversible "
"MTHFC","methenyltetrahydrofolate cyclohydrolase","R01655","reversible","Reversible "
"MTHFD","methylenetetrahydrofolate dehydrogenase (NADP)","R01220","reversible","Reversible "
"MTHFR2","5,10-methylenetetrahydrofolate reductase (NADH)","R07168","forward only","Irreversible "
"THFAT","Tetrahydrofolate aminomethyltransferase","R02300","forward only","Irreversible "
"GERMA","germicidine synthase (germicidin A)","","forward only"," "
"GERMB","germicidine synthase (germicidin B)","","forward only"," "
"GERMC","germicidine synthase (germicidin C)","","forward only"," "
"GERMD","germicidine synthase (germicidin D)","","forward only"," "
"GLUDC","Glutamate Decarboxylase","R00261","forward only","Irreversible "
"GLUDxi","glutamate dehydrogenase (NAD, irreversible)","R00243","forward only","Irreversible "
"GLUDyi","glutamate dehydrogenase (NADP, irreversible)","R00248","forward only","Reversible "
"GLUN","glutaminase","R00256","forward only","Irreversible "
"GLNS","glutamine synthetase","R00253","forward only","Irreversible "
"GLUSx","glutamate synthase (NADH2)","R00093","forward only","Irreversible "
"ACPPAT120","acyl-(acyl carrier protein):phosphate acyltransferase (C12:0)","","forward only"," "
"ACPPAT140","acyl-(acyl carrier protein):phosphate acyltransferase (C14:0)","","forward only"," "
"ACPPAT141","acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)","","forward only",""
"ACPPAT150","acyl-(acyl carrier protein):phosphate acyltransferase (C15:0)","","forward only",""
"ACPPAT160","acyl-(acyl carrier protein):phosphate acyltransferase (C16:0)","","forward only",""
"ACPPAT161","acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)","","forward only",""
"ACPPAT170","acyl-(acyl carrier protein):phosphate acyltransferase (C17:0)","","forward only",""
"ACPPAT180","acyl-(acyl carrier protein):phosphate acyltransferase (C18:0)","","forward only",""
"ACPPAT181","acyl-(acyl carrier protein):phosphate acyltransferase (C18:1)","","forward only",""
"ACPPATai150","acyl-(acyl carrier protein):phosphate acyltransferase (ante-iso-C15:0)","","forward only",""
"ACPPATai170","acyl-(acyl carrier protein):phosphate acyltransferase (ante-iso-C17:0)","","forward only",""
"ACPPATi140","acyl-(acyl carrier protein):phosphate acyltransferase (iso-C14:0)","","forward only",""
"ACPPATi150","acyl-(acyl carrier protein):phosphate acyltransferase (iso-C15:0)","","forward only",""
"ACPPATi160","acyl-(acyl carrier protein):phosphate acyltransferase (iso-C16:0)","","forward only",""
"ACPPATi170","acyl-(acyl carrier protein):phosphate acyltransferase (iso-C17:0)","","forward only",""
"ACPPATi180","acyl-(acyl carrier protein):phosphate acyltransferase (iso-C18:0)","","forward only",""
"AGPAT120","1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)","","forward only",""
"AGPAT140","1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)","","forward only",""
"AGPAT141","1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)","","forward only",""
"AGPAT150","1-pentadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C15:0)","","forward only",""
"AGPAT160","1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)","","forward only",""
"AGPAT161","1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)","","forward only",""
"AGPAT170","1-heptadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C17:0)","","forward only",""
"AGPAT180","1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)","","forward only",""
"AGPAT181","1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)","","forward only",""
"AGPATai150","1-pentadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (ante-iso-C15:0)","","forward only",""
"AGPATai170","1-heptadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (ante-iso-C17:0)","","forward only",""
"AGPATi140","1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (iso-C14:0)","","forward only",""
"AGPATi150","1-pentadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (iso-C15:0)","","forward only",""
"AGPATi160","1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (iso-C16:0)","","forward only",""
"AGPATi170","1-heptadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (iso-C17:0)","","forward only",""
"AGPATi180","1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (iso-C18:0)","","forward only",""
"APG3PAT120","acyl-phosphate:glycerol-3-phosphate acyltransferase (C12:0)","","forward only",""
"APG3PAT140","acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0)","","forward only",""
"APG3PAT141","acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1)","","forward only",""
"APG3PAT150","acyl-phosphate:glycerol-3-phosphate acyltransferase (C15:0)","","forward only",""
"APG3PAT160","acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0)","","forward only",""
"APG3PAT161","acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1)","","forward only",""
"APG3PAT170","acyl-phosphate:glycerol-3-phosphate acyltransferase (C17:0)","","forward only",""
"APG3PAT180","acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)","","forward only",""
"APG3PAT181","acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1)","","forward only",""
"APG3PATai150","acyl-phosphate:glycerol-3-phosphate acyltransferase (ante-iso-C15:0)","","forward only",""
"APG3PATai170","acyl-phosphate:glycerol-3-phosphate acyltransferase (ante-iso-C17:0)","","forward only",""
"APG3PATi140","acyl-phosphate:glycerol-3-phosphate acyltransferase (iso-C14:0)","","forward only",""
"APG3PATi150","acyl-phosphate:glycerol-3-phosphate acyltransferase (iso-C15:0)","","forward only",""
"APG3PATi160","acyl-phosphate:glycerol-3-phosphate acyltransferase (iso-C16:0)","","forward only",""
"APG3PATi170","acyl-phosphate:glycerol-3-phosphate acyltransferase (iso-C17:0)","","forward only",""
"APG3PATi180","acyl-phosphate:glycerol-3-phosphate acyltransferase (iso-C18:0)","","forward only",""
"APH120","acylphosphatase (C12:0)","","forward only",""
"APH140","acylphosphatase (C14:0)","","forward only",""
"APH141","acylphosphatase (C14:1)","","forward only",""
"APH150","acylphosphatase (C15:0)","","forward only",""
